circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Jendouba,Ghardimaou,06070115101,م إبتدائية شارع بورقيبة - غار الدماء  مكتب 1,1,1,3,1,0,0,244,17,2,1,3,0,6,0,0,0,1,1,1,1,8,1,1,49,0,8,42,392
Jendouba,Ghardimaou,06070115102,م إبتدائية شارع بورقيبة - غار الدماء  مكتب 2,2,0,2,1,0,0,165,18,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,69,0,2,53,318
Jendouba,Ghardimaou,06070115201,م إبتدائية نهج بلهوان - غار الدماء  مكتب 1,7,0,3,3,1,0,194,15,1,0,2,1,5,0,1,1,2,1,3,0,5,0,2,49,0,4,22,322
Jendouba,Ghardimaou,06070115202,م إبتدائية نهج بلهوان - غار الدماء  مكتب 2,2,0,0,0,0,3,152,17,0,1,0,0,3,0,0,0,0,0,0,0,4,0,1,70,1,9,46,309
Jendouba,Ghardimaou,06070115203,م إبتدائية نهج بلهوان - غار الدماء  مكتب 3,0,0,2,1,0,1,111,37,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,40,1,12,30,239
Jendouba,Ghardimaou,06070115301,م إبتدائية نهج البجاوي - غار الدماء  مكتب 1,1,1,1,2,2,2,223,14,2,1,5,2,7,5,0,4,0,3,1,1,9,2,1,41,3,21,31,385
Jendouba,Ghardimaou,06070115302,م إبتدائية نهج البجاوي - غار الدماء  مكتب 2,4,0,0,5,2,2,188,9,7,4,6,2,11,5,3,1,0,2,2,0,7,1,0,34,1,18,30,344
Jendouba,Ghardimaou,06070115303,م إبتدائية نهج البجاوي - غار الدماء  مكتب 3,2,1,2,2,0,3,224,26,0,0,1,1,4,1,1,1,0,2,1,1,3,1,1,83,0,13,38,412
Jendouba,Ghardimaou,06070115304,م إبتدائية نهج البجاوي - غار الدماء  مكتب 4,4,0,1,1,2,2,194,25,1,3,3,0,2,1,1,0,0,0,0,0,5,1,2,76,0,19,40,383
Jendouba,Ghardimaou,06070115305,م إبتدائية نهج البجاوي - غار الدماء  مكتب 5,0,0,1,0,0,2,136,20,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,58,0,10,34,269
Jendouba,Ghardimaou,06070115306,م إبتدائية نهج البجاوي - غار الدماء  مكتب 6,1,0,4,2,0,0,119,34,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,55,1,12,37,272
Jendouba,Ghardimaou,06070115401,م إبتدائية حي الزهور - غار الدماء  مكتب 1,6,2,2,7,3,3,163,15,2,2,8,2,5,0,1,4,1,9,0,0,7,0,1,39,0,12,17,311
Jendouba,Ghardimaou,06070115402,م إبتدائية حي الزهور - غار الدماء  مكتب 2,0,2,1,3,0,1,162,21,2,2,2,0,5,1,0,0,0,4,0,0,5,0,1,69,0,11,28,320
Jendouba,Ghardimaou,06070115403,م إبتدائية حي الزهور - غار الدماء  مكتب 3,1,0,1,1,0,1,123,17,0,1,2,0,2,1,0,3,0,0,1,1,1,0,0,63,0,18,28,265
Jendouba,Ghardimaou,06070115404,م إبتدائية حي الزهور - غار الدماء  مكتب 4,0,0,1,0,0,0,71,28,0,0,3,0,2,0,0,1,0,0,0,0,1,0,0,66,0,7,28,208
Jendouba,Ghardimaou,06070115501,م إبتدائية الحدائق غار الدماء   مكتب 1,2,3,0,0,2,2,188,29,0,1,1,0,8,3,0,2,0,1,1,1,8,0,1,78,0,8,29,368
Jendouba,Ghardimaou,06070115502,م إبتدائية الحدائق غار الدماء   مكتب 2,1,0,1,0,1,0,108,33,0,1,2,0,4,0,0,0,0,0,1,0,1,0,0,85,0,13,34,285
Jendouba,Ghardimaou,06070215601,م إبتدائية حي النهوض - غار الدماء الشمالية  مكتب 1,5,0,1,5,1,0,127,8,3,3,0,0,4,2,0,2,1,4,0,1,9,0,0,28,2,10,26,242
Jendouba,Ghardimaou,06070215602,م إبتدائية حي النهوض - غار الدماء الشمالية  مكتب 2,1,0,1,1,0,0,135,23,1,0,4,0,3,0,1,0,0,0,2,1,6,0,0,53,0,12,31,275
Jendouba,Ghardimaou,06070215603,م إبتدائية حي النهوض - غار الدماء الشمالية  مكتب 3,0,0,0,0,0,1,89,23,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,40,0,3,35,194
Jendouba,Ghardimaou,06070315701,م إبتدائية وادي معدن - المعدن  مكتب 1,1,0,0,0,0,0,53,15,1,0,1,0,2,0,0,1,0,1,1,0,3,0,0,21,1,5,18,124
Jendouba,Ghardimaou,06070315801,م إبتدائية الغرة -  المعدن  مكتب 1,0,0,0,0,0,1,52,5,0,1,0,1,3,1,0,2,0,0,0,0,1,0,0,17,1,3,7,95
Jendouba,Ghardimaou,06070315901,م إبتدائية الحوش القلعة - المعدن  مكتب 1,1,0,0,3,2,1,36,3,2,0,2,1,2,0,0,1,1,0,0,2,0,0,0,1,0,2,1,61
Jendouba,Ghardimaou,06070416001,م إبتدائية امحمد الأزرق - الرخاء  مكتب 1,0,0,0,1,2,1,18,5,0,0,0,1,2,0,0,2,1,0,0,0,2,0,1,9,0,5,6,56
Jendouba,Ghardimaou,06070416101,م إبتدائية أولاد حريز - الرخاء  مكتب 1,1,0,2,1,0,4,142,7,0,0,3,1,6,1,0,0,1,0,1,1,5,1,0,19,0,9,30,235
Jendouba,Ghardimaou,06070516201,م إبتدائية ميسوة - عين سلطان  مكتب 1,2,1,0,1,0,3,34,4,0,0,1,1,4,1,0,0,2,1,1,0,0,0,0,12,0,22,9,99
Jendouba,Ghardimaou,06070516301,م إبتدائية عين سلطان   مكتب 1,1,0,3,5,0,2,142,14,2,3,1,1,1,3,0,2,1,2,0,0,2,1,0,61,0,18,14,279
Jendouba,Ghardimaou,06070516401,م إبتدائية العيون - عين سلطان  مكتب 1,1,0,0,1,0,0,92,5,1,1,2,1,3,0,0,0,0,3,1,0,5,0,1,18,1,13,21,170
Jendouba,Ghardimaou,06070516501,م إبتدائية الخنقة - عين سلطان  مكتب 1,0,0,0,0,0,0,23,1,1,0,2,0,2,0,0,1,0,0,1,1,0,0,1,11,0,14,4,62
Jendouba,Ghardimaou,06070616601,م إبتدائية عرقوب الصابون - وشتاتة  مكتب 1,2,1,0,1,4,0,78,7,0,2,1,1,9,1,0,3,0,0,0,1,1,0,1,39,0,14,27,193
Jendouba,Ghardimaou,06070616701,م إبتدائية 2 مارس 34 الموخر - وشتاتة  مكتب 1,0,0,0,0,0,1,27,7,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,10,1,14,12,77
Jendouba,Ghardimaou,06070716801,م إبتدائية الدورة - الدورة  مكتب 1,2,1,0,4,1,0,122,7,1,0,1,1,0,1,0,1,0,2,0,0,4,0,0,24,2,5,15,194
Jendouba,Ghardimaou,06070716802,م إبتدائية الدورة - الدورة  مكتب 2,1,0,0,0,1,0,79,12,0,0,2,0,1,0,0,0,0,0,0,0,3,1,0,18,0,1,20,139
Jendouba,Ghardimaou,06070716901,م إبتدائية البرانصية - الدورة  مكتب 1,0,1,2,1,2,1,95,6,0,2,1,0,4,2,1,3,1,2,3,2,5,0,1,12,0,15,24,186
Jendouba,Ghardimaou,06070716902,م إبتدائية البرانصية - الدورة  مكتب 2,0,0,1,0,0,0,63,28,0,1,1,0,3,0,0,1,0,0,1,0,0,0,1,27,3,13,19,162
Jendouba,Ghardimaou,06070817001,م إبتدائية الصرية   مكتب 1,2,2,2,2,1,1,88,3,0,2,1,0,1,0,1,1,1,1,0,0,1,1,1,31,0,16,19,178
Jendouba,Ghardimaou,06070817101,م إبتدائية الرحيم - الصرية  مكتب 1,1,1,3,1,1,2,83,3,0,0,1,1,0,1,0,2,1,0,1,0,3,0,1,11,0,4,4,125
Jendouba,Ghardimaou,06070817201,م إبتدائية البياضة - الصرية  مكتب 1,0,0,0,2,0,0,32,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18,0,6,11,76
Jendouba,Ghardimaou,06070817301,م إبتدائية هنشير الحمام الصرية   مكتب 1,2,0,0,1,0,0,40,3,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,37,0,11,7,106
Jendouba,Ghardimaou,06070817401,م إبتدائية بوريحان - الصرية  مكتب 1,0,1,0,1,0,0,46,2,1,1,0,1,3,0,1,1,0,1,0,0,0,0,0,24,0,3,4,90
Jendouba,Ghardimaou,06070917501,م إبتدائية عين جابر - فرقصان  مكتب 1,0,1,0,0,0,2,38,7,0,1,1,0,0,0,1,1,0,0,0,0,2,0,1,12,0,18,14,99
Jendouba,Ghardimaou,06070917601,م إبتدائية كاف النسور - فرقصان  مكتب 1,1,0,1,3,0,0,71,12,1,3,1,1,1,1,0,1,0,1,0,0,4,0,0,11,0,2,15,130
Jendouba,Ghardimaou,06071017701,م إبتدائية فج حسين   مكتب 1,2,0,0,3,1,1,108,6,1,0,2,1,2,0,0,1,1,2,0,0,3,0,0,27,0,12,6,179
Jendouba,Ghardimaou,06071017801,م إبتدائية الصرى - فج حسين  مكتب 1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
Jendouba,Ghardimaou,06071017901,م إبتدائية فج حسين الغابة   مكتب 1,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3,0,31
Jendouba,Ghardimaou,06071118001,م إبتدائية أولاد علي - المراسن  مكتب 1,0,0,0,2,0,1,73,18,0,2,0,0,1,0,0,2,0,2,1,0,2,0,0,27,0,24,27,182
Jendouba,Ghardimaou,06071118101,م إبتدائية الزرايبية - المراسن  مكتب 1,3,1,3,4,1,4,111,3,2,1,4,1,1,0,3,2,1,1,2,0,4,0,0,46,1,13,37,249
Jendouba,Ghardimaou,06071118102,م إبتدائية الزرايبية - المراسن  مكتب 2,1,0,0,0,0,0,78,9,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,65,0,8,30,198
Jendouba,Ghardimaou,06071118201,م إبتدائية الطارف - المراسن  مكتب 1,1,1,1,2,1,4,83,19,2,1,2,0,5,1,0,0,1,0,1,1,4,1,0,51,0,16,28,226
Jendouba,Ghardimaou,06071218301,م إبتدائية سيدي بلقاسم -  القلعة  مكتب 1,2,1,0,5,2,1,132,11,0,0,4,2,3,3,0,3,0,2,2,0,4,1,0,46,4,14,16,258
Jendouba,Ghardimaou,06071218302,م إبتدائية سيدي بلقاسم -  القلعة  مكتب 2,0,0,2,1,1,1,62,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,62,0,9,16,163
Jendouba,Ghardimaou,06071218401,م إبتدائية البلدة - القلعة  مكتب 1,2,0,0,3,0,2,53,11,0,1,2,0,3,0,0,1,0,1,0,0,7,0,0,31,0,7,13,137
Jendouba,Ghardimaou,06071218501,م إبتدائية السلاطنية - القلعة  مكتب 1,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,1,1,28
