circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Jendouba,Jendouba,06030104501,م إبتدائية ابن سينا جندوبة - الزغادية  مكتب 1,2,0,2,3,3,0,259,18,0,2,2,0,6,1,0,6,1,2,2,0,8,1,0,46,0,3,31,398
Jendouba,Jendouba,06030104502,م إبتدائية ابن سينا جندوبة - الزغادية  مكتب 2,3,1,5,3,1,3,218,31,2,0,4,1,4,0,0,0,0,0,0,0,3,0,1,72,1,5,46,404
Jendouba,Jendouba,06030104503,م إبتدائية ابن سينا جندوبة - الزغادية  مكتب 3,2,0,1,1,1,0,203,27,0,0,5,0,4,0,0,1,0,0,0,1,2,0,1,92,0,10,37,388
Jendouba,Jendouba,06030104504,م إبتدائية ابن سينا جندوبة - الزغادية  مكتب 4,0,0,0,1,0,0,149,23,0,0,5,1,4,0,0,1,0,0,0,0,2,0,2,84,1,13,32,318
Jendouba,Jendouba,06030104505,م إبتدائية ابن سينا جندوبة - الزغادية  مكتب 5,0,0,2,0,0,0,128,42,1,0,7,0,1,0,0,1,0,0,0,1,0,0,0,83,0,5,44,315
Jendouba,Jendouba,06030104601,م إبتدائية الزغادية   مكتب 1,2,0,2,3,0,0,180,25,1,3,1,1,3,0,0,5,1,1,0,1,6,0,0,61,0,8,31,335
Jendouba,Jendouba,06030104602,م إبتدائية الزغادية   مكتب 2,2,0,2,3,1,0,126,35,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,48,0,5,30,259
Jendouba,Jendouba,06030104701,م إبتدائية ابو القاسم الشابي جندوبة - الزغادية  مكتب 1,2,1,0,2,0,4,234,19,0,0,3,1,6,1,0,2,3,1,1,1,8,0,0,39,1,6,22,357
Jendouba,Jendouba,06030104702,م إبتدائية ابو القاسم الشابي جندوبة - الزغادية  مكتب 2,0,2,0,2,0,2,211,29,0,2,0,1,2,0,0,1,1,1,1,0,5,1,1,80,0,13,33,388
Jendouba,Jendouba,06030104703,م إبتدائية ابو القاسم الشابي جندوبة - الزغادية  مكتب 3,1,0,3,0,0,0,147,46,0,0,6,1,2,0,0,0,0,0,0,0,1,0,2,58,1,10,29,307
