#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
06040107201,م إبتدائية الزهوة - الفردوس  مكتب 1,4,2,4,7,3,1,263,15,2,1,6,1,8,1,0,3,1,0,1,0,2,0,0,46,3,7,21,402.0
06040107202,م إبتدائية الزهوة - الفردوس  مكتب 2,1,1,1,4,1,2,246,18,1,1,2,1,3,1,1,1,1,4,1,1,6,2,3,61,0,5,18,387.0
06040107203,م إبتدائية الزهوة - الفردوس  مكتب 3,1,0,2,2,0,0,223,23,0,3,3,0,4,1,0,0,1,1,0,0,4,0,5,59,0,6,22,360.0
06040107204,م إبتدائية الزهوة - الفردوس  مكتب 4,0,0,2,0,0,1,158,36,0,0,2,0,1,0,0,0,0,0,1,0,2,0,4,68,2,4,17,298.0
06040107301,م إبتدائية النصر حي زهوة - الفردوس  مكتب 1,0,1,2,1,2,0,156,14,0,1,4,0,0,0,1,2,1,0,1,2,4,2,1,50,0,7,17,269.0
06040107302,م إبتدائية النصر حي زهوة - الفردوس  مكتب 2,0,0,2,1,1,1,95,32,0,0,5,0,1,0,1,1,0,1,0,1,1,0,0,59,0,4,22,228.0
06040107401,م إبتدائية ابن الجزار جندوبة - الفردوس  مكتب 1,0,0,2,3,1,0,214,37,3,2,4,1,3,0,1,1,0,0,0,0,1,1,1,76,1,7,21,380.0
06040107402,م إبتدائية ابن الجزار جندوبة - الفردوس  مكتب 2,0,0,3,1,0,0,199,33,0,0,5,0,0,0,0,1,0,0,1,1,5,0,1,105,0,8,22,385.0
06040107403,م إبتدائية ابن الجزار جندوبة - الفردوس  مكتب 3,1,0,1,0,0,0,131,48,0,0,8,0,2,0,1,0,0,0,0,0,1,0,0,101,0,8,31,333.0
06040107404,م إبتدائية ابن الجزار جندوبة - الفردوس  مكتب 4,0,0,3,0,0,0,109,66,0,1,4,0,1,0,0,0,0,0,0,0,4,0,0,70,0,7,30,295.0
