circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Jendouba,OuedMliz,06090121701,م إبتدائية نهج البريد - وادي مليز الشرقية  مكتب 1,1,3,1,5,3,1,197,19,2,4,3,2,1,1,0,3,0,1,0,1,7,1,1,54,1,11,13,336
Jendouba,OuedMliz,06090121702,م إبتدائية نهج البريد - وادي مليز الشرقية  مكتب 2,0,0,0,1,1,0,137,16,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,59,0,7,20,248
Jendouba,OuedMliz,06090121801,م إبتدائية بوقصة - وادي مليز الشرقية  مكتب 1,0,0,1,0,0,0,108,2,2,1,2,0,0,0,0,0,0,1,1,0,2,0,0,13,0,7,5,145
Jendouba,OuedMliz,06090121901,م إبتدائية  4 أفريل 1938 - وادي مليز الشرقية  مكتب 1,2,0,0,2,3,3,225,22,0,3,2,4,6,1,1,3,0,0,2,0,3,0,2,67,1,12,22,386
Jendouba,OuedMliz,06090121902,م إبتدائية  4 أفريل 1938 - وادي مليز الشرقية  مكتب 2,2,0,1,0,0,0,145,36,0,2,1,1,2,0,0,2,0,1,0,0,0,0,3,61,1,9,30,297
Jendouba,OuedMliz,06090122001,م إبتدائية 20مارس وادي مليز - وادي مليز الشرقية  مكتب 1,2,2,0,1,0,1,159,6,1,1,0,3,1,1,1,2,0,0,1,0,6,1,1,26,1,7,21,245
Jendouba,OuedMliz,06090122101,م إبتدائية   14 جانفي شمتو - وادي مليز الشرقية  مكتب 1,2,0,0,3,1,0,142,22,1,0,3,0,2,0,0,1,0,1,0,1,2,0,0,40,2,9,9,241
Jendouba,OuedMliz,06090222201,م إبتدائية هنشير ميرة - وادي مليز الغربية  مكتب 1,0,0,3,1,2,2,69,24,0,0,5,0,5,1,1,1,0,1,0,2,2,1,0,23,0,12,18,173
Jendouba,OuedMliz,06090222301,م إبتدائية المراغمة - وادي مليز الغربية  مكتب 1,1,1,1,0,1,1,45,1,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,4,0,9,3,73
Jendouba,OuedMliz,06090322401,م إبتدائية الدخايلية   مكتب 1,0,1,0,5,2,3,122,13,1,0,5,0,6,1,1,2,1,1,0,0,10,0,0,20,1,14,28,237
Jendouba,OuedMliz,06090322402,م إبتدائية الدخايلية   مكتب 2,2,0,2,1,0,1,75,22,1,0,4,2,3,0,0,0,1,2,0,1,3,0,0,30,0,7,33,190
Jendouba,OuedMliz,06090322501,م إبتدائية عباسة - الدخايلية  مكتب 1,1,1,0,2,2,1,38,9,1,1,2,1,5,0,0,3,0,1,1,1,2,1,0,20,0,1,8,102
Jendouba,OuedMliz,06090322601,م إبتدائية الجلايلية - الدخايلية  مكتب 1,0,0,0,0,0,1,44,5,0,0,0,0,5,1,0,0,0,0,0,2,1,0,0,28,0,7,30,124
Jendouba,OuedMliz,06090422701,م إبتدائية القنارة - حكيم  الشمالية  مكتب 1,1,1,1,3,0,0,61,5,0,1,1,0,3,2,0,1,0,0,0,1,1,0,0,23,0,2,15,122
Jendouba,OuedMliz,06090422801,م إبتدائية الزوبيا - حكيم  الشمالية  مكتب 1,1,1,0,1,1,0,109,16,2,0,1,0,1,1,1,2,1,1,0,0,3,0,1,26,1,5,10,185
Jendouba,OuedMliz,06090522901,م إبتدائية حكيم - حكيم الجنوبية  مكتب 1,3,3,0,6,1,1,96,9,3,3,4,0,4,1,0,0,2,0,1,0,4,1,2,29,1,11,23,208
Jendouba,OuedMliz,06090522902,م إبتدائية حكيم - حكيم الجنوبية  مكتب 2,2,0,1,1,0,1,107,7,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,25,0,7,14,170
Jendouba,OuedMliz,06090523001,م إبتدائية سيدي مسكين - حكيم الجنوبية  مكتب 1,0,0,2,0,3,2,90,12,1,2,6,2,2,1,0,1,1,0,0,0,6,1,2,26,0,13,9,182
Jendouba,OuedMliz,06090523002,م إبتدائية سيدي مسكين - حكيم الجنوبية  مكتب 2,0,0,0,1,0,0,52,19,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,28,0,9,15,130
Jendouba,OuedMliz,06090523101,م إبتدائية عين أم هاني - حكيم الجنوبية  مكتب 1,1,1,1,1,1,2,85,6,0,0,1,0,4,1,1,3,0,1,1,0,2,0,1,22,1,12,12,160
