circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Jendouba,Tabarka,06050109501,م إبتدائية شارع بورقيبة - طبرقة  مكتب 1,1,1,1,0,1,0,261,28,1,0,1,2,4,1,0,0,1,0,0,3,1,1,0,69,1,7,24,409
Jendouba,Tabarka,06050109502,م إبتدائية شارع بورقيبة - طبرقة  مكتب 2,2,2,1,6,0,0,237,30,1,0,1,0,2,0,0,2,0,1,1,0,4,0,1,73,0,9,35,408
Jendouba,Tabarka,06050109503,م إبتدائية شارع بورقيبة - طبرقة  مكتب 3,3,0,1,0,0,2,193,32,0,0,6,0,5,0,0,0,0,1,1,0,5,0,1,106,0,14,39,409
Jendouba,Tabarka,06050109504,م إبتدائية شارع بورقيبة - طبرقة  مكتب 4,0,0,1,0,0,0,172,25,0,0,4,3,3,0,0,2,0,1,0,2,0,0,3,111,1,8,35,371
Jendouba,Tabarka,06050109505,م إبتدائية شارع بورقيبة - طبرقة  مكتب 5,1,0,0,1,1,1,145,35,0,1,4,0,2,0,0,0,0,0,0,0,1,0,1,67,0,9,27,296
Jendouba,Tabarka,06050109506,م إبتدائية شارع بورقيبة - طبرقة  مكتب 6,1,0,4,2,0,0,110,57,0,1,3,0,3,0,0,0,0,0,0,0,1,0,0,62,1,7,38,290
Jendouba,Tabarka,06050109601,م إبتدائية نهج المعتمدية - طبرقة  مكتب 1,0,0,3,1,1,1,213,15,1,2,2,0,3,0,0,3,0,2,1,0,8,0,1,63,0,7,30,357
Jendouba,Tabarka,06050109602,م إبتدائية نهج المعتمدية - طبرقة  مكتب 2,0,0,1,0,0,1,151,33,1,1,5,0,2,0,0,3,0,0,1,3,3,0,0,80,0,10,30,325
Jendouba,Tabarka,06050109603,م إبتدائية نهج المعتمدية - طبرقة  مكتب 3,0,0,4,0,1,0,107,42,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,71,1,10,32,274
Jendouba,Tabarka,06050109701,م إبتدائية بريرم - طبرقة  مكتب 1,4,2,1,5,0,1,86,12,1,3,4,1,5,0,1,0,3,0,1,0,7,0,0,52,2,5,13,209
Jendouba,Tabarka,06050109702,م إبتدائية بريرم - طبرقة  مكتب 2,0,1,1,0,0,1,55,14,1,0,1,0,6,0,0,1,0,0,0,0,3,0,1,118,1,13,8,225
Jendouba,Tabarka,06050109703,م إبتدائية بريرم - طبرقة  مكتب 3,0,0,3,0,0,0,32,16,0,0,2,0,1,1,0,1,0,0,0,1,1,0,0,74,0,5,8,145
Jendouba,Tabarka,06050109801,م إبتدائية الأرمال - طبرقة  مكتب 1,4,0,2,1,1,2,82,22,2,3,2,2,1,0,2,1,1,1,0,1,6,0,2,54,0,6,15,213
Jendouba,Tabarka,06050109802,م إبتدائية الأرمال - طبرقة  مكتب 2,0,0,1,2,0,3,68,30,0,1,5,1,0,0,0,0,2,0,0,0,0,0,0,54,1,7,13,188
Jendouba,Tabarka,06050109901,م إبتدائية حي البساتين طبرقة   مكتب 1,4,2,5,5,1,2,134,43,2,0,6,1,5,2,2,2,1,0,0,0,4,0,2,101,1,12,34,371
Jendouba,Tabarka,06050109902,م إبتدائية حي البساتين طبرقة   مكتب 2,1,1,0,0,0,0,96,43,0,1,1,0,8,0,1,4,0,1,0,0,1,1,0,86,0,12,30,287
Jendouba,Tabarka,06050210001,م إبتدائية مركز جاء بالله - الريحان  مكتب 1,1,3,0,2,2,0,99,10,2,1,5,2,6,2,1,4,3,0,1,0,7,0,2,23,1,12,25,214
Jendouba,Tabarka,06050210002,م إبتدائية مركز جاء بالله - الريحان  مكتب 2,0,0,0,0,0,0,57,13,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,35,0,8,12,132
Jendouba,Tabarka,06050210101,م إبتدائية هنشير الخذايرية - الريحان  مكتب 1,1,1,1,5,3,0,140,22,2,2,6,1,4,2,2,1,2,2,0,2,10,0,2,39,1,9,14,274
Jendouba,Tabarka,06050210102,م إبتدائية هنشير الخذايرية - الريحان  مكتب 2,0,0,1,1,0,0,85,22,0,0,1,0,1,0,0,1,0,0,0,0,2,0,3,71,1,7,11,207
Jendouba,Tabarka,06050210201,م إبتدائية الفجة - الريحان  مكتب 1,2,0,1,3,1,1,97,14,0,2,2,0,3,0,0,1,2,1,0,1,1,0,3,55,1,11,10,212
Jendouba,Tabarka,06050310301,م إبتدائية الحوامدية   مكتب 1,7,3,0,4,0,4,102,7,3,0,4,2,12,3,1,2,6,1,5,2,11,1,4,53,3,7,15,262
Jendouba,Tabarka,06050310302,م إبتدائية الحوامدية   مكتب 2,3,0,2,3,0,0,108,20,2,1,2,0,1,0,0,0,0,1,1,1,10,0,0,134,0,17,21,327
Jendouba,Tabarka,06050310303,م إبتدائية الحوامدية   مكتب 3,2,0,4,0,0,0,66,21,0,1,0,1,1,0,0,1,2,0,0,0,2,0,1,76,1,12,18,209
Jendouba,Tabarka,06050310401,م إبتدائية سيدي بدر - الحوامدية  مكتب 1,3,1,1,6,1,1,183,33,0,2,3,0,8,3,1,2,2,0,0,1,9,1,1,46,0,11,19,338
Jendouba,Tabarka,06050310402,م إبتدائية سيدي بدر - الحوامدية  مكتب 2,1,0,4,1,0,0,169,28,0,1,6,0,3,0,1,1,0,2,0,1,3,0,0,88,1,13,28,351
Jendouba,Tabarka,06050310403,م إبتدائية سيدي بدر - الحوامدية  مكتب 3,1,0,1,0,0,0,141,34,0,0,2,0,2,0,0,1,0,0,0,1,1,0,2,78,0,14,19,297
Jendouba,Tabarka,06050310404,م إبتدائية سيدي بدر - الحوامدية  مكتب 4,0,0,3,0,0,1,101,48,0,0,3,0,1,0,1,1,0,0,0,0,0,0,1,48,1,5,24,238
Jendouba,Tabarka,06050310501,م إبتدائية السلايمية - الحوامدية  مكتب 1,2,1,2,5,5,3,127,13,3,2,4,0,8,1,0,0,0,1,1,0,3,0,1,61,0,14,16,273
Jendouba,Tabarka,06050310502,م إبتدائية السلايمية - الحوامدية  مكتب 2,2,0,4,2,0,0,72,19,0,0,5,0,6,0,0,0,2,0,0,0,2,1,0,47,0,13,14,189
Jendouba,Tabarka,06050410601,م إبتدائية الجبل الأبيض الوراهنية - الحمام  مكتب 1,4,6,2,2,4,1,61,16,2,2,5,1,4,2,0,4,1,4,2,0,5,0,1,13,0,13,11,166
Jendouba,Tabarka,06050410602,م إبتدائية الجبل الأبيض الوراهنية - الحمام  مكتب 2,1,0,0,1,0,2,27,14,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,12,0,3,3,68
Jendouba,Tabarka,06050410701,م إبتدائية  18جانفي الحمام   مكتب 1,2,2,2,1,2,1,51,3,1,1,1,0,1,2,1,1,1,1,2,0,3,0,0,19,4,4,11,117
Jendouba,Tabarka,06050410801,م إبتدائية السواقي - الحمام  مكتب 1,2,0,0,4,3,1,30,11,1,0,0,1,6,2,0,1,0,3,1,0,1,0,2,6,0,3,8,86
Jendouba,Tabarka,06050410901,م إبتدائية الحساينية - الحمام  مكتب 1,0,0,1,0,0,3,15,3,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,2,0,31
Jendouba,Tabarka,06050511001,م إبتدائية بوترفس - عين الصبح  مكتب 1,5,3,3,7,1,2,140,21,0,2,3,1,5,1,2,4,0,4,1,0,11,1,2,46,2,10,21,298
Jendouba,Tabarka,06050511002,م إبتدائية بوترفس - عين الصبح  مكتب 2,3,5,1,3,2,3,118,34,1,0,2,1,3,2,3,1,3,1,0,0,6,1,2,45,2,8,23,273
Jendouba,Tabarka,06050511003,م إبتدائية بوترفس - عين الصبح  مكتب 3,3,0,2,2,1,0,128,39,0,0,3,0,4,1,0,0,2,1,0,0,2,0,0,82,0,13,42,325
Jendouba,Tabarka,06050511004,م إبتدائية بوترفس - عين الصبح  مكتب 4,1,0,1,3,0,0,108,28,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,64,2,14,28,255
Jendouba,Tabarka,06050511005,م إبتدائية بوترفس - عين الصبح  مكتب 5,1,0,2,1,1,0,56,51,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,54,1,4,19,196
Jendouba,Tabarka,06050511101,م إبتدائية عين الصبح   مكتب 1,2,3,1,3,1,1,114,27,0,2,1,0,5,2,0,2,2,0,0,2,1,1,1,53,0,16,21,261
Jendouba,Tabarka,06050511102,م إبتدائية عين الصبح   مكتب 2,2,0,2,1,2,1,76,24,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,69,0,11,14,208
Jendouba,Tabarka,06050611201,م إبتدائية سيدي عسكر - الناظور  مكتب 1,7,2,3,2,1,4,93,18,6,1,2,0,6,0,0,3,2,2,4,0,3,1,2,26,3,9,34,234
Jendouba,Tabarka,06050611301,م إبتدائية سيدي روين - الناظور  مكتب 1,3,1,0,5,1,3,75,54,1,1,4,2,3,1,3,2,3,1,3,4,4,2,1,16,0,11,10,214
Jendouba,Tabarka,06050611302,م إبتدائية سيدي روين - الناظور  مكتب 2,1,1,2,0,0,1,36,38,0,1,1,0,0,0,0,1,1,0,0,2,1,1,0,32,1,10,10,140
Jendouba,Tabarka,06050611401,م إبتدائية التغزاز - الناظور  مكتب 1,0,0,2,1,2,1,108,7,0,1,3,0,1,0,1,1,1,1,1,0,1,0,1,3,1,7,5,149
Jendouba,Tabarka,06050611501,م إبتدائية العقيبة - الناظور  مكتب 1,4,1,2,2,0,3,64,33,1,0,5,1,6,0,4,2,2,0,1,0,8,0,1,25,1,7,16,189
Jendouba,Tabarka,06050711601,م إبتدائية  ملولة   مكتب 1,2,0,1,1,4,1,103,6,2,1,3,1,3,0,2,3,0,0,1,2,4,1,1,51,2,8,7,210
Jendouba,Tabarka,06050711602,م إبتدائية  ملولة   مكتب 2,2,0,1,1,0,1,63,28,0,2,4,0,0,0,0,0,2,0,0,1,1,0,0,59,0,4,8,177
Jendouba,Tabarka,06050811701,م إبتدائية عين السنوسي  مكتب 1,2,0,4,4,1,2,53,1,1,2,2,2,4,0,0,1,1,0,1,1,5,0,1,7,3,56,4,158
Jendouba,Tabarka,06050811801,م إبتدائية الفرش - عين السنوسي  مكتب 1,1,1,1,1,3,1,60,8,3,0,1,2,2,2,2,2,2,0,0,0,4,1,1,11,0,15,3,127
Jendouba,Tabarka,06050811901,م إبتدائية سيدي رمضان - عين السنوسي  مكتب 1,0,1,1,1,2,1,22,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,5,1,0,2,40
Jendouba,Tabarka,06050812001,م إبتدائية سيدي قويدر - عين السنوسي  مكتب 1,0,0,1,1,1,2,67,3,0,0,2,0,2,0,0,0,1,0,0,0,1,0,1,2,0,3,3,90
