#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
14080119101,م إبتدائية بوحجلة المركز   مكتب 1,0,1,0,1,0,1,125,6,2,1,0,1,1,0,0,1,1,1,0,3,3,1,2,104,1,52,26,334
14080119102,م إبتدائية بوحجلة المركز   مكتب 2,0,0,1,0,0,1,75,4,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,131,0,54,30,301
14080119103,م إبتدائية بوحجلة المركز   مكتب 3,0,0,1,0,0,0,50,11,0,0,3,0,1,0,0,0,0,0,1,1,2,0,0,99,0,25,23,217
14080119201,م إبتدائية ابن خلدون بوحجلة - بوحجلة المركز  مكتب 1,0,0,2,3,4,2,165,2,0,0,5,0,6,2,2,3,0,0,0,3,3,1,0,72,0,43,23,341
14080119202,م إبتدائية ابن خلدون بوحجلة - بوحجلة المركز  مكتب 2,0,0,0,1,0,2,125,7,0,2,1,0,2,0,1,1,0,1,0,2,1,0,0,108,0,56,42,352
14080119203,م إبتدائية ابن خلدون بوحجلة - بوحجلة المركز  مكتب 3,2,0,1,1,0,2,84,4,0,0,0,1,2,0,2,0,0,0,0,1,1,1,0,98,1,39,31,271
14080119204,م إبتدائية ابن خلدون بوحجلة - بوحجلة المركز  مكتب 4,0,0,3,1,0,0,64,15,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,90,0,27,29,232
14080119301,م إبتدائية المعرفة  14 جانفي - بوحجلة المركز  مكتب 1,1,1,0,3,1,2,86,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,100,0,33,24,257
14080119302,م إبتدائية المعرفة  14 جانفي - بوحجلة المركز  مكتب 2,0,0,0,0,0,0,45,13,0,0,3,0,0,0,1,0,1,1,0,0,0,0,1,80,0,24,15,184
14080119401,م إبتدائية السوالمية - بوحجلة المركز  مكتب 1,1,0,0,0,2,0,21,5,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,33,0,24,7,99
14080219501,م إبتدائية الجهينات - بوحجلة الأحواز  مكتب 1,0,0,0,1,1,0,32,1,1,0,1,0,0,0,2,2,0,0,2,0,3,1,1,49,1,62,12,172
14080219502,م إبتدائية الجهينات - بوحجلة الأحواز  مكتب 2,0,0,0,0,0,1,18,4,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,22,0,30,7,87
14080219601,م إبتدائية بئر العربي - بوحجلة الأحواز  مكتب 1,0,0,1,3,1,1,32,1,3,0,0,0,1,1,1,0,1,0,1,1,2,0,0,41,0,39,3,133
14080219701,م إبتدائية السهايلية - بوحجلة الأحواز  مكتب 1,1,0,0,1,1,1,40,6,2,1,2,0,1,2,0,1,1,1,0,1,1,0,0,28,0,43,19,153
14080319801,م إبتدائية بئر الدولة - جهينة الجنوبية  مكتب 1,0,1,1,0,0,5,34,4,3,0,2,1,3,0,1,0,0,1,0,2,1,1,2,41,0,76,9,188
14080319802,م إبتدائية بئر الدولة - جهينة الجنوبية  مكتب 2,0,0,0,0,0,1,16,2,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,37,1,36,5,104
14080319901,م إبتدائية ذراع بوكف - جهينة الجنوبية  مكتب 1,1,0,0,1,2,2,39,3,0,0,8,0,2,0,1,1,2,1,0,1,3,0,1,61,1,101,15,246
14080320001,م إبتدائية 14 جانفي العواقبية - جهينة الجنوبية  مكتب 1,0,0,0,2,1,0,56,1,0,0,1,0,1,0,1,1,1,0,1,0,2,0,0,22,0,71,3,164
14080320101,م إبتدائية بئر براقة - جهينة الجنوبية  مكتب 1,1,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,50,6,79
14080420201,م إبتدائية الازدهار - جهينة الشمالية  مكتب 1,1,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,16,5,53
14080420301,م إبتدائية جهينة - جهينة الشمالية  مكتب 1,0,2,1,1,2,0,85,3,0,0,2,2,0,2,0,2,1,0,0,2,7,0,0,57,0,50,11,230
14080420302,م إبتدائية جهينة - جهينة الشمالية  مكتب 2,0,0,0,0,1,0,40,6,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,45,0,27,4,127
14080420401,م إبتدائية  14 جانفي المعرفة - جهينة الشمالية  مكتب 1,0,0,0,1,0,7,32,2,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,19,1,54,5,128
14080520501,م إبتدائية اللبية - القطيطير  مكتب 1,0,1,0,0,0,3,83,2,1,0,2,0,7,1,2,3,1,0,0,1,2,1,0,27,0,62,25,224
14080520601,م إبتدائية قصر الدباش - القطيطير  مكتب 1,0,0,1,3,1,5,47,1,1,3,2,0,1,2,1,1,1,0,0,1,3,0,1,23,2,106,26,232
14080520602,م إبتدائية قصر الدباش - القطيطير  مكتب 2,0,1,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19,0,64,16,133
14080620701,م إبتدائية بئر علي بن عمارة - أولاد عاشور  مكتب 1,3,0,0,0,0,2,39,1,0,0,1,0,4,0,1,0,2,0,0,1,0,0,0,27,0,64,101,246
14080620801,م إبتدائية أولاد عاشور  مكتب 1,1,2,0,4,0,2,53,6,3,2,0,0,3,0,1,0,1,0,0,2,1,0,0,36,0,78,17,212
14080620802,م إبتدائية أولاد عاشور  مكتب 2,1,0,0,0,0,1,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,41,6,96
14080720901,م إبتدائية الفتح سيدي عمر  مكتب 1,0,0,0,2,3,0,21,2,0,2,2,0,3,1,0,0,1,0,0,1,1,1,1,101,0,12,1,155
14080721001,م إبتدائية ذراع مريرة - الفتح  مكتب 1,0,0,0,0,4,0,26,1,4,0,0,0,4,0,1,0,1,1,3,1,3,0,0,46,1,46,9,151
14080721002,م إبتدائية ذراع مريرة - الفتح  مكتب 2,2,0,0,0,0,0,9,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25,0,27,2,70
14080721101,م إبتدائية سيدي احمد - الفتح  مكتب 1,1,0,0,0,0,0,10,1,1,0,1,1,3,0,0,0,0,1,1,1,1,0,0,32,0,18,5,77
14080721201,م إبتدائية فرق الصيودة - الفتح  مكتب 1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91,0,5,3,103
14080821301,م إبتدائية الودي - أولاد فرج اللّه الشمالية  مكتب 1,1,0,1,0,3,1,44,2,1,1,0,0,3,0,0,0,0,0,2,2,1,0,1,76,1,56,10,206
14080821401,م إبتدائية الزقب بوحجلة - أولاد فرج اللّه الشمالية  مكتب 1,0,0,0,0,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,6,1,36
14080821501,م إبتدائية الرماضـــنية - أولاد فرج اللّه الشمالية  مكتب 1,0,0,1,1,1,1,39,5,0,0,5,1,2,0,0,0,1,0,2,1,1,2,1,76,2,78,3,223
14080821601,م إبتدائية العزادنية - أولاد فرج اللّه الشمالية  مكتب 1,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,5,0,11,7,34
14080821701,م إبتدائية العواينية - أولاد فرج اللّه الشمالية  مكتب 1,0,0,1,1,1,2,14,2,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,30,0,22,9,88
14080921801,م إبتدائية أولاد نصير - النصر  مكتب 1,4,0,1,4,1,3,38,2,0,0,2,1,0,2,2,1,4,0,0,0,6,1,0,37,2,76,3,190
14080921901,م إبتدائية أولاد بوحوش - النصر  مكتب 1,1,0,1,1,1,2,54,8,0,2,1,0,1,2,1,0,1,0,0,0,1,0,0,133,0,85,3,298
14080922001,م إبتدائية القصعات - النصر  مكتب 1,3,0,0,0,0,2,22,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,52,0,54,1,138
14081022101,م إبتدائية بن ونيس - بئر مسكين  مكتب 1,0,0,1,2,1,0,35,2,1,0,1,0,1,0,0,2,1,0,0,0,1,0,0,23,1,34,2,108
14081022201,م إبتدائية بئر مسيكين   مكتب 1,3,0,1,0,2,6,50,4,0,2,3,0,13,2,2,2,1,2,0,3,7,0,1,97,0,51,5,257
14081022202,م إبتدائية بئر مسيكين   مكتب 2,0,0,0,1,2,1,35,6,0,1,3,0,3,0,0,0,0,0,0,0,2,1,1,62,0,29,3,150
14081122301,م إبتدائية خلوة المويسات   مكتب 1,1,0,0,1,1,3,106,6,1,0,1,2,2,0,2,1,2,2,0,3,3,0,0,40,3,110,9,299
14081122302,م إبتدائية خلوة المويسات   مكتب 2,0,0,0,0,0,2,41,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,29,0,38,9,125
14081122401,م إبتدائية أولاد فرح - المويسات  مكتب 1,2,0,1,0,1,0,64,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,17,0,66,28,185
14081122501,م إبتدائية أولاد مبارك - المويسات  مكتب 1,1,1,1,0,0,0,69,4,2,0,1,0,4,0,1,0,2,1,0,0,3,0,0,27,0,48,4,169
14081222601,م إبتدائية بئر احمد - بوساري  مكتب 1,1,0,0,1,0,1,28,4,0,0,0,1,5,0,1,1,2,1,1,2,2,0,0,100,1,29,3,184
