circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kairouan,Cherarda,14030106001,م إبتدائية بئر المالح الشراردة المركز   مكتب 1,0,0,0,1,1,1,69,5,4,0,3,1,6,3,4,3,1,1,2,1,5,0,3,174,1,34,51,374
Kairouan,Cherarda,14030106002,م إبتدائية بئر المالح الشراردة المركز   مكتب 2,1,0,0,2,0,1,55,10,0,1,2,0,3,0,0,0,0,0,0,3,1,0,0,189,1,26,30,325
Kairouan,Cherarda,14030106003,م إبتدائية بئر المالح الشراردة المركز   مكتب 3,0,0,0,0,0,0,30,16,0,0,5,0,1,0,0,0,0,0,0,3,1,0,0,107,0,15,32,210
Kairouan,Cherarda,14030106101,م إبتدائية العوايد - الشراردة المركز  مكتب 1,0,0,1,0,1,0,111,9,2,0,1,0,1,0,1,1,2,2,2,1,2,1,0,52,0,50,76,316
Kairouan,Cherarda,14030106201,م إبتدائية الأمل - الشراردة المركز  مكتب 1,0,1,0,1,1,2,48,4,0,0,2,0,10,0,0,0,2,0,0,1,0,0,0,56,0,25,27,180
Kairouan,Cherarda,14030106301,م إبتدائية الطيب المهيري - الشراردة المركز  مكتب 1,0,0,3,0,0,0,32,2,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,96,0,20,13,172
Kairouan,Cherarda,14030106401,م إبتدائية العهد الجديد - الشراردة المركز  مكتب 1,0,0,0,0,0,0,5,1,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,143,0,10,4,168
Kairouan,Cherarda,14030206501,م إبتدائية حسين الغرسلاوي - بئر الحلو  مكتب 1,3,0,0,1,0,1,33,3,1,0,3,1,12,1,0,2,0,0,2,0,5,0,0,76,1,33,4,182
Kairouan,Cherarda,14030206502,م إبتدائية حسين الغرسلاوي - بئر الحلو  مكتب 2,1,0,0,0,0,1,14,3,0,0,3,0,1,1,0,0,1,0,0,1,0,0,1,54,0,23,7,111
Kairouan,Cherarda,14030206601,م إبتدائية العواقبية - بئر الحلو  مكتب 1,0,1,0,0,0,1,23,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,61,2,29,2,126
Kairouan,Cherarda,14030206701,م إبتدائية المساعدية الجنوبية - بئر الحلو  مكتب 1,3,1,2,2,0,1,23,5,1,0,8,2,1,2,1,1,0,0,0,0,0,0,0,83,0,99,6,241
Kairouan,Cherarda,14030206801,م إبتدائية الحرايرية - بئر الحلو  مكتب 1,0,0,1,0,0,0,10,1,0,1,0,0,2,0,0,0,1,0,0,2,1,0,0,75,0,5,0,99
Kairouan,Cherarda,14030206901,م إبتدائية العبايدية - بئر الحلو  مكتب 1,0,2,0,1,0,2,6,3,0,0,1,1,3,0,1,0,0,0,0,0,1,1,0,36,1,20,3,82
