#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
14040108501,م إبتدائية العلا الأم - العلا  مكتب 1,3,0,1,1,18,0,125,9,2,0,1,0,2,0,0,1,0,1,1,67,0,1,0,61,1,24,14,333.0
14040108502,م إبتدائية العلا الأم - العلا  مكتب 2,0,0,2,1,4,0,124,12,0,0,2,0,2,0,0,0,0,0,0,51,0,0,3,69,0,25,23,318.0
14040108503,م إبتدائية العلا الأم - العلا  مكتب 3,0,0,1,0,7,0,67,10,0,0,0,0,0,0,0,0,0,0,0,37,1,0,3,75,0,9,11,221.0
14040108601,م إبتدائية الطوال - العلا  مكتب 1,0,0,0,0,3,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.0
14040108701,م إبتدائية العلا الحبيب - العلا  مكتب 1,0,1,1,4,15,2,109,8,5,1,2,0,1,2,2,0,0,1,1,43,3,1,2,34,2,38,15,293.0
14040108702,م إبتدائية العلا الحبيب - العلا  مكتب 2,0,0,1,2,6,0,74,13,0,0,1,1,6,0,0,0,0,1,0,40,3,0,1,56,1,17,10,233.0
14040108801,م إبتدائية الفجاجرية - العلا  مكتب 1,0,1,1,1,42,1,43,2,2,0,1,1,3,1,1,1,1,0,0,32,3,0,0,16,0,17,1,171.0
14040108802,م إبتدائية الفجاجرية - العلا  مكتب 2,0,0,0,1,19,2,37,2,0,2,0,0,3,0,0,0,0,0,0,20,1,0,2,20,0,7,3,119.0
14040108901,م إبتدائية الطاهر صفر - العلا  مكتب 1,2,0,0,3,6,2,112,5,0,0,2,0,3,1,0,5,3,1,1,7,5,0,1,27,3,18,6,213.0
14040109001,م إبتدائية أولاد سعيدان - العلا  مكتب 1,0,0,1,2,3,2,148,8,0,0,0,1,2,1,1,0,0,0,1,8,4,0,0,31,1,9,7,230.0
14040209101,م إبتدائية المساعيد   مكتب 1,0,2,2,2,1,0,72,39,0,0,1,0,1,1,1,1,2,1,3,5,4,0,0,76,1,4,5,224.0
14040209201,م إبتدائية  20مارس الدبابشة - المساعيد  مكتب 1,1,1,1,1,3,0,69,7,3,0,2,2,0,3,0,0,0,1,0,14,7,1,2,18,1,4,3,144.0
14040209301,م إبتدائية الجلالبة الزعيرات - المساعيد  مكتب 1,0,0,0,0,1,0,36,14,1,0,1,0,2,0,1,2,1,1,1,2,1,0,0,62,0,3,5,134.0
