#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
14100125501,م إبتدائية حفوز المركز   مكتب 1,0,0,2,2,4,0,234,16,1,2,3,1,1,1,2,0,1,2,0,3,4,0,0,99,1,15,17,411.0
14100125502,م إبتدائية حفوز المركز   مكتب 2,1,0,2,1,3,0,176,34,0,1,2,0,1,0,0,2,0,0,1,11,2,0,1,154,1,14,27,434.0
14100125503,م إبتدائية حفوز المركز   مكتب 3,0,0,0,1,2,1,135,22,0,1,2,0,4,0,0,0,1,0,0,11,2,0,0,152,0,22,41,397.0
14100125504,م إبتدائية حفوز المركز   مكتب 4,0,0,1,0,7,1,107,24,1,0,1,0,0,1,1,0,0,0,0,6,1,0,0,141,1,11,37,341.0
14100125505,م إبتدائية حفوز المركز   مكتب 5,0,0,1,0,1,0,88,32,0,0,2,0,1,0,2,0,0,0,0,7,0,0,1,113,0,5,16,269.0
14100125601,م إبتدائية حي الزياتين - حفوز المركز  مكتب 1,0,0,1,1,10,1,167,8,2,1,7,0,1,0,1,0,1,1,1,2,2,0,1,93,1,12,22,336.0
14100125602,م إبتدائية حي الزياتين - حفوز المركز  مكتب 2,0,0,0,1,3,0,112,21,0,2,1,1,3,2,1,1,1,1,0,7,0,0,0,159,2,14,20,352.0
14100125603,م إبتدائية حي الزياتين - حفوز المركز  مكتب 3,1,0,1,0,5,0,95,10,0,0,0,0,0,0,0,2,1,0,0,3,2,1,0,135,0,10,13,279.0
14100125604,م إبتدائية حي الزياتين - حفوز المركز  مكتب 4,0,0,1,0,7,0,78,26,0,1,3,0,0,0,0,0,0,0,0,0,1,0,3,103,0,9,26,258.0
14100225701,م إبتدائية العالية - خيط الوادي  مكتب 1,3,1,1,1,2,0,129,6,2,0,4,1,1,0,1,3,4,0,3,0,6,0,0,46,1,37,4,256.0
14100225801,م إبتدائية خيط الوادي 1  مكتب 1,1,0,0,1,0,2,38,1,3,1,0,1,3,0,1,0,2,1,0,2,3,0,1,112,1,18,2,194.0
14100225802,م إبتدائية خيط الوادي 1  مكتب 2,0,0,0,0,2,1,26,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,118,0,4,4,160.0
14100225901,م إبتدائية الكتيفات - خيط الوادي  مكتب 1,0,0,0,1,1,0,76,16,0,0,0,0,0,0,2,0,1,0,0,3,3,0,0,54,0,12,9,178.0
