#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
14090123301,م إبتدائية  2مارس 34 الحاجب - الحاجب المركز  مكتب 1,3,1,1,6,4,4,189,7,1,2,5,1,4,1,19,1,1,3,1,1,6,1,3,46,0,66,29,406.0
14090123302,م إبتدائية  2مارس 34 الحاجب - الحاجب المركز  مكتب 2,0,0,1,3,1,1,185,15,0,0,2,0,0,2,20,0,0,0,0,1,0,1,1,101,0,66,40,440.0
14090123303,م إبتدائية  2مارس 34 الحاجب - الحاجب المركز  مكتب 3,0,1,1,1,0,2,148,18,0,0,5,0,8,1,10,3,0,0,0,2,3,0,1,77,0,64,53,398.0
14090123304,م إبتدائية  2مارس 34 الحاجب - الحاجب المركز  مكتب 4,0,0,0,1,0,2,110,21,0,0,6,0,0,0,15,3,0,0,1,2,1,0,0,69,0,37,36,304.0
14090123305,م إبتدائية  2مارس 34 الحاجب - الحاجب المركز  مكتب 5,0,0,1,3,0,0,83,25,0,0,6,0,1,0,13,0,2,0,0,0,1,0,1,45,0,33,53,267.0
14090123401,م إبتدائية   14 جانفي الحاجب - الحاجب المركز  مكتب 1,0,0,2,2,0,4,123,15,2,2,3,2,4,0,9,0,2,1,2,1,4,1,2,42,0,33,33,289.0
14090123402,م إبتدائية   14 جانفي الحاجب - الحاجب المركز  مكتب 2,0,0,4,1,0,2,139,11,1,0,2,0,4,0,4,0,1,0,0,1,1,0,2,71,0,28,30,302.0
14090123403,م إبتدائية   14 جانفي الحاجب - الحاجب المركز  مكتب 3,0,0,2,0,0,2,78,12,0,0,1,0,2,0,9,0,1,0,0,0,0,0,1,48,0,22,33,211.0
14090123501,م إبتدائية حي السعادة - الحاجب المركز  مكتب 1,2,1,1,4,1,3,126,8,2,0,3,1,5,1,12,6,3,2,1,2,5,2,2,36,1,46,21,297.0
14090123502,م إبتدائية حي السعادة - الحاجب المركز  مكتب 2,1,0,1,0,1,0,123,17,0,1,2,1,3,0,13,1,1,0,1,2,3,0,1,39,2,47,17,277.0
14090123503,م إبتدائية حي السعادة - الحاجب المركز  مكتب 3,0,0,0,0,0,0,76,18,0,0,3,0,2,0,7,1,2,1,0,1,3,0,0,34,0,40,22,210.0
14090223601,م إبتدائية أولاد عباس - أحواز الحاجب  مكتب 1,0,0,0,0,0,3,59,6,3,0,1,1,3,0,1,0,0,1,0,0,0,0,2,19,0,88,7,194.0
14090223602,م إبتدائية أولاد عباس - أحواز الحاجب  مكتب 2,0,0,0,0,0,0,18,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,17,0,52,9,108.0
14090323701,م إبتدائية الشواشي عن العلا   مكتب 1,2,1,0,3,4,4,69,7,1,2,3,0,8,4,6,1,0,1,0,4,2,1,0,33,0,26,5,187.0
14090323801,م إبتدائية الثلاجة - الشواشي  مكتب 1,3,2,0,0,7,3,85,27,0,1,3,1,5,2,4,1,4,2,2,1,9,0,2,20,0,41,1,226.0
14090423901,م إبتدائية السرجة عن العلا  مكتب 1,0,0,0,0,0,0,15,8,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,7,0,10,2,48.0
14090424001,م إبتدائية الحجاج - السرجة  مكتب 1,0,1,0,7,6,6,100,11,1,4,3,0,1,2,2,2,2,1,1,7,6,1,0,13,1,72,7,257.0
14090424002,م إبتدائية الحجاج - السرجة  مكتب 2,1,2,1,1,3,5,59,9,4,1,2,0,3,0,5,1,0,0,0,1,3,0,1,21,0,33,3,159.0
14090424101,م إبتدائية السودان - السرجة  مكتب 1,1,0,0,1,1,10,52,4,0,0,2,1,3,0,1,2,0,1,1,0,3,1,1,15,1,109,1,211.0
14090524201,م إبتدائية القنطرة   مكتب 1,3,2,0,4,1,2,63,10,1,0,3,0,4,0,2,3,1,0,0,0,3,0,6,60,1,43,18,230.0
14090524202,م إبتدائية القنطرة   مكتب 2,0,0,0,0,1,0,38,10,2,0,1,2,0,1,2,1,0,1,0,1,2,0,2,48,0,26,13,151.0
14090624301,م إبتدائية عين مجونة - الهداية  مكتب 1,3,0,1,2,2,3,54,8,2,2,2,1,2,4,1,0,1,2,1,1,3,0,0,58,1,53,10,217.0
14090624302,م إبتدائية عين مجونة - الهداية  مكتب 2,0,1,0,0,0,1,36,13,0,2,0,0,2,0,1,0,1,0,0,0,3,0,0,61,0,32,12,165.0
14090624401,م إبتدائية قصر السويسين - الهداية  مكتب 1,0,1,0,0,5,2,37,17,1,0,3,0,0,1,2,0,2,1,1,0,2,2,0,70,0,20,25,192.0
14090624501,م إبتدائية الفارسية - الهداية  مكتب 1,1,1,0,2,0,2,22,23,1,1,2,1,2,0,2,3,2,0,0,0,2,1,0,28,1,44,11,152.0
14090724601,م إبتدائية محطة الحاجب - الغوينة  مكتب 1,0,1,0,1,0,2,103,2,0,1,2,1,7,0,107,2,0,0,0,0,0,0,2,8,0,17,10,266.0
14090724602,م إبتدائية محطة الحاجب - الغوينة  مكتب 2,0,0,0,1,0,0,45,5,0,0,2,0,0,0,85,1,1,0,1,1,1,0,0,9,0,9,24,185.0
14090724701,م إبتدائية العنيزات - الغوينة  مكتب 1,5,3,0,0,1,7,105,22,2,2,3,0,4,3,33,1,5,1,1,0,1,0,1,36,6,64,32,338.0
14090724702,م إبتدائية العنيزات - الغوينة  مكتب 2,0,0,0,1,0,0,59,35,2,0,3,0,0,0,14,2,1,0,1,0,0,1,0,24,4,34,37,218.0
14090824801,م إبتدائية المناسة - وادي الحجل  مكتب 1,1,0,0,4,0,7,77,12,0,0,2,0,3,0,3,1,2,0,0,0,6,1,1,10,0,50,4,184.0
14090824901,م إبتدائية دار الخريف - وادي الحجل  مكتب 1,1,0,2,0,2,2,53,63,1,0,1,0,3,0,4,1,0,1,0,0,0,1,0,6,0,62,16,219.0
14090825001,م إبتدائية الدغيمة - وادي الحجل  مكتب 1,0,0,0,2,0,4,48,11,1,1,0,1,1,2,2,0,0,0,1,0,1,0,1,15,1,24,7,123.0
14090825101,م إبتدائية عيثة النساء - وادي الحجل  مكتب 1,0,0,0,0,1,1,48,18,0,0,3,1,1,1,1,0,0,0,0,0,3,0,0,5,1,27,3,114.0
14090825201,م إبتدائية دوار الفراحتية - وادي الحجل  مكتب 1,0,1,1,3,0,3,28,12,0,0,1,0,0,1,2,0,2,0,1,1,3,0,2,7,1,15,8,92.0
14090925301,م إبتدائية أولاد عامر - الرحيمة  مكتب 1,1,0,0,1,7,0,78,3,1,0,0,1,3,4,5,2,1,0,1,0,4,0,2,33,0,19,9,175.0
14090925302,م إبتدائية أولاد عامر - الرحيمة  مكتب 2,1,0,0,1,0,0,55,7,0,0,1,0,2,0,2,0,1,0,0,0,3,0,0,35,0,8,13,129.0
14090925401,م إبتدائية الرحيمة  مكتب 1,0,2,2,3,0,3,68,26,0,2,2,1,0,1,3,0,2,0,2,0,6,2,0,73,0,51,5,254.0
مجموع أصوات القائمة,29,21,21,58,48,90,2854,545,29,25,83,17,91,31,425,39,43,20,20,30,93,16,37,1339,21,1511,659,8195,
