circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kairouan,KairouanNord,14060113701,م إبتدائية أولاد فرحان - حي الجامع الشمالي  مكتب 1,3,2,1,4,0,0,151,8,0,0,1,0,0,0,0,5,3,0,1,3,3,0,0,176,2,30,15,408
Kairouan,KairouanNord,14060113702,م إبتدائية أولاد فرحان - حي الجامع الشمالي  مكتب 2,0,1,1,2,3,4,92,15,0,0,4,0,1,0,0,3,1,0,1,1,2,0,0,188,1,29,14,363
Kairouan,KairouanNord,14060113703,م إبتدائية أولاد فرحان - حي الجامع الشمالي  مكتب 3,1,0,1,1,1,1,101,18,1,1,4,0,4,0,0,1,1,0,1,5,1,0,0,242,0,29,15,429
Kairouan,KairouanNord,14060113704,م إبتدائية أولاد فرحان - حي الجامع الشمالي  مكتب 4,0,0,1,6,2,3,110,17,1,2,3,0,3,0,0,1,0,0,0,3,2,0,3,201,0,25,19,402
Kairouan,KairouanNord,14060113705,م إبتدائية أولاد فرحان - حي الجامع الشمالي  مكتب 5,0,0,1,4,1,0,84,12,0,0,4,0,3,1,1,0,0,0,0,4,0,0,1,205,0,30,18,369
Kairouan,KairouanNord,14060113706,م إبتدائية أولاد فرحان - حي الجامع الشمالي  مكتب 6,0,0,2,2,0,3,65,18,0,0,2,1,3,0,1,0,1,0,0,4,2,0,1,187,0,16,12,320
Kairouan,KairouanNord,14060113707,م إبتدائية أولاد فرحان - حي الجامع الشمالي  مكتب 7,0,0,1,3,0,0,70,27,0,0,3,0,1,0,1,1,0,0,0,4,0,0,3,164,0,22,28,328
Kairouan,KairouanNord,14060113708,م إبتدائية أولاد فرحان - حي الجامع الشمالي  مكتب 8,1,0,5,3,0,0,69,36,0,1,1,0,5,0,0,2,0,0,0,1,3,1,1,136,1,16,46,328
Kairouan,KairouanNord,14060213801,م إبتدائية التطبيقية الأسوار - حي الجامع الجنوبي  مكتب 1,1,1,2,6,2,4,188,5,3,0,1,1,9,0,0,1,2,1,0,1,2,0,1,170,2,18,7,428
Kairouan,KairouanNord,14060213802,م إبتدائية التطبيقية الأسوار - حي الجامع الجنوبي  مكتب 2,2,0,0,4,1,1,137,8,1,2,5,0,3,1,0,0,0,0,0,8,2,0,2,217,0,21,25,440
Kairouan,KairouanNord,14060213803,م إبتدائية التطبيقية الأسوار - حي الجامع الجنوبي  مكتب 3,0,0,0,3,0,0,123,11,0,0,1,0,5,1,1,2,0,1,0,2,0,0,3,238,1,15,22,429
Kairouan,KairouanNord,14060213804,م إبتدائية التطبيقية الأسوار - حي الجامع الجنوبي  مكتب 4,1,0,3,3,2,3,86,7,0,0,2,0,2,1,1,1,0,1,0,5,4,0,0,245,0,18,15,400
Kairouan,KairouanNord,14060213805,م إبتدائية التطبيقية الأسوار - حي الجامع الجنوبي  مكتب 5,0,0,2,2,0,0,90,13,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,225,1,13,21,375
Kairouan,KairouanNord,14060213806,م إبتدائية التطبيقية الأسوار - حي الجامع الجنوبي  مكتب 6,0,0,4,3,0,0,86,20,0,2,5,0,1,0,0,1,0,0,0,1,0,0,2,179,1,17,41,363
Kairouan,KairouanNord,14060313901,م إبتدائية التطبيقية الهدى - القبلية الشمالية  مكتب 1,0,0,4,6,1,5,161,10,0,1,3,0,2,0,1,6,0,0,0,2,1,0,1,169,0,22,10,405
Kairouan,KairouanNord,14060313902,م إبتدائية التطبيقية الهدى - القبلية الشمالية  مكتب 2,0,0,1,3,1,1,107,13,0,0,1,0,4,0,0,0,1,0,0,2,1,1,1,227,0,33,13,410
Kairouan,KairouanNord,14060313903,م إبتدائية التطبيقية الهدى - القبلية الشمالية  مكتب 3,1,0,1,4,0,1,116,9,0,0,1,0,5,0,0,1,0,0,0,2,4,0,2,259,1,22,16,445
Kairouan,KairouanNord,14060313904,م إبتدائية التطبيقية الهدى - القبلية الشمالية  مكتب 4,0,0,1,4,1,2,85,12,0,1,2,0,4,1,0,3,0,0,1,1,1,0,3,252,2,23,21,420
Kairouan,KairouanNord,14060313905,م إبتدائية التطبيقية الهدى - القبلية الشمالية  مكتب 5,0,0,0,4,1,0,75,17,0,0,1,0,2,0,1,1,0,0,1,4,1,0,1,213,0,23,22,367
