circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kairouan,KairouanSud,14050111001,م إبتدائية المنصورة - المنصورة الشمالية  مكتب 1,2,1,1,5,1,7,146,12,1,0,3,0,5,1,1,1,5,0,1,3,3,0,0,149,2,35,14,399
Kairouan,KairouanSud,14050111002,م إبتدائية المنصورة - المنصورة الشمالية  مكتب 2,1,2,0,2,2,4,107,7,0,3,3,1,3,0,1,0,4,2,1,0,1,0,1,190,2,42,10,389
Kairouan,KairouanSud,14050111003,م إبتدائية المنصورة - المنصورة الشمالية  مكتب 3,0,0,1,1,0,2,99,7,0,1,2,1,4,0,5,1,1,0,0,0,2,0,0,259,0,32,14,432
Kairouan,KairouanSud,14050111004,م إبتدائية المنصورة - المنصورة الشمالية  مكتب 4,0,0,1,2,1,1,92,11,0,3,3,0,7,0,0,2,1,0,0,1,2,0,0,231,1,32,10,401
Kairouan,KairouanSud,14050111005,م إبتدائية المنصورة - المنصورة الشمالية  مكتب 5,0,0,2,3,0,2,88,9,0,0,2,0,5,0,0,0,1,0,0,1,1,0,1,186,0,30,8,339
Kairouan,KairouanSud,14050111006,م إبتدائية المنصورة - المنصورة الشمالية  مكتب 6,0,2,1,2,1,0,65,17,0,1,0,0,3,0,2,1,0,0,0,3,0,0,1,162,0,24,15,300
Kairouan,KairouanSud,14050111007,م إبتدائية المنصورة - المنصورة الشمالية  مكتب 7,0,0,2,1,0,0,64,13,0,0,5,0,3,0,0,1,0,0,0,1,0,0,1,145,1,25,32,294
Kairouan,KairouanSud,14050111101,م إبتدائية حي النصر - المنصورة الشمالية  مكتب 1,2,1,2,4,2,6,172,16,0,1,4,0,2,1,0,3,1,2,0,2,3,0,0,152,0,37,17,430
Kairouan,KairouanSud,14050111102,م إبتدائية حي النصر - المنصورة الشمالية  مكتب 2,0,0,2,3,1,2,144,20,0,0,4,0,6,0,1,0,0,1,0,1,3,0,0,182,1,42,13,426
Kairouan,KairouanSud,14050111103,م إبتدائية حي النصر - المنصورة الشمالية  مكتب 3,0,0,2,2,0,2,104,16,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,229,0,39,25,426
Kairouan,KairouanSud,14050111104,م إبتدائية حي النصر - المنصورة الشمالية  مكتب 4,0,0,2,4,0,0,88,19,0,0,1,0,3,0,0,2,0,1,1,0,4,1,1,203,0,25,23,378
Kairouan,KairouanSud,14050111105,م إبتدائية حي النصر - المنصورة الشمالية  مكتب 5,0,0,2,3,0,1,84,16,0,0,3,0,2,0,3,0,0,0,0,1,1,0,2,171,1,32,22,344
Kairouan,KairouanSud,14050111106,م إبتدائية حي النصر - المنصورة الشمالية  مكتب 6,0,0,2,8,0,0,77,38,0,1,6,0,1,0,0,1,0,0,1,2,0,0,2,152,1,13,40,345
Kairouan,KairouanSud,14050111201,م إبتدائية حي السلام - المنصورة الشمالية  مكتب 1,1,0,1,0,3,3,112,11,0,0,2,1,1,0,3,2,1,1,0,1,1,1,1,136,0,58,20,360
Kairouan,KairouanSud,14050111202,م إبتدائية حي السلام - المنصورة الشمالية  مكتب 2,0,0,0,0,0,0,66,19,0,0,2,0,0,0,0,0,3,2,0,1,1,0,0,111,1,47,14,267
Kairouan,KairouanSud,14050211301,م إبتدائية التطبيقيــة التربية - المنصورة الجنوبية  مكتب 1,3,0,2,2,2,2,144,7,0,1,4,1,5,1,3,2,1,0,0,3,8,0,0,164,0,26,18,399
Kairouan,KairouanSud,14050211302,م إبتدائية التطبيقيــة التربية - المنصورة الجنوبية  مكتب 2,0,0,4,4,3,3,132,6,1,0,4,0,1,1,1,2,2,1,0,1,2,1,1,161,0,28,12,371
Kairouan,KairouanSud,14050211303,م إبتدائية التطبيقيــة التربية - المنصورة الجنوبية  مكتب 3,1,0,3,4,0,1,117,16,1,2,0,0,1,0,2,0,1,0,0,3,3,0,1,221,1,24,21,423
