circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kairouan,Nasrallah,14110128001,م إبتدائية نصر الله المركز   مكتب 1,1,0,1,7,6,1,96,5,3,1,0,0,0,4,3,4,1,0,1,5,3,2,0,84,2,24,87,341
Kairouan,Nasrallah,14110128002,م إبتدائية نصر الله المركز   مكتب 2,0,1,1,1,1,1,77,4,0,0,4,2,0,1,0,2,0,0,0,2,1,0,2,110,0,23,123,356
Kairouan,Nasrallah,14110128003,م إبتدائية نصر الله المركز   مكتب 3,0,0,1,1,0,2,63,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,118,0,20,115,327
Kairouan,Nasrallah,14110128004,م إبتدائية نصر الله المركز   مكتب 4,0,0,1,1,0,0,52,12,0,0,4,0,3,0,0,0,0,0,0,1,2,0,1,86,0,26,56,245
Kairouan,Nasrallah,14110128101,م إبتدائية حي النسيم - نصر الله المركز  مكتب 1,0,0,1,1,1,4,61,10,1,0,1,1,4,2,0,0,1,1,1,4,1,0,1,75,0,42,39,252
Kairouan,Nasrallah,14110128201,م إبتدائية حي العزاعزة - نصر الله المركز  مكتب 1,1,0,0,1,0,3,70,3,4,2,1,0,5,6,0,2,3,2,1,0,4,0,0,36,2,46,59,251
Kairouan,Nasrallah,14110128202,م إبتدائية حي العزاعزة - نصر الله المركز  مكتب 2,0,0,0,0,0,2,56,5,1,2,2,0,1,0,2,0,0,0,0,0,1,0,0,33,0,33,50,188
Kairouan,Nasrallah,14110228301,م إبتدائية العجابنة - نصر الله الأحواز  مكتب 1,1,0,0,3,3,5,45,23,2,1,2,0,0,2,0,1,1,1,1,0,1,0,2,35,0,45,12,186
Kairouan,Nasrallah,14110228401,م إبتدائية بئر السلايمية - نصر الله الأحواز  مكتب 1,1,0,1,1,1,1,40,3,1,2,3,1,2,0,1,0,3,1,0,0,3,0,0,39,1,41,4,150
Kairouan,Nasrallah,14110228501,م إبتدائية فرحات حشاد - نصر الله الأحواز  مكتب 1,0,0,0,1,2,0,36,10,0,0,3,0,3,2,1,1,3,0,0,1,1,1,1,45,0,43,30,184
