circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kairouan,Oueslatia,14070116001,م إبتدائية قصر اللمسة - معروف  مكتب 1,1,0,0,2,0,2,85,6,3,1,2,1,1,1,1,3,0,0,1,0,3,1,0,45,0,31,16,206
Kairouan,Oueslatia,14070116002,م إبتدائية قصر اللمسة - معروف  مكتب 2,0,0,0,3,0,0,65,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,34,0,17,10,140
Kairouan,Oueslatia,14070116101,م إبتدائية أولاد عيار - معروف  مكتب 1,0,0,0,0,0,4,30,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,16,4,59
Kairouan,Oueslatia,14070116201,م إبتدائية الطاوسة - معروف  مكتب 1,1,1,1,1,0,0,28,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,11,0,29,7,84
Kairouan,Oueslatia,14070216301,م إبتدائية حي الصنوبر - الوسلاتية الشرقية  مكتب 1,1,0,3,1,2,0,148,10,0,1,2,0,3,2,1,2,1,3,1,1,0,0,2,63,0,22,52,321
Kairouan,Oueslatia,14070216302,م إبتدائية حي الصنوبر - الوسلاتية الشرقية  مكتب 2,0,0,0,0,0,0,87,13,0,0,2,0,1,0,0,2,1,0,0,2,2,0,0,63,0,10,49,232
Kairouan,Oueslatia,14070316401,م إبتدائية حشاد الوسلاتية - الوسلاتية الغريبة  مكتب 1,1,0,1,1,1,1,174,17,2,2,2,0,7,0,2,1,1,2,0,1,4,0,3,52,1,18,32,326
Kairouan,Oueslatia,14070316402,م إبتدائية حشاد الوسلاتية - الوسلاتية الغريبة  مكتب 2,0,0,1,1,0,0,131,27,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,86,0,17,73,342
Kairouan,Oueslatia,14070316403,م إبتدائية حشاد الوسلاتية - الوسلاتية الغريبة  مكتب 3,0,0,1,1,0,1,105,28,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,66,0,14,58,281
Kairouan,Oueslatia,14070316404,م إبتدائية حشاد الوسلاتية - الوسلاتية الغريبة  مكتب 4,0,0,0,1,0,1,96,20,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,38,0,9,43,211
Kairouan,Oueslatia,14070316501,م إبتدائية   14 جانفي الوسلاتية - الوسلاتية الغريبة  مكتب 1,2,0,0,4,2,2,126,7,2,1,4,2,3,3,0,2,1,1,2,2,9,1,0,31,2,26,22,257
Kairouan,Oueslatia,14070316502,م إبتدائية   14 جانفي الوسلاتية - الوسلاتية الغريبة  مكتب 2,0,0,0,0,1,1,107,22,0,1,0,0,1,0,1,2,0,0,0,0,2,0,0,40,0,30,32,240
Kairouan,Oueslatia,14070316503,م إبتدائية   14 جانفي الوسلاتية - الوسلاتية الغريبة  مكتب 3,0,0,0,0,0,1,79,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,31,0,22,28,172
Kairouan,Oueslatia,14070316601,م إبتدائية الامتياز - الوسلاتية الغريبة  مكتب 1,5,1,0,3,0,1,136,11,3,0,4,2,6,0,2,2,1,2,0,1,5,1,0,55,1,27,42,311
Kairouan,Oueslatia,14070316602,م إبتدائية الامتياز - الوسلاتية الغريبة  مكتب 2,0,0,0,4,1,0,98,19,0,1,2,0,0,1,0,0,1,0,0,2,0,0,1,57,0,17,43,247
Kairouan,Oueslatia,14070416701,م إبتدائية المرقب - المنزل  مكتب 1,0,0,0,0,2,1,44,1,2,1,1,0,0,3,0,0,1,0,0,1,1,0,0,9,1,19,11,98
Kairouan,Oueslatia,14070416801,م إبتدائية سيدي الريماني - المنزل  مكتب 1,0,1,0,1,0,1,71,5,0,0,2,0,1,0,0,2,1,2,0,2,1,0,0,34,0,15,23,162
Kairouan,Oueslatia,14070416901,م إبتدائية المعازيل - المنزل  مكتب 1,1,0,1,0,0,2,25,3,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,5,0,1,24,68
Kairouan,Oueslatia,14070517001,م إبتدائية الحمالة - جبل السرج  مكتب 1,0,0,0,0,0,0,45,1,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,13,0,13,15,93
Kairouan,Oueslatia,14070517101,م إبتدائية السرج - جبل السرج  مكتب 1,0,0,0,1,0,4,84,4,0,0,1,0,5,1,0,0,2,0,0,0,1,1,0,9,0,45,12,170
Kairouan,Oueslatia,14070517201,م إبتدائية القليعة - جبل السرج  مكتب 1,2,0,1,3,2,7,48,5,1,1,0,0,6,2,3,1,1,0,1,0,3,1,0,67,0,57,7,219
Kairouan,Oueslatia,14070517301,م إبتدائية أولاد بامر - جبل السرج  مكتب 1,1,0,1,1,0,1,27,7,1,0,0,0,1,0,2,1,2,0,0,0,0,2,0,4,1,16,13,81
Kairouan,Oueslatia,14070617401,م إبتدائية الأبيرة - زغدود  مكتب 1,0,0,0,0,0,0,50,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,28,0,10,4,97
Kairouan,Oueslatia,14070617501,م إبتدائية الصعانين - زغدود  مكتب 1,2,0,0,3,2,2,48,7,2,0,7,1,3,1,1,1,2,0,2,1,2,0,0,42,0,43,19,191
