#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
14010100101,م إبتدائية فرحات حشاد السبيخة - السبيخة المركز  مكتب 1,0,0,0,6,2,0,155,12,1,2,4,0,7,1,0,1,0,0,1,1,4,1,4,48,1,51,17,319.0
14010100102,م إبتدائية فرحات حشاد السبيخة - السبيخة المركز  مكتب 2,1,0,0,1,1,3,133,20,0,0,5,0,6,1,3,0,2,1,0,0,2,1,3,106,0,61,29,379.0
14010100103,م إبتدائية فرحات حشاد السبيخة - السبيخة المركز  مكتب 3,1,0,0,3,0,0,96,23,0,0,2,0,2,0,0,1,0,1,0,0,2,0,0,90,1,48,21,291.0
14010100104,م إبتدائية فرحات حشاد السبيخة - السبيخة المركز  مكتب 4,0,0,1,0,0,0,91,29,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,58,1,29,21,241.0
14010100201,م إبتدائية المنجي سليم - السبيخة المركز  مكتب 1,1,1,0,2,3,3,119,18,0,1,2,0,1,1,2,1,5,1,0,4,1,0,1,94,2,47,23,333.0
14010100202,م إبتدائية المنجي سليم - السبيخة المركز  مكتب 2,0,1,2,1,1,2,82,31,0,0,3,0,0,0,0,0,1,1,0,2,0,0,1,87,1,33,20,269.0
14010100301,م إبتدائية الخضر - السبيخة المركز  مكتب 1,3,0,0,2,3,2,30,8,1,0,6,0,2,0,1,1,2,1,0,0,4,0,0,9,3,65,5,148.0
14010100401,م إبتدائية حي الرياض - السبيخة المركز  مكتب 1,2,1,2,4,7,7,112,21,2,3,1,0,3,3,1,2,3,3,1,3,8,0,0,42,1,43,5,280.0
14010100402,م إبتدائية حي الرياض - السبيخة المركز  مكتب 2,0,0,0,0,1,1,120,25,0,0,1,0,3,0,0,0,0,2,0,3,3,0,1,62,0,56,9,287.0
14010100403,م إبتدائية حي الرياض - السبيخة المركز  مكتب 3,0,0,0,0,1,0,58,20,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2,46,0,50,13,194.0
14010200501,م إبتدائية عين بومرة   مكتب 1,2,0,0,1,2,2,95,5,2,5,4,2,8,0,0,0,4,1,1,1,4,0,1,31,2,48,7,228.0
14010200502,م إبتدائية عين بومرة   مكتب 2,1,0,0,0,1,3,53,7,1,1,2,1,0,0,0,0,1,1,0,0,3,0,1,23,0,23,5,127.0
14010200601,م إبتدائية السعايدية - عين بومرة  مكتب 1,5,0,0,1,2,2,119,10,1,1,1,1,2,2,1,2,1,0,0,0,1,1,1,30,0,67,1,252.0
14010300701,م إبتدائية هماد - الفريوات  مكتب 1,4,0,1,1,3,5,68,13,1,2,6,0,6,0,0,0,2,1,1,0,6,1,1,57,2,80,5,266.0
14010300801,م إبتدائية الفريوات  مكتب 1,2,0,2,2,0,2,51,8,3,0,2,1,7,2,0,2,2,1,3,2,1,1,0,23,1,30,5,153.0
14010300802,م إبتدائية الفريوات  مكتب 2,0,0,0,0,1,2,50,8,0,0,2,0,0,0,0,0,1,0,1,0,4,0,0,26,0,26,5,126.0
14010400901,م إبتدائية عين دباب - سيدي مسعود  مكتب 1,2,0,0,3,2,2,96,0,0,1,2,0,2,1,1,0,3,1,0,0,1,0,0,13,1,20,1,152.0
14010401001,م إبتدائية سيدي مسعود   مكتب 1,0,1,1,1,6,6,129,5,2,1,3,1,8,2,3,3,7,2,0,4,4,2,0,45,1,109,8,354.0
14010401002,م إبتدائية سيدي مسعود   مكتب 2,0,0,1,0,0,0,44,12,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,37,0,45,4,149.0
14010401101,م إبتدائية سد نبهانة - سيدي مسعود  مكتب 1,0,0,0,1,1,1,27,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,2,0,7,2,46.0
14010501201,م إبتدائية الدخيلة  مكتب 1,2,0,0,2,1,3,77,5,2,0,1,0,2,1,1,0,1,0,1,1,2,0,1,19,0,58,2,182.0
14010501202,م إبتدائية الدخيلة  مكتب 2,0,0,0,0,0,1,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,59,2,105.0
14010501301,م إبتدائية فطناسة - الدخيلة  مكتب 1,0,0,0,0,0,7,47,6,0,0,4,0,0,0,1,0,1,0,2,1,2,0,0,67,2,92,8,240.0
14010601401,م إبتدائية الذريعات   مكتب 1,2,1,1,4,1,2,101,4,0,1,9,3,1,1,1,1,2,0,0,1,4,0,0,37,0,46,10,233.0
14010601402,م إبتدائية الذريعات   مكتب 2,0,0,0,2,1,0,33,3,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,19,0,26,0,94.0
14010601501,م إبتدائية هندي الزيتونة - الذريعات  مكتب 1,2,1,1,3,1,2,68,7,4,1,6,3,9,0,0,0,1,2,0,0,4,0,0,41,0,36,6,198.0
