#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
15010100101,م إبتدائية الزهور 1 - الزهور الغربي (1)  مكتب 1,2,1,0,3,0,3,120,13,5,1,0,1,1,2,0,3,3,1,0,3,4,0,39,109,2,32,14,362.0
15010100102,م إبتدائية الزهور 1 - الزهور الغربي (1)  مكتب 2,1,0,0,1,2,2,101,18,8,0,3,1,1,2,0,1,1,0,0,1,1,0,30,131,0,26,21,352.0
15010100103,م إبتدائية الزهور 1 - الزهور الغربي (1)  مكتب 3,0,0,1,0,1,2,91,24,4,1,1,0,2,0,0,0,0,1,0,1,2,0,33,167,0,19,37,387.0
15010100104,م إبتدائية الزهور 1 - الزهور الغربي (1)  مكتب 4,2,0,0,0,0,0,66,12,3,0,3,1,2,0,0,1,1,0,0,0,0,0,29,157,0,24,27,328.0
15010100105,م إبتدائية الزهور 1 - الزهور الغربي (1)  مكتب 5,0,0,1,0,0,0,63,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,19,165,0,15,9,291.0
15010100106,م إبتدائية الزهور 1 - الزهور الغربي (1)  مكتب 6,0,0,1,0,0,1,53,19,4,0,0,0,0,0,0,0,1,0,2,0,0,0,17,128,2,13,10,251.0
15010100107,م إبتدائية الزهور 1 - الزهور الغربي (1)  مكتب 7,0,0,0,0,0,0,49,23,3,0,2,0,0,0,0,0,0,0,0,0,1,0,20,115,0,12,9,234.0
15010100201,م إبتدائية الزهور 2 - الزهور الغربي (1)  مكتب 1,0,0,1,3,1,3,105,12,9,2,2,0,6,3,1,1,4,5,3,0,2,0,23,95,1,19,18,319.0
15010100202,م إبتدائية الزهور 2 - الزهور الغربي (1)  مكتب 2,0,0,0,0,1,2,100,23,2,0,2,0,0,0,0,2,0,3,1,0,2,0,34,144,0,16,25,357.0
15010100203,م إبتدائية الزهور 2 - الزهور الغربي (1)  مكتب 3,0,0,0,0,0,2,74,17,6,1,3,0,1,1,0,0,0,0,0,0,3,0,35,128,0,22,13,306.0
15010100204,م إبتدائية الزهور 2 - الزهور الغربي (1)  مكتب 4,0,0,1,0,0,0,43,14,2,0,2,0,1,1,0,0,0,0,0,0,0,0,21,133,0,16,22,256.0
15010100205,م إبتدائية الزهور 2 - الزهور الغربي (1)  مكتب 5,0,0,0,0,0,0,34,31,2,0,2,0,2,0,0,0,0,0,0,0,0,0,16,95,0,15,21,218.0
15010200301,م إبتدائية سعد الدين - الزهور الغربي (2)  مكتب 1,5,1,1,7,2,3,101,9,6,2,3,1,5,4,1,1,2,1,1,3,3,1,33,94,2,46,8,346.0
15010200302,م إبتدائية سعد الدين - الزهور الغربي (2)  مكتب 2,1,1,1,3,2,0,119,8,2,0,5,0,3,0,1,2,0,3,0,1,1,0,38,134,1,37,17,380.0
15010200303,م إبتدائية سعد الدين - الزهور الغربي (2)  مكتب 3,0,0,0,0,0,2,86,9,4,1,2,0,3,1,0,1,1,0,1,1,5,0,26,131,0,36,19,329.0
15010200304,م إبتدائية سعد الدين - الزهور الغربي (2)  مكتب 4,0,0,1,0,1,2,83,14,1,1,2,1,2,0,1,1,0,2,0,2,1,0,18,122,1,22,11,289.0
15010200305,م إبتدائية سعد الدين - الزهور الغربي (2)  مكتب 5,1,0,2,0,0,1,68,14,8,0,2,0,1,0,1,0,1,0,0,0,3,0,12,96,1,25,10,246.0
15010200306,م إبتدائية سعد الدين - الزهور الغربي (2)  مكتب 6,0,0,2,0,0,0,47,28,2,0,1,0,1,0,0,0,0,0,0,3,1,0,17,98,0,17,9,226.0
15010200401,م إبتدائية أولاد بوعلاق - الزهور الشرقي  مكتب 1,5,2,1,3,4,6,59,10,6,0,6,1,5,2,4,3,2,7,2,5,3,1,16,91,1,39,12,296.0
15010200402,م إبتدائية أولاد بوعلاق - الزهور الشرقي  مكتب 2,0,1,1,3,2,3,59,10,3,1,0,1,1,0,0,0,0,1,1,1,1,0,16,151,1,48,20,325.0
15010200403,م إبتدائية أولاد بوعلاق - الزهور الشرقي  مكتب 3,0,1,0,0,0,0,58,22,0,0,1,0,1,0,0,1,1,0,0,1,2,0,14,152,1,35,8,298.0
15010200404,م إبتدائية أولاد بوعلاق - الزهور الشرقي  مكتب 4,1,0,1,1,0,2,39,29,4,0,1,1,2,1,1,0,0,0,0,0,1,0,8,107,0,21,11,231.0
15010300501,م إبتدائية عين الخضراء - الزهور الغربي (4)  مكتب 1,1,2,1,1,2,2,38,9,12,0,2,0,2,1,1,0,3,0,0,2,3,0,14,70,1,44,6,217.0
15010300502,م إبتدائية عين الخضراء - الزهور الغربي (4)  مكتب 2,0,0,0,1,0,0,19,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,87,0,40,7,173.0
مجموع أصوات القائمة,19,9,16,26,18,36,1675,400,99,10,45,8,43,18,11,18,20,24,11,24,39,2,529,2900,14,639,364,7017,
