#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
15110121101,م إبتدائية  2ماررس 34 فريانة - فريانة المدينة  مكتب 1,0,0,1,2,3,0,125,7,0,1,1,0,2,0,0,1,0,1,1,1,1,0,21,123,1,13,19,324.0
15110121102,م إبتدائية  2ماررس 34 فريانة - فريانة المدينة  مكتب 2,0,0,2,1,0,0,91,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,120,0,9,20,276.0
15110121103,م إبتدائية  2ماررس 34 فريانة - فريانة المدينة  مكتب 3,1,0,0,0,0,0,52,14,0,0,1,0,1,0,1,0,0,0,0,0,0,0,12,99,0,10,18,209.0
15110121201,م إبتدائية غرة جوان 55 فريانة - فريانة المدينة  مكتب 1,1,0,1,2,0,1,59,15,0,0,1,0,1,0,0,0,0,0,0,0,4,0,12,82,0,24,12,215.0
15110121301,م إبتدائية سيدي تليل - فريانة المدينة  مكتب 1,2,1,2,3,0,2,112,16,6,2,5,0,7,2,1,1,0,2,1,0,2,1,22,81,4,16,14,305.0
15110121302,م إبتدائية سيدي تليل - فريانة المدينة  مكتب 2,2,1,0,2,1,1,111,24,3,0,1,0,3,1,1,0,0,0,0,0,1,0,22,144,0,17,27,362.0
15110121303,م إبتدائية سيدي تليل - فريانة المدينة  مكتب 3,0,0,0,0,1,0,75,22,1,1,1,0,2,0,0,0,1,0,0,0,0,0,12,135,0,12,33,296.0
15110121304,م إبتدائية سيدي تليل - فريانة المدينة  مكتب 4,0,0,0,0,0,0,58,25,0,0,0,1,3,0,0,0,1,0,0,0,0,0,10,114,0,16,14,242.0
15110221401,م إبتدائية حي الهادي العجلاني فريانة - العرق  مكتب 1,3,1,2,3,1,0,108,15,0,0,3,1,8,1,0,2,3,0,2,0,4,0,16,82,1,16,21,293.0
15110221402,م إبتدائية حي الهادي العجلاني فريانة - العرق  مكتب 2,0,0,1,1,0,0,64,12,1,1,1,0,1,0,0,0,2,0,0,0,2,0,24,122,0,18,25,275.0
15110221403,م إبتدائية حي الهادي العجلاني فريانة - العرق  مكتب 3,1,0,0,0,0,0,36,13,0,0,1,0,0,0,0,0,0,0,1,0,1,2,7,91,0,13,17,183.0
15110321501,م إبتدائية الأحواش  مكتب 1,0,1,2,0,0,3,105,20,1,2,3,0,6,1,0,2,1,2,1,0,1,1,9,154,2,24,20,361.0
15110321502,م إبتدائية الأحواش  مكتب 2,0,0,0,0,0,0,88,17,0,0,2,1,1,0,0,1,0,0,0,0,0,0,10,201,0,21,21,363.0
15110321503,م إبتدائية الأحواش  مكتب 3,0,0,1,0,0,0,53,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,128,0,10,24,249.0
15110321601,م إبتدائية حي الازدهار - الأحواش  مكتب 1,3,0,0,2,2,5,133,11,1,0,3,1,2,1,0,1,1,0,2,1,5,2,12,162,1,16,18,385.0
15110321602,م إبتدائية حي الازدهار - الأحواش  مكتب 2,1,0,1,3,0,2,93,18,1,0,2,1,1,0,1,0,1,0,0,0,1,0,11,199,2,23,17,378.0
