#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
15120124401,م إبتدائية  2مارس 34 فوسانة  مكتب 1,1,0,0,2,2,1,82,2,19,3,6,3,7,1,2,3,1,0,2,3,6,1,22,144,0,29,10,352.0
15120124402,م إبتدائية  2مارس 34 فوسانة  مكتب 2,1,3,1,1,3,3,49,6,7,1,0,0,7,0,2,1,2,1,2,4,6,0,15,183,0,35,15,348.0
15120124403,م إبتدائية  2مارس 34 فوسانة  مكتب 3,0,0,1,2,0,0,72,10,10,0,1,0,3,1,2,1,1,3,2,3,1,0,6,202,0,34,14,369.0
15120124404,م إبتدائية  2مارس 34 فوسانة  مكتب 4,1,0,0,1,1,1,35,5,2,0,1,0,3,0,1,0,0,2,0,1,3,0,11,184,0,29,18,299.0
15120124405,م إبتدائية  2مارس 34 فوسانة  مكتب 5,0,1,0,0,0,1,30,11,4,1,1,0,2,0,0,0,1,0,1,0,6,0,7,154,0,12,3,235.0
15120124406,م إبتدائية  2مارس 34 فوسانة  مكتب 6,0,0,0,1,0,0,20,16,5,0,2,0,4,1,0,0,1,1,0,1,3,0,10,122,0,15,13,215.0
15120124501,م إبتدائية الفتح فوسانة   مكتب 1,0,0,1,1,0,4,53,7,10,1,3,0,0,2,0,0,3,0,1,0,4,1,13,221,1,31,14,371.0
15120124502,م إبتدائية الفتح فوسانة   مكتب 2,3,0,1,0,1,1,19,10,4,0,2,0,1,0,0,0,0,0,0,0,1,0,7,165,0,24,7,246.0
15120124601,م إبتدائية أولاد بركة - فوسانة  مكتب 1,0,0,0,0,0,0,9,4,7,0,0,0,3,1,0,0,0,0,1,0,2,0,1,147,0,38,3,216.0
15120224701,م إبتدائية الساطور - فوسانة الأحواز  مكتب 1,0,2,0,1,3,3,31,6,4,1,1,0,2,3,0,1,2,1,0,2,2,0,2,112,1,22,8,210.0
15120224702,م إبتدائية الساطور - فوسانة الأحواز  مكتب 2,0,0,0,0,0,0,12,5,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,112,0,10,3,148.0
