circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kasserine,HassiElFrid,15070110301,م إبتدائية  2مارس 34 حاسي الفريد  مكتب 1,1,0,0,0,3,0,85,8,0,0,0,0,2,1,1,0,2,2,1,1,2,1,43,184,0,25,0,362
Kasserine,HassiElFrid,15070110302,م إبتدائية  2مارس 34 حاسي الفريد  مكتب 2,0,0,0,0,0,0,46,11,0,0,1,0,0,0,0,1,0,0,0,0,1,0,26,139,0,8,2,235
Kasserine,HassiElFrid,15070110401,م إبتدائية عين سيدي محمود - حاسي الفريد  مكتب 1,1,0,0,1,0,2,82,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,24,0,28,1,146
Kasserine,HassiElFrid,15070110501,م إبتدائية الساهلة - حاسي الفريد  مكتب 1,0,0,0,0,0,0,42,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11,12,0,19,0,87
Kasserine,HassiElFrid,15070110601,م إبتدائية المحافير حاسي فريد   مكتب 1,1,0,0,0,0,2,33,7,0,3,0,1,2,0,0,0,2,0,0,0,1,0,6,49,0,34,0,141
Kasserine,HassiElFrid,15070110701,م إبتدائية العمامرية - حاسي الفريد  مكتب 1,0,0,0,1,0,1,24,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,51,0,18,0,103
Kasserine,HassiElFrid,15070110801,م إبتدائية بئر حمودة - حاسي الفريد  مكتب 1,1,0,0,0,1,0,20,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,29,64,0,3,2,125
Kasserine,HassiElFrid,15070210901,م إبتدائية الهشيم   مكتب 1,0,1,0,1,0,1,97,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0,5,42,1,12,2,168
Kasserine,HassiElFrid,15070211001,م إبتدائية القويرة - الهشيم  مكتب 1,0,0,0,0,0,1,42,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,5,23,1,20,0,97
Kasserine,HassiElFrid,15070211101,م إبتدائية عين سالم - الهشيم  مكتب 1,0,0,0,1,1,0,52,0,0,0,2,0,3,0,0,1,2,0,1,0,2,0,1,3,2,13,0,84
Kasserine,HassiElFrid,15070311201,م إبتدائية خنقة الجازية   مكتب 1,1,1,0,0,1,1,47,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,12,0,45,1,120
Kasserine,HassiElFrid,15070311301,م إبتدائية اللبيبات حاسي الفريد - خنقة الجازية  مكتب 1,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,1,72,0,109
Kasserine,HassiElFrid,15070311401,م إبتدائية بفج الحديد - خنقة الجازية  مكتب 1,0,0,0,1,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,38,1,73
Kasserine,HassiElFrid,15070411501,م إبتدائية المزيرعة - السلوم  مكتب 1,3,0,0,0,0,4,32,0,2,0,2,2,0,0,0,0,0,1,0,0,1,1,0,9,0,117,0,174
Kasserine,HassiElFrid,15070411601,م إبتدائية جبل الخروب - السلوم  مكتب 1,5,2,0,0,0,6,18,0,1,0,1,1,1,0,0,0,3,0,1,1,0,1,0,31,0,107,4,183
Kasserine,HassiElFrid,15070411701,م إبتدائية الرميلة - السلوم  مكتب 1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,22
Kasserine,HassiElFrid,15070511801,م إبتدائية الكامور  مكتب 1,1,1,0,3,1,1,125,3,2,0,1,0,0,1,4,0,0,1,0,1,2,1,1,131,1,33,0,314
Kasserine,HassiElFrid,15070511901,م إبتدائية مقسم التراب - الكامور  مكتب 1,0,0,0,2,1,1,46,7,0,0,2,0,1,1,0,0,1,1,0,0,2,1,2,93,0,6,3,170
Kasserine,HassiElFrid,15070512001,م إبتدائية قصر الطويل - الكامور  مكتب 1,2,0,1,0,0,2,74,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,25,0,11,0,122
Kasserine,HassiElFrid,15070512101,م إبتدائية الفرش1 حاسي الفريد - الكامور  مكتب 1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,12
Kasserine,HassiElFrid,15070512201,م إبتدائية السودان - الكامور  مكتب 1,0,0,0,1,0,0,21,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,24,1,14,0,68
Kasserine,HassiElFrid,15070512301,م إبتدائية الفكة - الكامور  مكتب 1,1,0,0,0,2,0,79,2,2,0,1,0,0,0,1,0,1,0,0,0,3,0,11,122,2,16,2,245
Kasserine,HassiElFrid,15070512401,م إبتدائية  14 جانفي دخلة سيدي بوجمعة - الكامور  مكتب 1,1,0,0,1,0,2,77,18,3,0,2,0,2,0,0,1,0,0,0,0,0,0,2,79,0,1,4,193
