circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kasserine,Jediliane,15060109001,م إبتدائية  2مارس 34 - جدليان  مكتب 1,0,1,0,2,1,1,167,3,5,0,0,0,1,0,0,3,2,1,1,2,6,0,44,52,1,10,10,313
Kasserine,Jediliane,15060109002,م إبتدائية  2مارس 34 - جدليان  مكتب 2,0,0,1,0,1,1,165,8,2,0,1,1,5,1,0,0,1,0,0,0,1,1,73,91,2,10,9,374
Kasserine,Jediliane,15060109003,م إبتدائية  2مارس 34 - جدليان  مكتب 3,0,0,0,0,0,0,138,4,0,0,2,0,2,0,0,1,0,0,0,0,0,0,37,77,1,15,13,290
Kasserine,Jediliane,15060109004,م إبتدائية  2مارس 34 - جدليان  مكتب 4,1,0,1,0,0,0,84,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,29,49,0,12,11,201
Kasserine,Jediliane,15060109101,م إبتدائية جدليان الغربية - جدليان  مكتب 1,3,0,0,1,2,3,82,3,1,0,1,0,2,1,2,1,2,0,0,0,3,0,59,77,1,11,12,267
Kasserine,Jediliane,15060109102,م إبتدائية جدليان الغربية - جدليان  مكتب 2,0,0,0,0,0,0,35,5,0,0,3,0,0,0,0,1,0,0,0,0,4,0,30,95,0,8,19,200
Kasserine,Jediliane,15060109201,م إبتدائية الروايسية - جدليان  مكتب 1,1,1,0,2,2,1,55,1,1,0,2,0,1,0,1,0,0,0,0,0,4,0,6,37,0,21,16,152
Kasserine,Jediliane,15060209301,م إبتدائية عين الخريبة - فج تربح  مكتب 1,0,1,1,0,0,2,53,8,1,0,2,0,0,0,1,1,1,0,0,0,2,0,19,48,1,27,2,170
Kasserine,Jediliane,15060209401,م إبتدائية سيدي علي بهلول 14 جانفي - فج تربح  مكتب 1,0,0,0,0,0,0,45,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,29,3,0,14,5,101
Kasserine,Jediliane,15060209501,م إبتدائية بئر سفيان - فج تربح  مكتب 1,0,0,0,2,0,0,27,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,13,12,0,7,2,70
Kasserine,Jediliane,15060309601,م إبتدائية عين الحمادنة   مكتب 1,3,1,1,3,2,3,50,7,2,0,5,0,1,1,0,0,0,1,2,0,6,0,53,10,0,71,9,231
Kasserine,Jediliane,15060409701,م إبتدائية عين الجديدة - محرزة  مكتب 1,0,0,0,1,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,16,3,1,12,12,56
Kasserine,Jediliane,15060409801,م إبتدائية الزلافنة الحوالة - محرزة  مكتب 1,1,0,1,1,1,0,28,1,1,1,5,0,1,1,0,1,1,1,1,0,0,0,13,5,0,10,21,95
Kasserine,Jediliane,15060509901,م إبتدائية عين أم جدور  مكتب 1,1,0,0,1,0,1,17,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,10,6,0,6,4,51
Kasserine,Jediliane,15060510001,م إبتدائية البلد جدليان - عين أم الجدور  مكتب 1,3,0,0,2,0,0,29,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,16,4,0,3,5,66
Kasserine,Jediliane,15060510101,م إبتدائية هنشير الحمام - عين أم الجدور  مكتب 1,0,0,0,2,0,1,64,1,0,0,0,0,2,0,1,1,0,0,0,1,3,0,18,6,0,8,3,111
Kasserine,Jediliane,15060510201,م إبتدائية البياض بوعرعار - عين أم الجدور  مكتب 1,0,1,0,0,1,0,19,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,3,5,0,14,0,48
