#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
15040104801,م إبتدائية الشابي القصرين - البساتين  مكتب 1,1,1,2,1,0,3,181,10,9,3,1,1,6,0,1,1,1,0,0,0,3,0,32,90,0,14,23,384
15040104802,م إبتدائية الشابي القصرين - البساتين  مكتب 2,0,0,1,0,3,2,143,9,11,0,3,1,2,0,0,0,2,0,0,2,2,0,36,102,2,20,44,385
15040104803,م إبتدائية الشابي القصرين - البساتين  مكتب 3,0,0,2,0,0,0,122,12,12,0,2,0,2,0,0,0,2,2,0,0,0,0,28,133,0,22,29,368
15040104804,م إبتدائية الشابي القصرين - البساتين  مكتب 4,0,1,0,1,0,1,90,18,6,0,0,0,2,0,0,0,0,0,0,0,0,0,26,138,0,16,23,322
15040104805,م إبتدائية الشابي القصرين - البساتين  مكتب 5,0,0,0,0,1,1,67,20,4,0,1,0,1,0,0,0,0,1,0,0,0,0,29,126,0,6,15,272
15040104806,م إبتدائية الشابي القصرين - البساتين  مكتب 6,0,0,0,0,0,0,55,17,3,0,1,0,1,0,0,0,0,0,0,1,0,0,14,81,0,9,31,213
15040104901,م إبتدائية الشرقية-القصرين - البساتين  مكتب 1,1,1,1,5,0,2,186,11,17,1,0,1,1,1,1,2,1,2,1,1,0,1,41,103,1,14,34,430
15040104902,م إبتدائية الشرقية-القصرين - البساتين  مكتب 2,1,0,1,1,3,0,140,8,19,0,1,0,4,0,0,3,1,2,0,0,1,2,34,103,3,16,27,370
15040104903,م إبتدائية الشرقية-القصرين - البساتين  مكتب 3,0,0,0,0,0,0,159,19,27,0,4,0,4,0,0,0,0,2,0,0,0,0,31,151,0,13,52,462
15040104904,م إبتدائية الشرقية-القصرين - البساتين  مكتب 4,0,0,1,0,0,0,127,22,17,0,3,0,2,1,0,0,0,1,0,0,0,0,29,174,0,18,40,435
15040104905,م إبتدائية الشرقية-القصرين - البساتين  مكتب 5,0,0,0,1,0,0,86,19,16,0,2,0,2,0,1,0,0,1,0,0,1,0,25,167,0,19,24,364
15040104906,م إبتدائية الشرقية-القصرين - البساتين  مكتب 6,0,0,2,0,1,0,77,21,18,0,2,0,0,0,0,0,0,0,0,0,0,0,21,147,0,11,24,324
15040104907,م إبتدائية الشرقية-القصرين - البساتين  مكتب 7,0,0,0,1,0,0,77,34,14,0,2,1,0,1,0,0,0,0,0,0,0,0,15,139,0,7,29,320
15040105001,م إبتدائية النور1 القصرين - النور الشرقي  مكتب 1,0,1,2,6,1,4,128,13,22,3,2,0,1,5,1,1,1,0,1,0,6,0,33,111,0,17,16,375
