#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
15030102501,م إبتدائية عين نوبة - العويجة  مكتب 1,0,0,1,0,0,0,7,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8,0,23,0,44.0
15030102601,م إبتدائية العويجة  مكتب 1,0,0,1,0,0,0,49,2,1,0,1,0,0,0,0,0,0,2,0,0,1,0,3,33,0,9,2,104.0
15030102701,م إبتدائية وسنينت - العويجة  مكتب 1,0,0,1,0,1,2,57,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,17,0,69,0,154.0
15030102801,م إبتدائية الهدى - العويجة  مكتب 1,1,0,0,1,0,2,80,17,1,0,0,1,3,0,1,1,0,0,0,0,1,0,7,41,0,16,11,184.0
15030102901,م إبتدائية المثنانية - العويجة  مكتب 1,1,0,0,0,1,0,56,5,2,0,2,0,0,0,0,0,0,0,0,0,0,1,9,73,1,36,6,193.0
15030203001,م إبتدائية كدية موسى - بولهيجات  مكتب 1,0,0,0,0,2,0,10,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,43,0,13,15,96.0
15030203101,م إبتدائية القرعة - بولهيجات  مكتب 1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,62,0,8,0,82.0
15030203201,م إبتدائية الوشواشة - بولهيجات  مكتب 1,2,0,0,0,0,0,13,9,2,0,1,0,2,2,2,1,0,0,0,0,1,0,12,43,0,13,2,105.0
15030203301,الجمعية التنموية الريفية - بولهيجات  مكتب 1,0,0,0,0,0,0,56,2,1,0,1,0,1,0,2,0,0,0,0,0,0,0,3,18,0,3,6,93.0
15030303401,م إبتدائية مقدودش  مكتب 1,0,0,0,0,0,0,36,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,12,0,4,1,65.0
15030303501,م إبتدائية بوصفة - مقدودش  مكتب 1,1,0,0,0,1,0,45,11,1,1,0,0,2,0,0,2,1,0,2,0,2,1,13,107,1,54,3,248.0
15030303601,م إبتدائية المقيسمات القصرين الجنوبية - مقدودش  مكتب 1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,1,1,1,33.0
15030303701,م إبتدائية فج النعام - مقدودش  مكتب 1,0,0,0,0,0,3,22,2,0,0,2,0,1,1,0,3,0,0,2,1,1,0,6,25,2,113,11,195.0
15030303801,م إبتدائية الفرش 2 - مقدودش  مكتب 1,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,40,0,17,0,72.0
15030403901,م إبتدائية بوزقام   مكتب 1,1,0,0,1,2,2,126,8,3,1,5,2,1,0,0,2,0,3,1,1,0,2,21,91,1,30,13,317.0
15030403902,م إبتدائية بوزقام   مكتب 2,1,0,0,2,1,2,108,22,8,0,2,0,0,0,0,1,0,1,0,0,1,0,28,145,0,23,17,362.0
15030403903,م إبتدائية بوزقام   مكتب 3,0,0,1,1,0,0,70,10,3,0,2,0,1,0,0,0,1,0,0,1,0,0,20,137,0,13,12,272.0
15030403904,م إبتدائية بوزقام   مكتب 4,1,0,3,0,0,0,52,15,5,0,4,0,1,0,0,0,0,0,0,0,0,0,20,104,0,20,8,233.0
15030404001,م إبتدائية الطرش - بوزقام  مكتب 1,2,0,2,2,3,3,55,3,7,0,1,1,0,0,0,0,0,1,2,2,4,0,9,68,0,35,7,207.0
15030404002,م إبتدائية الطرش - بوزقام  مكتب 2,1,1,1,1,1,2,41,9,1,0,2,1,0,0,1,1,0,1,1,0,0,0,5,57,0,24,8,159.0
15030404101,م إبتدائية البريج - بوزقام  مكتب 1,0,1,0,3,1,1,62,5,3,0,0,0,1,0,0,1,2,1,0,0,2,0,6,61,0,10,1,161.0
15030404201,م إبتدائية القواسم - بوزقام  مكتب 1,0,0,0,0,0,0,77,9,3,2,0,0,0,1,1,1,1,1,0,0,0,1,18,66,0,16,4,201.0
15030404301,م إبتدائية هنشير القصعة - بوزقام  مكتب 1,1,2,2,1,4,0,62,9,4,0,1,1,3,0,1,0,0,1,1,0,3,0,7,68,0,7,14,192.0
15030404302,م إبتدائية هنشير القصعة - بوزقام  مكتب 2,0,0,0,0,0,3,39,13,6,0,2,0,2,0,0,0,0,0,0,0,0,0,4,51,1,5,3,129.0
15030404401,م إبتدائية أولاد حسين - بوزقام  مكتب 1,1,0,0,0,1,1,60,1,3,0,2,1,3,0,0,1,2,2,1,1,1,0,13,55,1,18,12,180.0
15030504501,م إبتدائية فج بوحسين - الدغرة  مكتب 1,1,1,1,0,1,1,26,7,1,1,0,1,1,0,1,1,2,1,0,0,0,0,5,20,1,27,1,101.0
15030504601,م إبتدائية الدغرة - الدغرة  مكتب 1,0,1,1,2,1,0,64,19,2,0,2,0,1,3,0,0,2,1,2,0,1,0,5,81,1,11,10,210.0
15030504602,م إبتدائية الدغرة - الدغرة  مكتب 2,0,0,0,0,1,0,34,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,0,11,9,180.0
15030604701,م إبتدائية سيدي حراث   مكتب 1,0,1,0,1,2,0,73,9,9,1,2,0,2,0,0,0,1,1,3,0,4,0,8,46,1,18,5,187.0
15030604702,م إبتدائية سيدي حراث   مكتب 2,0,0,0,0,0,0,33,5,2,0,3,0,1,1,1,1,1,0,1,0,0,0,7,47,0,4,1,108.0
مجموع أصوات القائمة,14,7,15,15,23,22,1430,237,73,7,37,9,27,8,11,16,17,18,17,7,23,5,247,1737,11,651,183,4867,
