circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kasserine,MejelBelAbbes,15130127801,م إبتدائية   14 جانفي - الماجل الشمالية  مكتب 1,1,1,1,5,0,1,132,8,0,0,3,1,1,1,1,2,0,0,2,0,4,0,12,130,1,33,11,351
Kasserine,MejelBelAbbes,15130127802,م إبتدائية   14 جانفي - الماجل الشمالية  مكتب 2,0,0,0,1,0,3,101,5,4,1,3,0,3,0,0,0,1,0,0,0,2,1,9,178,0,32,29,373
Kasserine,MejelBelAbbes,15130127803,م إبتدائية   14 جانفي - الماجل الشمالية  مكتب 3,0,0,1,1,0,0,79,4,4,0,2,0,1,1,0,3,0,0,0,0,1,2,9,147,1,18,22,296
Kasserine,MejelBelAbbes,15130127804,م إبتدائية   14 جانفي - الماجل الشمالية  مكتب 4,0,0,0,0,0,1,46,5,0,0,3,0,1,0,0,0,1,0,0,0,0,1,9,120,0,7,29,223
Kasserine,MejelBelAbbes,15130127901,م إبتدائية الأمل - الماجل الشمالية  مكتب 1,0,0,0,2,1,0,27,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,23,1,21,34,117
Kasserine,MejelBelAbbes,15130128001,م إبتدائية الهدايــة - الماجل الشمالية  مكتب 1,0,0,0,0,1,1,42,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,3,11,0,10,4,77
Kasserine,MejelBelAbbes,15130228101,م إبتدائية بروكة - الماجل الجنوبية  مكتب 1,1,0,2,0,1,1,103,8,2,1,1,0,3,1,2,0,0,4,1,0,2,1,8,89,0,24,3,258
Kasserine,MejelBelAbbes,15130228201,م إبتدائية ماجل عكروت - الماجل الجنوبية  مكتب 1,1,0,1,2,0,2,70,2,1,1,1,0,3,0,0,1,1,2,1,1,2,0,1,55,0,13,8,169
Kasserine,MejelBelAbbes,15130228301,م إبتدائية الناصرية - الماجل الجنوبية  مكتب 1,0,0,0,0,1,1,29,2,0,0,2,0,1,0,1,0,1,1,0,0,0,0,2,45,0,4,3,93
Kasserine,MejelBelAbbes,15130228401,م إبتدائية العيايشة - الماجل الجنوبية  مكتب 1,1,0,1,2,1,0,18,0,1,0,2,0,1,0,0,1,0,1,2,0,0,0,1,30,0,22,9,93
Kasserine,MejelBelAbbes,15130228501,م إبتدائية سيدي رابح - الماجل الجنوبية  مكتب 1,1,0,0,0,0,0,17,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,35,0,6,3,67
Kasserine,MejelBelAbbes,15130328601,م إبتدائية أولاد مرزوق - أم الأقصاب  مكتب 1,1,1,0,1,1,0,11,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,134,0,10,4,171
Kasserine,MejelBelAbbes,15130328701,م إبتدائية أم الأقصاب   مكتب 1,0,0,1,0,1,0,60,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,4,45,1,12,16,146
Kasserine,MejelBelAbbes,15130328801,م إبتدائية الفكة - أم الأقصاب  مكتب 1,0,0,0,0,1,0,62,4,2,1,0,0,1,1,0,0,0,0,1,0,5,0,1,29,1,22,10,141
