circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kasserine,Sbeitla,15100116101,م إبتدائية حشاد سبيطلة   مكتب 1,1,1,2,3,2,0,109,21,1,0,2,0,0,0,1,3,0,0,2,0,0,0,44,111,0,35,18,356
Kasserine,Sbeitla,15100116102,م إبتدائية حشاد سبيطلة   مكتب 2,0,0,1,0,1,0,99,14,0,0,3,0,1,0,0,1,0,0,1,0,2,0,32,113,0,41,14,323
Kasserine,Sbeitla,15100116103,م إبتدائية حشاد سبيطلة   مكتب 3,0,0,1,0,1,0,56,24,0,0,2,0,0,0,0,0,0,3,0,0,2,0,17,93,0,26,14,239
Kasserine,Sbeitla,15100116201,م إبتدائية الجمهورية سبيطلة  مكتب 1,1,0,1,2,0,2,174,16,1,1,0,0,2,1,1,2,0,0,2,0,2,0,35,71,0,14,10,338
Kasserine,Sbeitla,15100116202,م إبتدائية الجمهورية سبيطلة  مكتب 2,0,0,0,2,0,1,135,28,0,0,2,0,0,0,1,1,1,0,0,0,2,0,31,114,0,27,15,360
Kasserine,Sbeitla,15100116203,م إبتدائية الجمهورية سبيطلة  مكتب 3,0,0,1,0,0,0,62,34,1,0,0,0,1,0,0,1,0,0,0,1,2,0,32,70,0,17,20,242
Kasserine,Sbeitla,15100116301,م إبتدائية الغابات2 - سبيطلة  مكتب 1,0,1,0,1,0,3,93,15,2,0,2,1,1,0,0,0,1,0,0,0,0,1,34,133,1,27,28,344
Kasserine,Sbeitla,15100116302,م إبتدائية الغابات2 - سبيطلة  مكتب 2,0,0,0,0,1,1,49,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18,93,0,18,28,227
Kasserine,Sbeitla,15100116401,م إبتدائية الغابات 1 - سبيطلة  مكتب 1,3,2,1,1,2,5,97,10,2,2,9,0,2,4,4,2,1,2,3,1,4,0,39,84,1,50,17,348
Kasserine,Sbeitla,15100116402,م إبتدائية الغابات 1 - سبيطلة  مكتب 2,0,1,1,0,0,2,144,16,0,0,1,2,2,0,0,2,1,1,0,0,1,0,42,114,0,40,19,389
Kasserine,Sbeitla,15100116403,م إبتدائية الغابات 1 - سبيطلة  مكتب 3,0,0,0,0,1,2,85,10,0,1,1,0,1,0,0,0,2,2,0,0,2,0,25,131,0,38,23,324
Kasserine,Sbeitla,15100116404,م إبتدائية الغابات 1 - سبيطلة  مكتب 4,0,0,2,1,1,1,65,14,0,0,1,0,0,0,0,0,0,1,1,0,0,0,26,91,0,21,9,234
Kasserine,Sbeitla,15100116405,م إبتدائية الغابات 1 - سبيطلة  مكتب 5,0,0,0,1,0,0,41,26,0,0,1,0,1,0,0,0,0,0,0,0,0,0,17,70,1,16,15,189
Kasserine,Sbeitla,15100216501,م إبتدائية حي السرور سبيطلة  مكتب 1,2,3,3,3,3,3,143,9,2,1,2,1,4,4,2,0,4,5,2,1,2,0,19,50,5,31,14,318
