#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
19020101001,م إبتدائية  2مارس 34 دوز - دوز الشرقية  مكتب 1,0,0,0,3,1,0,50,4,1,1,7,0,1,0,4,0,0,2,1,0,2,0,2,333,2,4,7,425.0
19020101002,م إبتدائية  2مارس 34 دوز - دوز الشرقية  مكتب 2,0,0,1,2,0,1,26,9,0,0,6,0,0,0,0,1,1,1,0,0,0,1,1,409,1,1,8,469.0
19020101003,م إبتدائية  2مارس 34 دوز - دوز الشرقية  مكتب 3,0,0,0,0,0,0,12,10,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,409,0,1,5,442.0
19020101004,م إبتدائية  2مارس 34 دوز - دوز الشرقية  مكتب 4,0,0,0,0,0,0,22,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,322,0,0,6,360.0
19020101101,م إبتدائية ابن عرفة دوز - دوز الشرقية  مكتب 1,0,0,1,1,0,1,31,1,0,0,3,1,1,1,1,0,1,1,0,0,1,0,2,331,1,3,4,386.0
19020101102,م إبتدائية ابن عرفة دوز - دوز الشرقية  مكتب 2,0,0,0,0,0,0,22,10,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,379,0,0,13,428.0
19020101103,م إبتدائية ابن عرفة دوز - دوز الشرقية  مكتب 3,0,0,0,0,0,0,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,2,383.0
19020101104,م إبتدائية ابن عرفة دوز - دوز الشرقية  مكتب 4,0,0,0,0,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,343,0,1,2,357.0
19020101201,م إبتدائية أم الزرزور 14 جانفي - دوز الشرقية  مكتب 1,0,0,1,0,1,1,16,6,1,0,7,1,0,0,0,0,3,0,0,0,0,1,0,323,1,4,6,372.0
19020101202,م إبتدائية أم الزرزور 14 جانفي - دوز الشرقية  مكتب 2,1,0,0,0,0,0,7,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,1,340.0
19020201301,م إبتدائية القلعة   مكتب 1,0,0,0,1,1,0,14,3,0,0,0,0,4,0,0,1,0,0,0,0,0,5,1,401,2,2,6,441.0
19020201302,م إبتدائية القلعة   مكتب 2,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,450,0,2,9,477.0
19020201303,م إبتدائية القلعة   مكتب 3,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,418,0,0,2,429.0
19020201304,م إبتدائية القلعة   مكتب 4,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,401,0,1,1,411.0
19020201305,م إبتدائية القلعة   مكتب 5,0,0,2,0,0,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,359,0,0,2,373.0
19020201401,م إبتدائية ابن خلدون القلعة   مكتب 1,1,1,0,0,0,0,12,2,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,352,0,1,1,376.0
