#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
19010100101,م إبتدائية دوز الكبرى - دوز الغربية  مكتب 1,0,0,0,1,1,1,64,6,1,0,2,1,4,0,1,2,2,3,0,0,1,1,2,287,1,1,9,391.0
19010100102,م إبتدائية دوز الكبرى - دوز الغربية  مكتب 2,0,0,1,0,0,0,54,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,368,1,3,8,441.0
19010100103,م إبتدائية دوز الكبرى - دوز الغربية  مكتب 3,0,0,0,1,0,1,28,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,340,0,0,5,382.0
19010100104,م إبتدائية دوز الكبرى - دوز الغربية  مكتب 4,0,0,0,0,0,0,10,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,298,0,0,1,317.0
19010100201,م إبتدائية  18جانفي دوز - دوز الغربية   مكتب 1,0,0,1,2,1,0,48,2,2,1,1,0,1,0,1,0,0,1,0,0,3,1,2,342,2,2,11,424.0
19010100202,م إبتدائية  18جانفي دوز - دوز الغربية   مكتب 2,0,0,2,0,0,1,31,1,0,1,4,0,0,0,0,0,2,0,0,2,0,1,0,380,0,2,4,431.0
19010100203,م إبتدائية  18جانفي دوز - دوز الغربية   مكتب 3,0,0,1,1,0,0,17,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,314,0,1,4,345.0
19010100301,م إبتدائية طريق الفوار الواحة - دوز الغربية   مكتب 1,0,0,0,1,0,0,35,2,1,1,1,0,1,1,0,1,3,2,0,1,2,0,1,263,1,3,1,321.0
19010100302,م إبتدائية طريق الفوار الواحة - دوز الغربية   مكتب 2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,247,0,1,0,266.0
19010200401,م إبتدائية زعفران - العذارة  مكتب 1,2,1,3,1,1,0,95,2,0,0,3,0,3,0,2,1,0,2,0,0,1,1,0,184,0,4,5,311.0
19010200402,م إبتدائية زعفران - العذارة  مكتب 2,0,0,1,0,0,0,59,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,163,0,1,4,240.0
19010200501,م إبتدائية زعفران 2 ابن سينا - العذارة  مكتب 1,2,0,2,2,1,0,140,7,0,0,0,0,2,3,1,1,6,1,2,0,2,1,0,171,1,0,12,357.0
19010200502,م إبتدائية زعفران 2 ابن سينا - العذارة  مكتب 2,0,1,0,0,0,0,115,16,0,0,1,0,2,0,0,0,1,0,0,0,2,1,0,152,1,0,8,300.0
19010300601,م إبتدائية غليسية  مكتب 1,0,1,0,2,0,1,73,2,3,0,0,0,3,2,1,0,1,1,0,0,1,0,0,218,3,3,6,321.0
19010300602,م إبتدائية غليسية  مكتب 2,0,0,0,0,0,0,40,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,272,0,3,2,322.0
19010300603,م إبتدائية غليسية  مكتب 3,0,0,0,0,0,0,15,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,217,0,2,5,245.0
19010300701,م إبتدائية الحسي دوز - غليسية  مكتب 1,1,0,0,1,0,0,17,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,38,0,1,0,61.0
19010400801,م إبتدائية نويل - النويل الشمالية  مكتب 1,0,1,1,2,0,0,46,3,2,1,2,1,10,0,1,1,3,1,1,1,4,0,1,253,0,3,3,341.0
19010400802,م إبتدائية نويل - النويل الشمالية  مكتب 2,0,0,2,1,0,0,27,8,0,1,4,0,3,0,0,1,2,0,1,0,0,0,0,301,1,4,4,360.0
19010400803,م إبتدائية نويل - النويل الشمالية  مكتب 3,0,0,2,0,0,0,19,3,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,234,0,0,2,265.0
19010500901,م إبتدائية النجاح نويل - النويل الجنوبية  مكتب 1,1,1,0,1,0,1,30,4,3,0,4,0,0,1,4,1,4,0,0,0,5,0,1,267,1,7,3,339.0
19010500902,م إبتدائية النجاح نويل - النويل الجنوبية  مكتب 2,0,0,1,0,0,0,12,2,0,0,2,1,1,1,0,1,1,0,0,0,3,0,0,259,0,5,0,289.0
مجموع أصوات القائمة,6,5,17,16,4,5,992,87,12,7,34,3,35,9,11,10,28,13,5,5,27,6,9,5568,12,46,97,7069,
