circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kebelli,Faouar,19040103701,م إبتدائية الفوار الجنوبية - الصابرية الغربية  مكتب 1,0,2,0,5,4,1,90,9,2,1,1,2,6,1,3,1,5,1,1,1,5,2,1,249,0,2,5,400
Kebelli,Faouar,19040103702,م إبتدائية الفوار الجنوبية - الصابرية الغربية  مكتب 2,0,0,0,1,0,0,47,5,0,0,2,0,2,1,0,1,1,0,1,0,3,0,1,332,1,2,6,406
Kebelli,Faouar,19040103703,م إبتدائية الفوار الجنوبية - الصابرية الغربية  مكتب 3,0,0,0,0,0,0,34,7,1,0,1,0,1,0,0,1,1,0,0,0,1,0,4,300,0,1,2,354
Kebelli,Faouar,19040203801,م إبتدائية الفوار - الصبرية الشرقية  مكتب 1,0,0,0,0,0,1,18,2,1,0,1,0,0,0,0,0,0,0,1,0,2,1,0,222,0,1,2,252
Kebelli,Faouar,19040203901,م إبتدائية الصابرية - الصبرية الشرقية  مكتب 1,0,0,0,1,0,0,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,153,0,2,2,171
Kebelli,Faouar,19040204001,م إبتدائية الصابرية الشرقية  مكتب 1,1,1,1,2,1,1,28,2,2,1,1,0,1,1,2,1,2,1,0,2,3,2,2,325,0,3,0,386
Kebelli,Faouar,19040204002,م إبتدائية الصابرية الشرقية  مكتب 2,1,0,0,0,1,0,14,3,0,1,2,0,1,0,1,0,0,1,2,0,0,0,0,369,0,2,0,398
Kebelli,Faouar,19040304101,م إبتدائية الهدى الفوار - غريب  مكتب 1,0,0,1,6,0,1,59,1,3,0,1,2,2,1,1,0,4,5,1,0,3,1,0,187,0,13,8,300
Kebelli,Faouar,19040304102,م إبتدائية الهدى الفوار - غريب  مكتب 2,0,0,0,1,0,0,40,2,1,0,3,1,3,0,0,0,0,0,0,0,2,0,0,216,0,11,2,282
Kebelli,Faouar,19040304103,م إبتدائية الهدى الفوار - غريب  مكتب 3,0,0,0,0,0,0,27,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,185,0,4,1,225
Kebelli,Faouar,19040304201,م إبتدائية الفوار الشمالية - غريب  مكتب 1,0,0,0,1,0,1,40,6,0,1,0,0,2,0,4,1,2,0,0,1,4,3,0,243,0,14,15,338
Kebelli,Faouar,19040304202,م إبتدائية الفوار الشمالية - غريب  مكتب 2,0,0,0,0,0,2,27,10,0,0,3,0,0,0,1,0,1,1,1,0,2,1,0,253,0,8,2,312
Kebelli,Faouar,19040404301,م إبتدائية غيدمة  مكتب 1,1,1,0,3,1,4,41,1,3,1,3,0,5,0,1,0,1,3,5,0,8,1,1,218,1,5,4,312
Kebelli,Faouar,19040404302,م إبتدائية غيدمة  مكتب 2,1,0,0,0,1,2,28,4,1,1,1,0,0,1,0,0,0,0,0,0,3,0,1,264,0,0,2,310
Kebelli,Faouar,19040404303,م إبتدائية غيدمة  مكتب 3,0,0,0,0,0,0,28,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,206,0,0,1,240
Kebelli,Faouar,19040504401,م إبتدائية رجيم معتوق   مكتب 1,0,0,0,5,0,3,108,5,2,1,2,4,2,0,1,0,0,0,0,0,2,1,1,94,3,10,2,246
Kebelli,Faouar,19040504402,م إبتدائية رجيم معتوق   مكتب 2,0,0,0,0,0,0,28,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,91,0,4,2,138
Kebelli,Faouar,19040504501,م إبتدائية الفردوس - رجيم معتوق  مكتب 1,0,0,0,0,0,0,53,4,1,0,4,0,5,0,0,1,0,2,0,0,1,0,0,139,0,12,1,223
Kebelli,Faouar,19040504601,م إبتدائية المطروحة - رجيم معتوق  مكتب 1,0,1,0,0,0,1,20,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,63,0,1,0,91
Kebelli,Faouar,19040504701,م إبتدائية النصر 1 رجيم - رجيم معتوق  مكتب 1,1,0,0,0,0,2,26,7,1,0,0,0,1,0,1,1,0,0,0,0,2,1,0,172,0,15,1,231
Kebelli,Faouar,19040604801,م إبتدائية بشني - بشني  مكتب 1,1,0,0,3,0,4,32,8,2,1,3,0,1,1,1,1,3,2,1,0,2,0,1,276,2,27,10,382
Kebelli,Faouar,19040604802,م إبتدائية بشني - بشني  مكتب 2,1,0,0,0,0,0,14,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,293,0,7,4,325
Kebelli,Faouar,19040604901,م إبتدائية الدرجين - بشني  مكتب 1,0,0,1,0,0,1,28,7,0,0,0,0,0,0,1,1,1,2,1,0,1,1,0,137,0,8,1,191
