circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kebelli,KebelliNord,19060106601,م إبتدائية  3سبتمبر 34 - قبلي الشمالية  مكتب 1,0,1,1,1,0,0,80,14,0,0,2,0,2,0,0,2,1,1,1,0,3,1,0,239,0,8,14,371
Kebelli,KebelliNord,19060106602,م إبتدائية  3سبتمبر 34 - قبلي الشمالية  مكتب 2,0,0,2,0,0,0,51,22,0,0,2,0,2,1,0,0,0,0,0,1,1,0,0,280,0,7,14,383
Kebelli,KebelliNord,19060106603,م إبتدائية  3سبتمبر 34 - قبلي الشمالية  مكتب 3,1,0,3,0,0,0,44,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,198,0,2,10,280
Kebelli,KebelliNord,19060106701,م إبتدائية  15أكتوبر - قبلي الشمالية  مكتب 1,0,1,2,1,1,1,40,12,1,1,2,2,1,1,1,0,1,2,0,2,1,1,0,199,0,9,7,289
Kebelli,KebelliNord,19060106702,م إبتدائية  15أكتوبر - قبلي الشمالية  مكتب 2,0,0,1,0,0,0,30,15,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,215,0,3,13,283
Kebelli,KebelliNord,19060106703,م إبتدائية  15أكتوبر - قبلي الشمالية  مكتب 3,0,0,0,0,0,0,22,21,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,185,0,5,11,248
Kebelli,KebelliNord,19060206801,م إبتدائية الجديدة المنصورة  مكتب 1,1,1,1,1,0,3,58,13,0,1,2,1,1,0,1,3,3,0,1,2,5,1,1,207,0,6,31,344
Kebelli,KebelliNord,19060206802,م إبتدائية الجديدة المنصورة  مكتب 2,0,0,1,1,0,1,31,16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,208,0,2,27,289
Kebelli,KebelliNord,19060206901,م إبتدائية فج الريح - الجديدة المنصورة  مكتب 1,1,0,1,2,4,2,82,4,0,0,4,1,1,1,1,0,0,1,0,0,2,0,0,143,0,8,51,309
Kebelli,KebelliNord,19060206902,م إبتدائية فج الريح - الجديدة المنصورة  مكتب 2,1,0,6,0,0,0,49,4,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,134,0,4,47,253
Kebelli,KebelliNord,19060307001,م إبتدائية الرابطة   مكتب 1,1,0,1,1,0,0,64,15,1,2,3,1,1,1,0,1,2,0,0,0,1,0,0,202,2,7,8,314
Kebelli,KebelliNord,19060307002,م إبتدائية الرابطة   مكتب 2,0,0,1,0,1,0,44,26,0,1,3,0,1,0,0,0,1,2,0,0,0,0,0,224,0,0,16,320
Kebelli,KebelliNord,19060307003,م إبتدائية الرابطة   مكتب 3,1,0,1,0,0,0,21,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,211,0,1,3,280
Kebelli,KebelliNord,19060407101,م إبتدائية طنبار   مكتب 1,0,0,1,1,2,1,106,14,2,0,5,0,1,2,0,3,5,2,1,1,4,1,1,184,1,10,56,404
