circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kebelli,KebelliSud,19050105001,م إبتدائية شارع بورقيبة قبلي - قبلي الجنوبية  مكتب 1,0,0,2,0,0,0,75,6,0,0,6,0,4,0,1,1,1,0,0,0,2,1,0,188,0,4,11,302
Kebelli,KebelliSud,19050105002,م إبتدائية شارع بورقيبة قبلي - قبلي الجنوبية  مكتب 2,0,0,2,0,0,1,40,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,185,0,2,6,245
Kebelli,KebelliSud,19050105101,م إبتدائية شارع الجمهورية قبلي - قبلي الجنوبية  مكتب 1,2,1,4,0,1,1,85,18,3,3,1,3,2,1,1,0,3,2,3,2,3,1,1,236,2,6,17,402
Kebelli,KebelliSud,19050105102,م إبتدائية شارع الجمهورية قبلي - قبلي الجنوبية  مكتب 2,0,0,2,2,0,0,79,25,0,0,3,2,4,0,0,1,2,0,0,1,2,0,0,319,0,9,19,470
Kebelli,KebelliSud,19050105103,م إبتدائية شارع الجمهورية قبلي - قبلي الجنوبية  مكتب 3,0,0,0,0,0,1,68,18,0,0,3,0,2,0,1,0,1,0,0,0,0,0,0,309,0,2,11,416
Kebelli,KebelliSud,19050105104,م إبتدائية شارع الجمهورية قبلي - قبلي الجنوبية  مكتب 4,0,0,2,1,0,1,61,25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,206,0,10,19,328
Kebelli,KebelliSud,19050105201,م إبتدائية بشلي - قبلي الجنوبية  مكتب 1,1,2,1,2,0,1,37,1,0,0,2,0,1,2,1,2,1,0,1,0,0,1,1,242,1,1,3,304
Kebelli,KebelliSud,19050105202,م إبتدائية بشلي - قبلي الجنوبية  مكتب 2,0,0,1,0,0,1,24,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,249,0,1,0,280
Kebelli,KebelliSud,19050105301,م إبتدائية المساعيد - قبلي الجنوبية  مكتب 1,0,0,1,2,0,2,14,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,408,2,3,1,438
Kebelli,KebelliSud,19050105302,م إبتدائية المساعيد - قبلي الجنوبية  مكتب 2,0,0,0,0,0,1,9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,369,0,1,1,384
Kebelli,KebelliSud,19050105401,م إبتدائية الرحمات - قبلي الجنوبية  مكتب 1,1,0,1,1,0,2,31,8,1,0,2,0,0,0,1,0,1,3,1,1,3,0,0,242,1,1,3,304
Kebelli,KebelliSud,19050105402,م إبتدائية الرحمات - قبلي الجنوبية  مكتب 2,1,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,232,0,1,1,253
Kebelli,KebelliSud,19050105501,م إبتدائية بني محمد - قبلي الجنوبية  مكتب 1,0,0,1,2,0,0,41,3,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,120,1,10,0,183
Kebelli,KebelliSud,19050105502,م إبتدائية بني محمد - قبلي الجنوبية  مكتب 2,0,0,0,0,0,0,16,9,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,107,0,5,0,140
Kebelli,KebelliSud,19050105601,م إبتدائية كلوامن - قبلي الجنوبية  مكتب 1,0,0,2,2,1,2,31,2,0,3,0,0,1,1,0,2,0,0,1,0,2,1,0,231,0,12,1,295
