circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kebelli,SoukLahad,19030102001,م إبتدائية  2مارس 34 سوق الأجد - المنشية  مكتب 1,0,1,5,4,0,1,92,2,1,1,2,0,1,1,1,1,2,5,3,0,7,2,1,162,1,7,11,314
Kebelli,SoukLahad,19030102002,م إبتدائية  2مارس 34 سوق الأجد - المنشية  مكتب 2,0,1,3,2,0,0,91,9,0,0,5,1,6,0,0,0,2,0,1,0,4,0,0,239,0,14,20,398
Kebelli,SoukLahad,19030102003,م إبتدائية  2مارس 34 سوق الأجد - المنشية  مكتب 3,0,0,2,0,0,0,47,9,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,214,1,11,17,307
Kebelli,SoukLahad,19030102004,م إبتدائية  2مارس 34 سوق الأجد - المنشية  مكتب 4,0,0,2,0,0,0,39,13,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,186,0,4,15,265
Kebelli,SoukLahad,19030102101,م إبتدائية جزيرة الوحيشي - المنشية  مكتب 1,0,2,2,1,1,1,38,2,1,0,3,0,1,0,3,0,2,1,2,0,2,0,2,213,0,9,7,293
Kebelli,SoukLahad,19030102102,م إبتدائية جزيرة الوحيشي - المنشية  مكتب 2,1,1,2,1,0,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,265,0,4,3,309
Kebelli,SoukLahad,19030102103,م إبتدائية جزيرة الوحيشي - المنشية  مكتب 3,0,0,0,0,0,0,11,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,189,0,5,9,220
Kebelli,SoukLahad,19030102201,م إبتدائية المنشية   مكتب 1,0,1,1,3,0,2,119,5,0,0,2,0,5,2,1,2,4,0,2,0,8,0,0,216,0,10,18,401
Kebelli,SoukLahad,19030102202,م إبتدائية المنشية   مكتب 2,0,0,3,0,0,1,65,9,0,0,8,0,1,0,1,0,0,1,0,0,1,0,1,215,0,5,22,333
Kebelli,SoukLahad,19030202301,م إبتدائية بوعبدالله   مكتب 1,0,1,1,1,1,3,46,3,6,1,2,1,5,0,0,0,2,1,0,1,1,1,1,203,0,3,11,295
