#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
07020101401,م إبتدائية شاكر الدهماني   مكتب 1,1,2,0,3,1,0,221,14,1,2,2,2,3,0,4,2,0,2,1,1,4,0,1,52,2,7,42,370.0
07020101402,م إبتدائية شاكر الدهماني   مكتب 2,0,2,0,3,0,2,189,16,1,0,0,0,2,0,0,0,0,1,0,0,5,0,1,84,0,11,85,402.0
07020101403,م إبتدائية شاكر الدهماني   مكتب 3,0,2,0,0,0,0,162,16,0,1,1,0,1,0,0,0,1,0,0,1,1,0,3,90,0,6,79,364.0
07020101404,م إبتدائية شاكر الدهماني   مكتب 4,0,0,0,0,0,1,121,25,1,0,3,0,4,0,1,0,1,0,1,0,1,0,2,49,1,4,65,280.0
07020101501,م إبتدائية 2مارس - الدهماني  مكتب 1,2,0,2,6,1,0,157,10,3,1,4,0,2,1,1,1,0,1,0,2,9,0,4,58,0,7,48,320.0
07020101502,م إبتدائية 2مارس - الدهماني  مكتب 2,0,1,2,0,0,0,165,11,0,0,1,0,1,0,0,2,0,0,0,0,1,0,1,60,0,6,54,305.0
07020101601,م إبتدائية شارع بورقيبة - الدهماني  مكتب 1,2,0,1,2,0,1,184,10,0,0,3,0,4,4,1,0,1,0,0,0,1,0,4,70,0,6,46,340.0
07020101602,م إبتدائية شارع بورقيبة - الدهماني  مكتب 2,0,0,0,0,0,1,120,24,0,1,4,0,2,0,0,0,0,0,0,1,1,0,1,70,0,1,76,302.0
07020101701,م إبتدائية الإنطلاق - الدهماني  مكتب 1,3,0,2,2,0,0,153,10,3,1,1,0,3,0,0,0,0,1,0,1,1,1,0,75,0,10,44,311.0
07020201801,م إبتدائية الإمام الأبي - الدهماني الشمالية  مكتب 1,1,2,0,1,0,3,207,15,2,0,3,0,3,0,0,0,1,0,0,2,5,1,1,58,2,8,49,364.0
07020201802,م إبتدائية الإمام الأبي - الدهماني الشمالية  مكتب 2,0,0,0,1,0,0,177,19,0,1,2,1,5,1,1,1,3,0,0,0,2,0,2,95,0,5,60,376.0
07020201803,م إبتدائية الإمام الأبي - الدهماني الشمالية  مكتب 3,0,0,1,0,0,0,135,15,0,0,1,0,2,0,0,0,0,0,0,0,3,0,2,76,0,14,74,323.0
07020201804,م إبتدائية الإمام الأبي - الدهماني الشمالية  مكتب 4,0,1,1,0,0,0,89,29,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,62,0,4,65,258.0
07020301901,م إبتدائية الزوارين  مكتب 1,3,0,1,0,1,0,103,3,1,1,5,1,4,1,0,1,0,1,0,0,2,0,1,69,1,6,33,238.0
07020302001,م إبتدائية التوابع - الزوارين  مكتب 1,0,0,0,3,0,0,60,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,15,1,5,23,118.0
07020302101,م إبتدائية الباطن - الزوارين  مكتب 1,0,1,0,3,0,0,49,5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,4,18,1,5,7,97.0
07020302201,م إبتدائية أولاد عيسى - الزوارين  مكتب 1,2,0,0,0,2,0,34,4,1,1,1,0,1,0,0,0,4,0,1,2,3,0,2,29,0,32,8,127.0
07020302301,م إبتدائية الشنعاتبة - الزوارين  مكتب 1,0,1,1,1,0,0,37,4,1,0,3,1,1,0,0,0,2,0,0,0,0,0,0,27,0,2,5,86.0
07020402401,م إبتدائية العديسي - ثرمدة  مكتب 1,0,0,0,0,0,0,43,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,9,0,3,24,86.0
07020402501,م إبتدائية شركة الصابون - ثرمدة  مكتب 1,0,1,1,1,0,1,128,4,0,2,2,1,5,2,2,1,1,0,1,0,4,0,2,32,0,6,19,216.0
07020402601,م إبتدائية الرفاهية - ثرمدة  مكتب 1,0,0,0,1,1,2,49,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,13,0,6,13,90.0
07020502701,م إبتدائية عبيدة   مكتب 1,0,1,1,3,0,0,152,25,1,0,1,3,5,2,1,1,0,1,0,0,6,0,4,49,0,19,31,306.0
07020602801,م إبتدائية محطة الماسخية - أبة  مكتب 1,0,1,0,1,1,1,50,4,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,10,0,5,20,98.0
07020602901,م إبتدائية سيدي عمر - أبة  مكتب 1,0,0,0,0,0,0,74,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,34,1,2,19,138.0
07020603001,م إبتدائية الزدينة - أبة  مكتب 1,1,0,0,0,0,0,21,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,10,0,2,9,50.0
07020703101,م إبتدائية الزليقة - المداينة  مكتب 1,2,0,0,0,1,0,23,3,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,9,0,2,13,60.0
07020703201,م إبتدائية المدينة - المداينة  مكتب 1,2,0,0,0,0,0,84,2,0,0,2,2,2,0,2,2,0,0,0,0,1,0,0,21,0,6,18,144.0
07020803301,م إبتدائية الصويدات طريق الدهماني - سيدي بركات الشمالية  مكتب 1,0,0,0,2,0,0,30,7,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,6,1,8,18,79.0
07020903401,م إبتدائية سيدي بركات - سيدي بركات الجنوبية  مكتب 1,1,0,0,1,0,1,46,5,2,0,0,2,2,0,1,0,0,2,0,0,0,0,0,9,0,16,32,120.0
