circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Lekef,Jerissa,07010100101,م إبتدائية  14 جانفي الجريصة - جريصة المركزية  مكتب 1,2,0,4,4,5,0,166,6,1,0,4,0,5,4,1,4,2,2,0,0,4,0,4,80,1,11,26,336
Lekef,Jerissa,07010100102,م إبتدائية  14 جانفي الجريصة - جريصة المركزية  مكتب 2,4,0,3,0,0,0,98,18,2,0,6,0,1,0,0,0,0,0,0,0,0,0,9,85,0,8,36,270
Lekef,Jerissa,07010200201,م إبتدائية المنجم الجريصة - الجريصة الشمالية  مكتب 1,5,2,0,0,2,0,188,15,2,0,4,3,0,2,1,1,1,1,1,1,7,0,0,24,1,8,21,290
Lekef,Jerissa,07010200202,م إبتدائية المنجم الجريصة - الجريصة الشمالية  مكتب 2,1,0,1,2,0,0,139,19,1,1,1,0,1,0,0,2,0,1,0,1,0,0,3,27,0,10,43,253
Lekef,Jerissa,07010200301,م إبتدائية علي بلهوان - الجريصة الشمالية  مكتب 1,1,1,1,0,0,0,39,2,1,0,0,0,2,0,0,2,0,1,1,0,1,0,0,3,0,0,8,63
Lekef,Jerissa,07010300401,م إبتدائية عين القارصة - الجريصة الجنوبية  مكتب 1,0,0,3,4,0,0,75,7,0,0,2,0,2,2,0,0,0,0,1,0,3,0,2,21,0,4,9,135
Lekef,Jerissa,07010300501,م إبتدائية حي المهندسين - الجريصة الجنوبية  مكتب 1,0,0,3,1,2,0,137,10,1,1,3,1,3,2,1,1,0,0,1,1,2,1,0,33,0,8,19,231
Lekef,Jerissa,07010300502,م إبتدائية حي المهندسين - الجريصة الجنوبية  مكتب 2,0,0,0,0,0,0,87,17,0,1,1,0,2,2,1,0,0,1,0,1,0,0,2,41,0,6,29,191
Lekef,Jerissa,07010300601,م إبتدائية بطحاء السوق - الجريصة الجنوبية  مكتب 1,4,2,1,0,0,2,128,12,1,1,3,4,4,3,1,1,0,0,0,1,8,0,4,51,0,2,20,253
Lekef,Jerissa,07010300602,م إبتدائية بطحاء السوق - الجريصة الجنوبية  مكتب 2,2,1,3,1,0,1,127,14,0,0,1,0,1,0,1,0,0,1,0,1,5,0,2,78,0,6,35,280
Lekef,Jerissa,07010300603,م إبتدائية بطحاء السوق - الجريصة الجنوبية  مكتب 3,0,0,1,2,0,3,76,23,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,38,1,2,38,192
Lekef,Jerissa,07010400701,م إبتدائية أم الكليل - بسريانة  مكتب 1,0,0,0,0,1,1,163,11,0,0,4,1,3,0,0,3,1,1,1,1,1,0,1,53,1,2,58,307
Lekef,Jerissa,07010500801,م إبتدائية فج التمر   مكتب 1,1,1,0,0,0,1,44,5,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,13,1,6,3,81
Lekef,Jerissa,07010500901,م إبتدائية الحيادرة - فج التمر  مكتب 1,0,1,0,0,1,0,68,3,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,17,0,2,3,101
Lekef,Jerissa,07010501001,م إبتدائية القراعية - فج التمر  مكتب 1,0,0,0,0,1,0,20,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,2,36
Lekef,Jerissa,07010501101,م إبتدائية عين الزرقاء - فج التمر  مكتب 1,0,0,2,0,1,1,32,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,3,4,50
Lekef,Jerissa,07010601201,م إبتدائية النعايم   مكتب 1,0,0,0,2,0,0,14,2,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,12,0,1,5,43
Lekef,Jerissa,07010601301,م إبتدائية وادي سراط - النعايم  مكتب 1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
