#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
07050106701,م إبتدائية المنجم القلعة الخصبة   مكتب 1,2,1,0,1,0,0,183,9,1,0,5,1,0,1,2,0,2,1,2,2,3,0,4,28,0,13,50,311.0
07050106702,م إبتدائية المنجم القلعة الخصبة   مكتب 2,0,0,2,0,0,2,95,13,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,56,0,3,61,239.0
07050106801,م إبتدائية القرية القلعة الخصبة   مكتب 1,0,3,0,2,2,0,156,7,2,0,1,0,4,2,2,5,1,0,2,1,5,1,3,49,0,18,63,329.0
07050106802,م إبتدائية القرية القلعة الخصبة   مكتب 2,1,0,0,1,1,2,101,11,2,0,1,0,4,0,0,0,0,0,0,0,3,0,8,62,1,16,77,291.0
07050206901,م إبتدائية الصلع - الهنطاية  مكتب 1,0,0,0,1,0,0,39,2,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,15,0,3,10,76.0
07050207001,م إبتدائية الحمايزية - الهنطاية  مكتب 1,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,7,10,35.0
07050307101,م إبتدائية سيدي احمد الصالح   مكتب 1,0,1,1,4,3,2,113,6,0,1,2,3,3,1,1,2,2,0,2,1,3,1,0,35,0,10,22,219.0
07050307102,م إبتدائية سيدي احمد الصالح   مكتب 2,1,1,3,1,0,0,87,14,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,20,0,11,26,168.0
07050307201,م إبتدائية المطار - سيدي أحمد الصالح  مكتب 1,5,1,0,0,2,2,75,1,0,0,3,0,1,0,0,1,1,0,0,0,1,0,2,38,1,11,13,158.0
07050407301,م إبتدائية الناظور   مكتب 1,3,0,0,0,0,0,13,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,8,0,2,8,41.0
07050407401,م إبتدائية القدح - الناظور  مكتب 1,0,1,2,1,0,1,24,3,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,6,0,8,7,59.0
مجموع أصوات القائمة,12,8,9,11,8,9,894,69,7,1,13,6,16,7,8,9,8,2,6,4,21,3,21,323,2,102,347,1926,
