#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
07100115401,م إبتدائية 34/3/2قلعة سنان   مكتب 1,1,1,2,3,0,1,169,7,3,3,2,7,5,3,1,4,2,2,4,0,8,1,0,33,2,10,19,293.0
07100115402,م إبتدائية 34/3/2قلعة سنان   مكتب 2,0,0,1,0,0,1,170,6,0,0,2,2,3,0,0,3,1,0,1,2,2,1,0,84,1,9,26,315.0
07100115403,م إبتدائية 34/3/2قلعة سنان   مكتب 3,1,0,1,1,1,0,164,7,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,88,0,9,31,308.0
07100115404,م إبتدائية 34/3/2قلعة سنان   مكتب 4,1,0,0,0,0,0,101,24,0,2,0,0,3,0,0,0,1,0,0,0,1,0,0,51,1,4,27,216.0
07100115501,م إبتدائية النصر قلعة سنان   مكتب 1,1,1,1,1,0,3,196,11,0,0,3,0,7,1,1,3,0,1,0,0,5,0,0,66,0,6,19,326.0
07100115502,م إبتدائية النصر قلعة سنان   مكتب 2,0,0,1,2,0,0,138,24,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,59,0,6,25,259.0
07100115601,م إبتدائية الجديدة قلعة سنان   مكتب 1,2,0,1,2,2,1,193,2,3,3,4,3,7,1,2,3,3,4,3,2,5,0,1,38,3,10,15,313.0
07100115602,م إبتدائية الجديدة قلعة سنان   مكتب 2,0,0,1,1,0,2,145,10,0,0,2,2,9,3,0,1,1,2,0,0,4,0,0,55,0,6,31,275.0
07100115701,م إبتدائية حي الملعب - قلعة سنان  مكتب 1,0,1,1,0,0,0,38,3,1,2,0,1,2,0,0,1,1,0,0,0,2,0,1,21,1,3,4,83.0
07100215801,م إبتدائية بوجابر   مكتب 1,1,0,1,0,0,0,102,3,0,0,2,1,2,0,0,1,2,0,0,0,1,0,0,33,0,16,10,175.0
07100315901,م إبتدائية بئر حميدة - الصفصاف  مكتب 1,0,0,0,0,0,0,25,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,3,6,40.0
07100416001,م إبتدائية واد بوصالح - مزيتة  مكتب 1,1,1,0,1,1,0,51,4,1,0,1,1,3,0,0,0,2,0,0,0,3,0,1,6,0,11,5,93.0
07100516101,م إبتدائية الفالتة   مكتب 1,0,1,1,1,0,0,125,15,1,1,1,1,3,0,0,1,0,1,0,0,2,0,0,59,0,20,18,251.0
07100516201,م إبتدائية أولاد ابراهيم - الفالتة  مكتب 1,0,0,2,2,0,0,18,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0,2,0,31.0
07100616301,م إبتدائية الربيبة - سد الخير  مكتب 1,1,0,0,2,3,0,83,4,1,2,0,0,3,2,0,0,2,0,1,0,5,0,0,20,0,5,12,146.0
07100716401,م إبتدائية المنجم قلعة سنان - عين سنان  مكتب 1,1,0,2,1,1,2,78,4,1,0,2,2,1,1,1,1,0,0,0,0,0,0,2,9,0,12,11,132.0
07100716501,م إبتدائية عين عناق - عين سنان  مكتب 1,0,0,0,0,0,1,38,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,8,0,1,7,61.0
07100816601,م إبتدائية الحميمة  مكتب 1,2,0,0,1,1,2,53,1,1,1,1,0,2,1,0,0,0,1,1,0,2,0,1,26,0,5,6,108.0
07100916701,م إبتدائية المحجوبة   مكتب 1,0,0,3,2,2,0,100,12,1,2,3,2,9,2,3,3,2,0,2,0,1,1,0,66,0,17,35,268.0
07100916801,م إبتدائية بوهراوة - المحجوبة  مكتب 1,1,0,0,0,1,0,27,4,0,0,3,1,4,1,0,0,0,0,0,0,2,1,0,10,0,8,9,72.0
مجموع أصوات القائمة,13,5,18,20,12,13,2014,143,14,16,28,25,64,17,8,24,18,12,13,4,49,4,6,738,8,163,316,3765,
