#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
07060107501,م إبتدائية شارع بورقيبة - الشرفيين  مكتب 1,1,0,1,2,1,0,206,6,1,1,2,3,5,0,0,2,2,0,0,0,5,1,0,39,0,5,37,320.0
07060107502,م إبتدائية شارع بورقيبة - الشرفيين  مكتب 2,0,1,2,1,1,1,191,6,0,0,1,1,6,0,0,0,1,0,0,0,4,0,0,54,0,11,48,329.0
07060107503,م إبتدائية شارع بورقيبة - الشرفيين  مكتب 3,0,0,2,1,0,0,116,15,0,2,2,0,1,0,0,1,0,0,0,0,1,0,1,48,0,7,55,252.0
07060107601,م إبتدائية بن علية الكاف - الشرفيين  مكتب 1,0,0,1,3,0,0,307,9,2,3,4,1,6,0,1,4,1,1,0,1,2,3,2,41,0,6,29,427.0
07060107602,م إبتدائية بن علية الكاف - الشرفيين  مكتب 2,0,0,1,0,1,0,325,17,1,0,1,0,5,1,1,1,0,0,0,0,1,0,1,67,0,9,60,492.0
07060107603,م إبتدائية بن علية الكاف - الشرفيين  مكتب 3,0,1,2,0,0,0,245,5,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,87,0,7,59,411.0
07060107604,م إبتدائية بن علية الكاف - الشرفيين  مكتب 4,0,0,3,0,0,1,181,28,0,0,4,0,3,0,0,0,0,1,0,0,0,0,2,49,0,6,95,373.0
07060107701,م إبتدائية حي يوغرطة - الشرفيين  مكتب 1,1,0,2,1,1,0,217,9,0,0,1,2,3,0,1,2,0,0,0,0,3,0,1,56,0,4,34,338.0
07060107702,م إبتدائية حي يوغرطة - الشرفيين  مكتب 2,0,0,0,0,0,0,187,10,0,0,3,0,4,1,0,0,0,0,0,0,1,0,1,57,1,4,43,312.0
07060107703,م إبتدائية حي يوغرطة - الشرفيين  مكتب 3,0,0,1,0,0,0,120,21,0,0,0,0,3,0,1,2,0,0,0,0,1,0,5,29,0,0,71,254.0
07060207801,م إبتدائية  2مارس 34 - بنعنين  مكتب 1,2,0,1,2,0,0,225,5,0,2,4,0,3,0,0,0,0,1,0,0,1,0,4,56,0,3,53,362.0
07060207802,م إبتدائية  2مارس 34 - بنعنين  مكتب 2,0,0,5,2,0,0,170,10,0,0,1,0,3,0,0,2,0,0,0,1,3,0,2,89,0,5,62,355.0
07060207803,م إبتدائية  2مارس 34 - بنعنين  مكتب 3,0,0,6,0,0,1,135,24,0,0,1,0,2,0,0,1,0,0,0,0,1,0,2,61,1,1,63,299.0
07060207901,م إبتدائية ابن خلدون - بنعنين  مكتب 1,5,2,1,5,2,3,239,9,3,1,5,2,8,1,0,4,1,3,1,3,8,1,1,32,1,8,26,375.0
07060207902,م إبتدائية ابن خلدون - بنعنين  مكتب 2,0,2,1,3,2,0,241,10,0,3,0,1,1,1,0,1,0,2,2,1,3,0,1,55,1,8,33,372.0
07060207903,م إبتدائية ابن خلدون - بنعنين  مكتب 3,3,0,1,0,0,0,189,21,0,1,2,0,4,2,1,2,0,1,0,3,7,0,0,66,0,5,61,369.0
07060207904,م إبتدائية ابن خلدون - بنعنين  مكتب 4,0,0,2,2,0,0,139,28,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,72,0,4,58,311.0
