circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Lekef,LeKefOuest,07070109801,م إبتدائية سواني العنب 2 الكاف - وادي الرمل الشمالية  مكتب 1,5,0,3,3,0,0,280,12,2,3,4,0,2,2,0,3,0,2,0,0,4,0,2,52,0,13,42,434
Lekef,LeKefOuest,07070109802,م إبتدائية سواني العنب 2 الكاف - وادي الرمل الشمالية  مكتب 2,0,0,1,1,1,0,243,17,0,0,0,0,2,0,0,0,1,1,0,0,1,0,2,76,0,13,54,413
Lekef,LeKefOuest,07070109803,م إبتدائية سواني العنب 2 الكاف - وادي الرمل الشمالية  مكتب 3,0,0,1,1,0,0,183,25,0,2,3,0,2,0,0,0,0,0,0,2,0,0,2,56,1,4,58,340
Lekef,LeKefOuest,07070209901,م إبتدائية السمانة - وادي الرمل الجنوبية  مكتب 1,2,0,2,1,0,1,118,9,0,1,1,4,1,0,0,1,3,0,0,0,2,3,0,42,0,7,31,229
Lekef,LeKefOuest,07070210001,م إبتدائية سيدي عمر بن زغيد - وادي الرمل الجنوبية  مكتب 1,3,1,1,0,1,1,171,6,0,0,3,5,1,0,0,1,0,2,0,0,3,0,0,18,1,8,7,233
Lekef,LeKefOuest,07070210101,م إبتدائية حمام ملاق - وادي الرمل الجنوبية  مكتب 1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,20
Lekef,LeKefOuest,07070210201,م إبتدائية النعيمة - وادي الرمل الجنوبية  مكتب 1,1,0,1,1,0,0,57,1,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,20,0,8,7,103
Lekef,LeKefOuest,07070210301,م إبتدائية  14 جانفي الكردمي - وادي الرمل الجنوبية  مكتب 1,1,2,1,3,1,3,234,8,1,4,4,1,10,2,0,2,2,1,0,1,7,0,0,35,4,12,23,362
Lekef,LeKefOuest,07070210302,م إبتدائية  14 جانفي الكردمي - وادي الرمل الجنوبية  مكتب 2,0,0,1,0,0,0,211,15,1,1,5,1,1,0,0,0,0,0,1,0,2,0,0,16,0,15,25,295
Lekef,LeKefOuest,07070310401,م إبتدائية برنوصة - الحوارث الجنوبية  مكتب 1,1,1,1,1,0,1,230,16,0,1,6,0,8,0,1,1,0,0,2,2,6,0,5,67,0,13,36,399
Lekef,LeKefOuest,07070310402,م إبتدائية برنوصة - الحوارث الجنوبية  مكتب 2,1,2,0,2,1,1,209,15,1,2,3,0,1,0,1,3,0,0,1,0,7,0,0,57,1,12,41,361
Lekef,LeKefOuest,07070310403,م إبتدائية برنوصة - الحوارث الجنوبية  مكتب 3,2,0,3,3,0,0,223,20,0,1,3,0,5,0,0,0,0,0,0,0,3,0,2,106,0,11,59,441
Lekef,LeKefOuest,07070310404,م إبتدائية برنوصة - الحوارث الجنوبية  مكتب 4,0,0,0,2,0,0,182,16,0,1,2,0,2,0,0,1,0,0,0,1,1,0,1,79,0,8,46,342
Lekef,LeKefOuest,07070310405,م إبتدائية برنوصة - الحوارث الجنوبية  مكتب 5,2,0,2,0,0,0,165,21,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,74,0,4,55,328
Lekef,LeKefOuest,07070310406,م إبتدائية برنوصة - الحوارث الجنوبية  مكتب 6,0,0,1,0,0,0,129,30,0,1,2,0,1,0,0,1,0,1,0,0,2,0,0,60,0,8,51,287
Lekef,LeKefOuest,07070310501,م إبتدائية حي البساتين الكاف - الحوارث الجنوبية  مكتب 1,1,0,2,2,0,0,255,3,0,0,3,3,5,2,0,4,0,2,0,0,2,1,3,77,0,6,52,423
Lekef,LeKefOuest,07070310502,م إبتدائية حي البساتين الكاف - الحوارث الجنوبية  مكتب 2,0,1,1,1,0,0,214,14,0,0,3,0,2,0,0,0,0,0,2,3,3,0,1,106,1,9,60,421
Lekef,LeKefOuest,07070310503,م إبتدائية حي البساتين الكاف - الحوارث الجنوبية  مكتب 3,0,0,5,3,0,0,175,14,0,0,0,0,5,0,0,0,1,1,0,1,1,0,3,105,0,9,53,376
Lekef,LeKefOuest,07070310504,م إبتدائية حي البساتين الكاف - الحوارث الجنوبية  مكتب 4,0,0,1,0,0,0,135,29,0,0,1,0,5,0,0,0,0,1,0,1,0,0,2,74,0,6,70,325
Lekef,LeKefOuest,07070310601,م إبتدائية حي الطيب المهيري الكاف - الحوارث الجنوبية  مكتب 1,4,1,2,3,1,2,251,14,0,1,3,1,4,0,0,0,3,4,1,0,3,0,2,58,1,13,27,399
Lekef,LeKefOuest,07070310602,م إبتدائية حي الطيب المهيري الكاف - الحوارث الجنوبية  مكتب 2,0,1,0,2,0,1,215,12,1,0,3,3,2,0,0,0,0,2,0,1,3,0,0,45,0,14,41,346
Lekef,LeKefOuest,07070310603,م إبتدائية حي الطيب المهيري الكاف - الحوارث الجنوبية  مكتب 3,1,0,4,2,0,2,224,13,0,1,3,0,1,0,0,2,1,2,1,1,2,0,2,65,0,10,51,388
Lekef,LeKefOuest,07070310604,م إبتدائية حي الطيب المهيري الكاف - الحوارث الجنوبية  مكتب 4,0,0,1,0,1,0,192,17,0,1,4,0,3,0,0,0,0,0,0,0,1,0,1,55,1,7,57,341
Lekef,LeKefOuest,07070310605,م إبتدائية حي الطيب المهيري الكاف - الحوارث الجنوبية  مكتب 5,0,0,2,0,0,0,143,27,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,48,0,4,53,282
Lekef,LeKefOuest,07070310701,م إبتدائية سواني العنب - الحوارث الجنوبية  مكتب 1,0,2,1,1,0,1,254,8,3,3,1,2,3,0,0,1,1,1,2,0,8,0,1,30,0,11,30,364
Lekef,LeKefOuest,07070310702,م إبتدائية سواني العنب - الحوارث الجنوبية  مكتب 2,1,0,1,1,0,2,234,12,0,0,1,0,5,1,0,1,0,1,1,1,3,0,2,60,0,17,56,400
Lekef,LeKefOuest,07070310703,م إبتدائية سواني العنب - الحوارث الجنوبية  مكتب 3,0,0,1,3,0,0,219,16,0,0,1,0,0,0,0,2,0,1,0,1,2,0,1,57,0,14,46,364
Lekef,LeKefOuest,07070310704,م إبتدائية سواني العنب - الحوارث الجنوبية  مكتب 4,0,0,1,1,0,0,140,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,38,1,3,69,292
Lekef,LeKefOuest,07070310801,م إبتدائية حروش - الحوارث الجنوبية  مكتب 1,1,0,0,3,1,0,243,9,3,1,4,2,10,1,1,1,0,0,0,1,7,0,3,64,1,12,43,411
Lekef,LeKefOuest,07070310802,م إبتدائية حروش - الحوارث الجنوبية  مكتب 2,2,1,1,0,1,0,238,15,1,0,3,2,1,2,1,1,1,0,1,1,0,0,3,89,0,17,56,437
Lekef,LeKefOuest,07070310803,م إبتدائية حروش - الحوارث الجنوبية  مكتب 3,0,0,3,1,0,2,170,18,0,0,3,0,5,0,0,3,0,0,1,0,0,0,0,80,0,15,55,356
Lekef,LeKefOuest,07070310804,م إبتدائية حروش - الحوارث الجنوبية  مكتب 4,0,1,2,1,0,0,144,39,0,3,4,0,3,0,0,0,0,0,0,0,1,0,0,76,2,6,55,337
