circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Lekef,Nebeur,07110116901,م إبتدائية القرية نبر  مكتب 1,1,1,0,2,1,1,161,13,0,2,1,3,7,1,6,1,2,1,1,3,4,0,3,34,0,4,26,279
Lekef,Nebeur,07110116902,م إبتدائية القرية نبر  مكتب 2,2,0,1,3,0,1,171,15,0,0,0,0,4,1,0,0,0,1,0,1,2,1,0,61,0,8,37,309
Lekef,Nebeur,07110116903,م إبتدائية القرية نبر  مكتب 3,0,0,0,0,0,0,123,24,0,1,0,0,1,0,0,0,1,0,0,0,2,0,2,51,1,3,50,259
Lekef,Nebeur,07110117001,م إبتدائية حي النصر نبر   مكتب 1,4,0,1,6,0,3,163,14,1,3,4,1,9,3,0,2,1,1,4,1,9,1,2,42,1,5,13,294
Lekef,Nebeur,07110117002,م إبتدائية حي النصر نبر   مكتب 2,1,0,1,2,1,0,156,9,0,0,4,1,2,2,0,0,0,0,1,0,3,0,0,62,1,11,48,305
Lekef,Nebeur,07110117003,م إبتدائية حي النصر نبر   مكتب 3,1,0,1,1,0,1,100,24,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,48,0,6,35,222
Lekef,Nebeur,07110217101,م إبتدائية سركونة 1  مكتب 1,0,1,0,0,0,0,28,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,0,6,0,44
Lekef,Nebeur,07110217201,م إبتدائية سركونة 2  مكتب 1,0,0,0,1,0,0,31,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,4,0,1,3,47
Lekef,Nebeur,07110317301,م إبتدائية تل الغزلان   مكتب 1,1,0,2,5,1,1,130,5,1,1,7,1,3,1,1,2,1,0,0,1,1,0,0,15,2,9,7,198
Lekef,Nebeur,07110317302,م إبتدائية تل الغزلان   مكتب 2,0,0,2,3,0,0,59,9,0,0,1,0,1,0,0,1,0,0,0,1,4,0,0,21,0,5,5,112
Lekef,Nebeur,07110417401,م إبتدائية غنجاتة - سيدي خيار  مكتب 1,1,0,1,0,0,0,36,2,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,11,0,3,7,66
Lekef,Nebeur,07110417501,م إبتدائية سدي خيار نبر   مكتب 1,0,0,0,0,0,0,93,6,0,1,1,0,3,0,2,0,0,0,0,0,3,0,0,10,0,8,15,142
Lekef,Nebeur,07110417502,م إبتدائية سدي خيار نبر   مكتب 2,1,0,2,1,0,0,68,11,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,15,0,5,20,127
Lekef,Nebeur,07110417601,م إبتدائية الخدايجية - سيدي خيار  مكتب 1,1,1,1,5,1,5,71,28,3,1,3,0,5,1,0,1,3,1,0,0,0,0,3,10,0,23,9,176
Lekef,Nebeur,07110517701,م إبتدائية العرقوب الأحرش طريق الطويرف - ملالة  مكتب 1,1,2,0,2,0,2,42,5,0,2,2,1,1,0,1,0,1,1,3,1,2,0,0,0,0,4,2,75
Lekef,Nebeur,07110517801,م إبتدائية بئر بن شريفة - ملالة  مكتب 1,2,0,0,1,1,0,110,7,0,0,5,1,2,1,0,1,0,0,0,4,7,0,0,9,2,7,9,169
Lekef,Nebeur,07110617901,م إبتدائية الأذياب  مكتب 1,0,1,0,0,0,0,7,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,3,19
Lekef,Nebeur,07110718001,م إبتدائية الطويرف   مكتب 1,2,1,0,4,4,3,169,13,2,2,6,0,6,3,3,2,0,4,3,1,9,0,0,12,3,9,6,267
Lekef,Nebeur,07110718002,م إبتدائية الطويرف   مكتب 2,0,1,1,3,1,1,167,16,0,1,2,0,3,1,2,2,0,2,1,2,3,0,0,36,1,14,10,270
Lekef,Nebeur,07110718003,م إبتدائية الطويرف   مكتب 3,1,1,3,1,0,1,112,24,0,1,1,0,3,0,0,0,0,0,2,1,2,0,0,17,0,10,19,199
Lekef,Nebeur,07110718101,م إبتدائية أحياء الطويرف  مكتب 1,2,0,1,1,1,1,86,9,1,3,2,0,4,2,1,0,0,0,0,0,4,0,0,11,0,3,1,133
Lekef,Nebeur,07110818201,م إبتدائية سد ملاق   مكتب 1,2,0,3,6,1,1,131,10,1,3,1,3,6,2,2,0,1,0,3,2,9,4,1,39,3,27,14,275
Lekef,Nebeur,07110818202,م إبتدائية سد ملاق   مكتب 2,0,0,1,1,0,0,112,18,2,2,0,0,5,0,0,2,1,2,0,0,3,0,0,60,0,16,10,235
Lekef,Nebeur,07110918301,م إبتدائية الوادي القديم - بهرة  مكتب 1,0,1,2,0,1,0,138,4,0,6,4,0,3,1,0,3,0,2,1,0,6,1,0,13,0,1,11,198
