#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
07090113401,م إبتدائية 58/2/8الساقية - ساقية سيدي يوسف  مكتب 1,0,1,0,3,1,1,235,6,0,2,2,0,7,2,2,3,0,0,3,0,3,0,0,59,1,5,19,355.0
07090113402,م إبتدائية 58/2/8الساقية - ساقية سيدي يوسف  مكتب 2,3,1,2,1,2,0,215,5,3,1,4,0,8,4,1,0,0,1,1,1,5,1,3,61,0,9,25,357.0
07090113403,م إبتدائية 58/2/8الساقية - ساقية سيدي يوسف  مكتب 3,0,1,2,0,0,0,236,4,1,1,1,0,3,0,0,0,0,0,1,0,2,0,0,88,0,15,40,395.0
07090113404,م إبتدائية 58/2/8الساقية - ساقية سيدي يوسف  مكتب 4,0,0,1,0,0,1,170,6,0,0,2,0,3,0,0,1,1,0,0,0,3,0,1,74,1,8,30,302.0
07090113405,م إبتدائية 58/2/8الساقية - ساقية سيدي يوسف  مكتب 5,0,0,1,0,0,0,126,14,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,72,2,5,31,257.0
07090113501,م إبتدائية 34/3/2الساقية - ساقية سيدي يوسف  مكتب 1,0,0,1,1,1,1,192,3,1,2,2,0,6,5,2,2,2,1,0,0,3,0,1,22,0,7,13,268.0
07090113502,م إبتدائية 34/3/2الساقية - ساقية سيدي يوسف  مكتب 2,0,0,0,0,0,0,156,17,0,1,1,0,1,1,0,0,1,0,0,0,3,0,1,36,0,15,17,250.0
07090213601,م إبتدائية قرقور - عين مازر  مكتب 1,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,6,2,61.0
07090213701,م إبتدائية عين مازر  مكتب 1,1,0,0,0,1,1,90,5,1,1,0,2,1,1,0,0,2,1,0,0,4,0,0,12,0,11,19,153.0
07090213801,م إبتدائية الخروبة - عين مازر  مكتب 1,0,0,0,1,0,1,45,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,4,57.0
07090313901,م إبتدائية عين القطار - جرادو  مكتب 1,0,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,39.0
07090314001,م إبتدائية عين أم الصبع - جرادو  مكتب 1,2,0,0,1,0,1,169,7,2,1,1,0,6,0,0,2,0,1,1,1,6,1,0,9,1,3,8,223.0
07090314101,م إبتدائية عين السفاية - جرادو  مكتب 1,1,0,0,0,1,0,61,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,1,17,0,2,9,98.0
07090314201,م إبتدائية الحزيم - جرادو  مكتب 1,0,0,0,3,0,0,49,2,0,1,2,0,1,0,2,0,0,1,0,0,2,1,0,0,0,1,2,67.0
07090314301,م إبتدائية القـل - جرادو  مكتب 1,0,0,0,0,0,0,23,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,1,8,40.0
07090314401,م إبتدائية عين النشمة - جرادو  مكتب 1,1,2,2,3,2,1,80,2,1,0,4,6,1,0,0,0,1,0,2,0,7,0,0,11,1,5,2,134.0
07090414501,م إبتدائية ذراع البطوم - فرشان  مكتب 1,0,0,0,0,0,0,60,12,0,1,0,0,3,1,1,1,0,3,0,0,0,0,1,20,0,7,4,114.0
07090414601,م إبتدائية سيدي الوحيشي - فرشان  مكتب 1,0,0,0,1,0,0,29,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19,0,3,1,55.0
07090414701,م إبتدائية الحفرة - فرشان  مكتب 1,0,0,0,1,0,0,46,1,0,2,1,1,3,0,0,0,0,0,0,0,1,0,0,6,0,3,1,66.0
07090514801,م إبتدائية عين الكرمة   مكتب 1,1,0,0,1,0,0,33,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,11,0,2,2,56.0
07090514901,م إبتدائية الحبيبب ثامر - عين الكرمة  مكتب 1,0,0,1,1,1,2,85,2,1,0,4,1,1,1,2,0,1,0,0,0,2,0,1,41,1,10,13,171.0
07090515001,م إبتدائية المنجم - عين الكرمة  مكتب 1,1,0,1,2,0,0,152,11,0,1,2,0,3,0,0,2,0,1,0,1,5,2,1,12,2,9,4,212.0
07090615101,م إبتدائية سيدي رابح   مكتب 1,0,0,0,1,1,4,97,1,2,3,2,0,8,1,0,2,2,0,2,1,8,0,1,12,1,21,12,182.0
07090615201,م إبتدائية هنشير القصر - سيدي رابح  مكتب 1,0,1,0,0,0,1,56,3,0,0,5,1,6,0,0,0,2,2,1,0,3,0,0,8,0,16,11,116.0
07090715301,م إبتدائية الطابية  مكتب 1,0,0,0,3,3,0,37,1,0,3,3,0,2,0,0,0,2,0,1,0,4,0,0,16,0,11,4,90.0
مجموع أصوات القائمة,10,7,11,23,13,14,2520,106,12,22,38,13,67,17,12,18,18,11,13,4,66,5,13,614,12,176,283,4118,
