circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Lekef,Tajerouine,07080110901,م إبتدائية بوغلابة - تاجروين الشمالية  مكتب 1,0,0,0,0,0,0,36,14,1,0,0,0,2,0,0,2,1,0,0,0,1,0,2,13,0,6,5,83
Lekef,Tajerouine,07080211001,م إبتدائية شارع بورقيبة - تاجروين الجنوبية  مكتب 1,2,1,1,1,2,2,173,11,1,0,5,2,7,2,2,3,2,1,2,1,6,0,0,79,0,5,29,340
Lekef,Tajerouine,07080211002,م إبتدائية شارع بورقيبة - تاجروين الجنوبية  مكتب 2,1,0,0,0,0,1,145,13,1,1,2,0,1,0,0,0,0,0,0,0,2,0,1,119,0,8,76,371
Lekef,Tajerouine,07080211003,م إبتدائية شارع بورقيبة - تاجروين الجنوبية  مكتب 3,0,0,0,0,0,0,87,25,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,112,0,3,51,284
Lekef,Tajerouine,07080211101,م إبتدائية نهج الجبل تاجروين - تاجروين الجنوبية  مكتب 1,2,0,2,1,1,2,162,13,1,0,2,0,4,2,0,1,2,2,2,0,5,0,3,68,0,5,28,308
Lekef,Tajerouine,07080211102,م إبتدائية نهج الجبل تاجروين - تاجروين الجنوبية  مكتب 2,1,0,1,1,1,0,168,24,0,0,3,0,3,0,0,1,0,0,2,0,2,0,1,110,0,5,46,369
Lekef,Tajerouine,07080211103,م إبتدائية نهج الجبل تاجروين - تاجروين الجنوبية  مكتب 3,0,0,1,1,0,0,107,19,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2,120,0,3,37,295
Lekef,Tajerouine,07080211104,م إبتدائية نهج الجبل تاجروين - تاجروين الجنوبية  مكتب 4,0,0,0,0,0,0,71,28,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,74,1,1,38,217
Lekef,Tajerouine,07080211201,م إبتدائية السبيعات - تاجروين الجنوبية  مكتب 1,1,0,11,1,0,0,107,17,4,0,2,1,0,1,0,1,0,0,0,1,2,0,0,31,0,5,33,218
Lekef,Tajerouine,07080211301,م إبتدائية حي الطيب المهيري - تاجروين الجنوبية  مكتب 1,1,1,3,4,1,1,165,17,3,1,4,2,3,1,2,2,6,2,2,1,8,1,0,105,0,13,36,385
Lekef,Tajerouine,07080211302,م إبتدائية حي الطيب المهيري - تاجروين الجنوبية  مكتب 2,1,0,0,0,1,0,131,19,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,109,0,8,48,323
Lekef,Tajerouine,07080311401,م إبتدائية المحطة تاجروين - عين الآبار  مكتب 1,0,1,0,0,0,0,82,7,1,0,2,1,2,0,0,0,0,1,0,0,2,0,3,43,0,7,14,166
