#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
21060109501,م إبتدائية بومرداس الحبيب   مكتب 1,3,1,3,10,4,3,274,5,0,1,3,0,21,2,1,4,1,1,0,1,10,0,1,58,0,11,18,436.0
21060109502,م إبتدائية بومرداس الحبيب   مكتب 2,1,0,3,13,0,3,282,4,0,0,3,0,14,1,0,3,1,0,0,2,5,0,1,84,1,13,22,456.0
21060109503,م إبتدائية بومرداس الحبيب   مكتب 3,0,0,5,7,0,0,203,6,0,1,6,0,12,0,0,1,0,1,0,0,3,0,0,110,1,8,16,380.0
21060109504,م إبتدائية بومرداس الحبيب   مكتب 4,0,0,1,8,0,0,140,9,0,3,2,0,15,0,0,1,1,0,0,0,0,0,1,151,1,9,15,357.0
21060109601,م إبتدائية 2مارس كركر - بومرداس  مكتب 1,1,0,1,9,2,0,244,4,1,1,3,0,5,1,0,0,3,1,0,0,2,2,2,121,0,6,6,415.0
21060109602,م إبتدائية 2مارس كركر - بومرداس  مكتب 2,2,0,0,8,0,0,172,4,0,0,0,0,1,1,0,0,2,1,0,0,2,0,1,167,0,9,13,383.0
21060109603,م إبتدائية 2مارس كركر - بومرداس  مكتب 3,1,0,2,0,0,0,165,6,0,0,1,0,1,0,1,0,0,0,1,0,0,0,2,139,0,2,17,338.0
21060209701,م إبتدائية الحوس   مكتب 1,0,0,5,4,1,1,132,1,0,0,2,0,1,2,0,0,3,1,0,1,4,0,0,63,4,0,14,239.0
21060209702,م إبتدائية الحوس   مكتب 2,0,0,4,1,0,0,85,3,0,2,2,0,0,0,0,1,0,0,0,1,1,0,0,74,0,1,21,196.0
21060209801,م إبتدائية أولاد امحمد - الحوس  مكتب 1,0,0,4,3,0,1,173,4,0,1,6,0,0,1,0,1,0,1,1,0,5,1,1,59,0,6,13,281.0
21060309901,م إبتدائية كركر المحطة   مكتب 1,1,2,1,14,1,3,201,6,0,1,3,2,7,0,2,2,2,2,0,0,3,1,1,61,0,4,14,334.0
21060309902,م إبتدائية كركر المحطة   مكتب 2,1,1,1,11,0,2,155,9,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,68,1,8,10,273.0
21060309903,م إبتدائية كركر المحطة   مكتب 3,0,1,0,5,0,2,123,19,0,0,3,1,6,0,0,0,0,0,0,0,1,0,0,58,1,5,14,239.0
21060410001,م إبتدائية الزراطة   مكتب 1,2,1,1,5,0,0,135,1,0,0,0,0,12,0,1,1,1,1,0,2,1,0,1,26,2,9,6,208.0
21060410002,م إبتدائية الزراطة   مكتب 2,0,0,0,3,0,0,103,3,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,40,0,4,7,164.0
21060510101,م إبتدائية الرواضي  مكتب 1,2,1,1,12,3,1,197,3,0,0,2,0,9,1,0,3,0,3,1,0,7,1,0,101,1,15,8,372.0
21060510102,م إبتدائية الرواضي  مكتب 2,1,0,0,6,0,2,136,9,0,1,5,0,7,1,0,0,1,0,0,0,3,0,0,107,0,14,6,299.0
21060510201,م إبتدائية بوهلال علي 2 - الرواضي  مكتب 1,0,0,0,3,1,2,171,2,1,0,3,0,5,2,0,1,2,1,0,0,2,0,0,152,0,4,6,358.0
21060510202,م إبتدائية بوهلال علي 2 - الرواضي  مكتب 2,2,0,2,2,1,0,114,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,184,1,6,0,320.0
21060510301,م إبتدائية النعايمة - الرواضي  مكتب 1,0,0,0,2,0,1,139,1,0,0,2,0,1,0,0,0,0,2,2,0,3,0,0,3,0,2,0,158.0
21060610401,م إبتدائية الشوارعية   مكتب 1,1,0,2,4,0,1,187,3,0,2,1,1,19,1,0,0,1,0,0,0,5,0,0,17,2,6,4,257.0
21060610402,م إبتدائية الشوارعية   مكتب 2,0,0,0,3,0,0,153,5,1,2,1,0,20,0,0,1,1,0,0,0,1,1,0,14,0,4,4,211.0
21060710501,م إبتدائية بوهلال علي 1 - بوهلال العلي القبلية  مكتب 1,3,0,1,4,0,1,116,5,0,0,6,1,3,0,0,1,1,0,0,0,6,0,0,97,0,11,10,266.0
21060710601,م إبتدائية العواذبية - بوهلال علي القبلية  مكتب 1,3,2,1,6,1,1,115,4,2,1,2,1,4,1,0,2,0,0,1,0,4,3,1,67,0,13,5,240.0
21060710602,م إبتدائية العواذبية - بوهلال علي القبلية  مكتب 2,2,0,0,3,0,0,58,2,0,0,4,0,1,0,0,2,1,0,1,0,0,0,0,63,0,4,7,148.0
21060810701,م إبتدائية الملاهمة - بوهلال العلي الجوفية  مكتب 1,1,2,9,9,1,1,155,8,0,3,1,1,6,0,3,3,1,0,1,0,6,0,2,31,0,16,24,284.0
21060910801,م إبتدائية منزل حمزة   مكتب 1,2,0,1,6,1,0,138,2,1,1,3,2,2,1,1,0,0,1,0,1,5,1,2,17,0,8,9,205.0
21060910901,م إبتدائية  2مارس منزل حمزة   مكتب 1,0,0,0,0,1,0,88,2,0,1,1,1,0,1,0,0,0,0,0,0,2,0,2,46,0,3,0,148.0
مجموع أصوات القائمة,29,11,48,161,17,25,4354,136,6,21,67,10,178,16,9,28,22,16,8,8,83,10,19,2178,15,201,289,7965,
