circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Mahdia,Chorbane,21080113001,م إبتدائية 2مارس شربان   مكتب 1,0,0,0,2,1,2,185,3,1,2,4,1,4,0,0,2,3,0,0,0,7,0,3,65,1,18,15,319
Mahdia,Chorbane,21080113002,م إبتدائية 2مارس شربان   مكتب 2,1,0,1,3,0,0,167,2,1,3,0,0,5,1,1,1,0,0,0,0,0,0,3,86,0,26,34,335
Mahdia,Chorbane,21080113003,م إبتدائية 2مارس شربان   مكتب 3,0,1,1,6,0,0,136,6,0,1,1,0,3,0,0,0,2,2,1,0,1,0,7,62,1,12,30,273
Mahdia,Chorbane,21080113004,م إبتدائية 2مارس شربان   مكتب 4,0,0,2,5,0,0,113,5,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,79,2,14,30,258
Mahdia,Chorbane,21080113101,م إبتدائية أولاد الحناشي - شربان  مكتب 1,0,0,4,6,0,3,182,6,1,2,4,1,11,1,1,2,2,2,2,0,0,2,4,47,2,21,17,323
Mahdia,Chorbane,21080113201,م إبتدائية هنشير بوعزيز - شربان  مكتب 1,2,0,0,4,3,0,57,0,1,2,1,1,0,0,1,2,3,1,0,1,3,0,1,55,1,24,7,170
Mahdia,Chorbane,21080113301,م إبتدائية المزاهدة - شربان  مكتب 1,0,2,0,0,0,0,81,4,0,2,2,0,0,1,2,2,0,0,0,0,0,0,0,49,0,7,36,188
Mahdia,Chorbane,21080113401,م إبتدائية العبابدة - شربان  مكتب 1,0,0,0,3,1,0,55,0,1,1,1,0,3,0,0,0,0,1,0,0,2,1,2,14,0,4,6,95
Mahdia,Chorbane,21080213501,م إبتدائية الشرف شربان - المعاطي  مكتب 1,1,0,0,0,0,1,105,2,2,3,1,0,3,1,0,1,5,1,4,0,0,1,0,48,2,17,8,206
Mahdia,Chorbane,21080313601,م إبتدائية غرة جوان الشحدة - الشحدة القبلية  مكتب 1,2,0,1,5,2,4,109,1,2,0,3,1,5,4,4,3,0,2,0,0,4,0,1,57,0,18,14,242
Mahdia,Chorbane,21080313602,م إبتدائية غرة جوان الشحدة - الشحدة القبلية  مكتب 2,1,0,2,8,1,1,90,3,0,0,4,0,1,0,0,2,1,1,1,0,3,0,0,68,3,17,11,218
Mahdia,Chorbane,21080413701,م إبتدائية القواسم - القواسم الغربية  مكتب 1,2,0,2,2,4,11,145,8,7,4,5,0,6,6,3,5,4,1,2,1,5,2,1,52,6,97,5,386
Mahdia,Chorbane,21080413702,م إبتدائية القواسم - القواسم الغربية  مكتب 2,1,0,2,1,1,4,100,4,0,1,4,0,2,1,2,1,1,0,0,0,5,0,1,79,0,117,11,338
Mahdia,Chorbane,21080413703,م إبتدائية القواسم - القواسم الغربية  مكتب 3,0,0,4,2,1,2,92,5,0,0,6,1,5,0,1,0,0,0,0,0,1,0,0,49,0,71,7,247
Mahdia,Chorbane,21080413801,م إبتدائية حي الرياض القواسم - القواسم الغربية  مكتب 1,0,0,2,3,0,0,86,2,1,0,0,0,2,1,0,1,0,0,0,0,4,1,0,23,0,44,3,173
Mahdia,Chorbane,21080513901,م إبتدائية أولاد شريفة - القواسم الشرقية  مكتب 1,3,0,1,11,0,3,117,3,1,0,5,1,7,0,1,2,0,1,1,0,6,0,1,82,1,18,15,280
Mahdia,Chorbane,21080514001,م إبتدائية البصرة شربان - القواسم الشرقية  مكتب 1,0,1,1,5,1,3,77,5,1,0,8,1,4,2,2,2,2,2,0,0,1,0,1,85,0,50,7,261
Mahdia,Chorbane,21080514101,م إبتدائية أولاد احمد - القواسم الشرقية  مكتب 1,1,1,0,7,1,2,109,1,0,3,0,0,3,0,2,2,0,0,0,2,1,0,0,48,1,52,23,259
Mahdia,Chorbane,21080514102,م إبتدائية أولاد احمد - القواسم الشرقية  مكتب 2,0,0,0,1,1,4,59,13,0,3,1,0,3,0,0,2,0,0,0,0,0,0,3,53,0,30,24,197
Mahdia,Chorbane,21080614201,م إبتدائية خير الدين - الشرف  مكتب 1,0,0,0,0,1,2,69,0,2,0,1,0,3,1,1,1,0,0,0,1,0,2,0,73,0,70,1,228
Mahdia,Chorbane,21080714301,م إبتدائية الشوايقية - القرادحة الغربية  مكتب 1,1,0,1,1,0,1,168,0,3,0,4,0,4,0,2,1,1,2,2,0,4,1,2,82,1,18,10,309
Mahdia,Chorbane,21080814401,م إبتدائية القرادحة - القرادحة الشرقية  مكتب 1,0,0,1,2,1,1,127,4,0,1,5,1,2,0,0,0,1,2,0,0,4,0,0,22,0,22,14,210
Mahdia,Chorbane,21080814501,م إبتدائية الشواشين - القرادحة الشرقية  مكتب 1,0,0,1,2,0,1,78,0,0,0,1,1,2,1,0,1,0,0,1,0,0,0,1,24,0,44,1,159
Mahdia,Chorbane,21080914601,م إبتدائية أولاد التومي - أولاد الحناشي  مكتب 1,1,0,2,8,0,3,153,5,1,1,1,0,2,2,0,1,1,2,1,0,6,0,0,53,0,36,5,284
