#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
21010100101,م إبتدائية الحي الجديد 1 - الزاوية  مكتب 1,2,0,1,8,2,2,220,2,0,0,3,1,4,1,0,2,0,2,0,0,3,0,1,69,1,4,25,353.0
21010100102,م إبتدائية الحي الجديد 1 - الزاوية  مكتب 2,0,0,0,8,0,0,217,0,0,0,0,0,4,4,0,1,0,1,0,1,2,0,1,130,0,6,11,386.0
21010100103,م إبتدائية الحي الجديد 1 - الزاوية  مكتب 3,1,0,0,11,0,0,183,6,0,0,2,0,7,1,0,1,0,0,0,0,0,1,1,117,0,7,21,359.0
21010100104,م إبتدائية الحي الجديد 1 - الزاوية  مكتب 4,0,0,3,13,0,1,178,6,0,0,4,2,5,0,0,1,0,0,0,0,1,0,1,86,0,4,12,317.0
21010100105,م إبتدائية الحي الجديد 1 - الزاوية  مكتب 5,0,0,0,7,0,0,187,12,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,83,4,4,26,328.0
21010100201,م إبتدائية ابن سينا - الزاوية  مكتب 1,0,0,2,13,0,1,263,5,1,2,7,0,4,0,0,0,1,0,0,0,4,1,1,107,1,8,8,429.0
21010100202,م إبتدائية ابن سينا - الزاوية  مكتب 2,2,0,3,22,0,1,243,3,0,0,7,0,8,1,0,1,0,0,0,0,2,0,0,95,0,4,5,397.0
21010100301,م إبتدائية الحي الجديد 2 - الزاوية  مكتب 1,0,0,1,10,0,1,192,8,0,0,2,2,6,0,0,0,0,0,0,1,3,0,1,80,2,9,9,327.0
21010200401,م إبتدائية شارع الهادي شاكر - المرابطين  مكتب 1,2,0,1,14,1,2,246,4,1,0,2,1,7,2,0,1,0,1,1,1,3,0,0,84,1,3,20,398.0
21010200402,م إبتدائية شارع الهادي شاكر - المرابطين  مكتب 2,1,0,1,19,0,1,245,0,0,0,3,0,10,1,0,4,0,0,0,1,2,0,2,112,0,7,16,425.0
