circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Mahdia,Hbira,21110118001,م إبتدائية الكراعيد - هبيرة  مكتب 1,2,0,1,1,2,0,29,1,0,1,2,1,1,1,0,1,0,1,0,0,1,0,0,28,1,4,4,82
Mahdia,Hbira,21110218101,م إبتدائية منزل حشاد هبيرة   مكتب 1,1,0,2,4,1,2,72,2,1,1,2,3,3,1,1,0,3,0,0,1,6,1,1,144,0,26,14,292
Mahdia,Hbira,21110218102,م إبتدائية منزل حشاد هبيرة   مكتب 2,2,0,0,1,1,0,51,4,0,1,0,1,0,1,0,2,0,0,1,0,3,0,0,135,2,12,11,228
Mahdia,Hbira,21110218201,م إبتدائية الشحدة - منزل حشاد  مكتب 1,0,1,0,5,0,0,142,5,1,3,1,0,2,3,0,2,0,2,0,0,3,1,2,60,0,21,6,260
Mahdia,Hbira,21110218301,م إبتدائية أولاد نصيب الشط - منزل حشاد  مكتب 1,2,0,1,2,0,1,71,1,0,0,3,0,1,0,0,0,0,0,0,0,5,1,1,37,1,15,5,147
Mahdia,Hbira,21110318401,م إبتدائية المحارزة - الرقائقة  مكتب 1,0,2,2,4,1,2,141,3,1,1,4,0,9,2,0,0,0,1,1,1,8,1,5,13,0,28,6,236
Mahdia,Hbira,21110318501,م إبتدائية الرقائقة   مكتب 1,1,0,2,7,3,1,141,7,0,2,4,2,5,3,2,1,1,0,1,0,5,2,1,43,0,16,4,254
Mahdia,Hbira,21110418601,م إبتدائية  2مارس 34 هبيرة - الشحدة الغربية  مكتب 1,2,1,3,2,1,2,134,6,3,0,3,0,3,0,1,2,1,1,0,2,3,1,4,85,1,25,11,297
Mahdia,Hbira,21110418602,م إبتدائية  2مارس 34 هبيرة - الشحدة الغربية  مكتب 2,0,0,5,4,0,0,62,7,1,0,5,0,2,0,0,0,0,0,0,0,1,0,2,92,0,25,10,216
Mahdia,Hbira,21110418701,م إبتدائية الحجارة - الشحدة الغربية  مكتب 1,0,0,0,1,0,0,62,5,0,1,4,0,1,2,0,1,0,2,0,0,1,0,1,43,3,14,3,144
Mahdia,Hbira,21110418801,م إبتدائية أولاد نصيب عقبة - الشحدة الغربية  مكتب 1,2,0,0,1,0,0,35,0,0,1,1,0,1,0,0,1,0,0,0,0,5,1,0,102,1,10,3,164
Mahdia,Hbira,21110518901,م إبتدائية المحارزة الجنوبية   مكتب 1,1,0,1,0,0,1,127,6,0,2,2,0,4,2,0,0,3,3,0,0,5,1,0,27,0,35,11,231
