#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
21090114701,م إبتدائية قصور الساف بورقيبة - القصر  مكتب 1,0,0,2,9,0,1,295,7,0,3,4,0,8,3,0,0,0,1,1,0,5,0,3,56,2,4,19,423.0
21090114702,م إبتدائية قصور الساف بورقيبة - القصر  مكتب 2,0,0,1,12,0,0,255,4,1,0,2,0,6,2,0,1,0,2,0,1,2,0,2,92,0,3,28,414.0
21090114703,م إبتدائية قصور الساف بورقيبة - القصر  مكتب 3,1,0,4,5,0,0,220,6,0,1,5,0,7,1,0,2,3,0,0,0,1,0,1,109,1,8,28,403.0
21090114704,م إبتدائية قصور الساف بورقيبة - القصر  مكتب 4,1,0,4,12,0,1,181,6,1,3,2,0,7,1,0,0,0,0,0,0,1,0,2,123,1,4,25,375.0
21090114705,م إبتدائية قصور الساف بورقيبة - القصر  مكتب 5,0,0,9,10,0,0,154,5,0,1,5,0,7,1,0,3,1,0,1,0,1,0,0,105,1,2,44,350.0
21090114801,م إبتدائية قصور الساف الروضة - القصر  مكتب 1,0,0,0,12,1,1,188,6,0,1,2,0,9,1,0,2,0,0,0,1,1,0,0,68,1,4,12,310.0
21090114802,م إبتدائية قصور الساف الروضة - القصر  مكتب 2,0,0,0,8,0,0,111,4,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,93,1,3,18,244.0
21090214901,م إبتدائية قصور الساف الشهداء - قصور الساف الرياض  مكتب 1,1,0,3,8,1,0,174,5,0,1,2,0,4,0,0,1,2,0,0,1,2,0,0,61,0,15,10,291.0
21090214902,م إبتدائية قصور الساف الشهداء - قصور الساف الرياض  مكتب 2,1,0,2,17,0,1,144,4,0,0,3,0,2,1,0,1,1,0,0,0,0,0,2,78,1,6,8,272.0
21090214903,م إبتدائية قصور الساف الشهداء - قصور الساف الرياض  مكتب 3,0,0,2,11,0,0,113,8,0,1,1,0,2,0,0,2,0,0,1,0,1,0,1,71,0,1,16,231.0
21090215001,م إبتدائية قصور الساف الفتح - قصور الساف الرياض  مكتب 1,0,1,2,9,0,1,295,5,1,2,4,1,7,3,0,4,1,1,0,1,5,0,0,92,0,8,14,457.0
