#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
21030104701,م إبتدائية الشابة الوسطى - الشابة الشمالية  مكتب 1,0,0,0,4,0,1,255,5,1,0,4,2,5,0,1,1,1,0,0,0,5,1,7,49,2,5,40,389.0
21030104702,م إبتدائية الشابة الوسطى - الشابة الشمالية  مكتب 2,2,0,0,3,3,3,188,2,2,0,2,2,4,2,1,0,2,3,1,0,7,0,2,44,2,3,53,331.0
21030104703,م إبتدائية الشابة الوسطى - الشابة الشمالية  مكتب 3,1,0,1,1,0,0,226,2,0,0,1,0,2,1,1,0,0,0,0,0,3,1,3,66,0,5,59,373.0
21030104704,م إبتدائية الشابة الوسطى - الشابة الشمالية  مكتب 4,0,0,5,6,0,0,193,7,0,0,0,0,4,0,0,1,0,1,0,0,2,0,2,76,1,5,81,384.0
21030104705,م إبتدائية الشابة الوسطى - الشابة الشمالية  مكتب 5,0,1,2,7,0,0,148,9,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,88,0,12,68,340.0
21030104706,م إبتدائية الشابة الوسطى - الشابة الشمالية  مكتب 6,0,0,3,3,0,1,132,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,79,1,2,77,310.0
21030104707,م إبتدائية الشابة الوسطى - الشابة الشمالية  مكتب 7,0,0,5,3,0,1,111,15,0,2,1,0,3,0,0,0,0,0,0,0,2,0,0,66,0,3,100,312.0
21030104801,م إبتدائية الشابة الشرقية - الشابة الشمالية  مكتب 1,0,0,2,7,1,1,263,0,0,1,7,1,6,3,0,2,3,2,0,1,6,0,2,64,0,6,63,441.0
21030104802,م إبتدائية الشابة الشرقية - الشابة الشمالية  مكتب 2,1,1,0,3,1,2,175,2,1,3,5,0,5,2,1,1,0,2,0,1,9,0,1,52,1,5,90,364.0
21030104803,م إبتدائية الشابة الشرقية - الشابة الشمالية  مكتب 3,0,0,1,1,0,0,234,4,1,1,2,0,3,1,1,1,1,0,0,0,3,0,1,84,1,4,110,454.0
