circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Mahdia,Mahdia,21040105401,م إبتدائية ابن رشد - المهدية  مكتب 1,0,0,2,6,0,1,300,3,0,2,0,0,9,0,0,6,0,0,1,1,2,0,5,54,0,3,32,427
Mahdia,Mahdia,21040105402,م إبتدائية ابن رشد - المهدية  مكتب 2,4,0,4,7,1,2,316,3,1,0,5,0,2,0,0,2,0,1,0,0,2,1,1,38,0,2,21,413
Mahdia,Mahdia,21040105403,م إبتدائية ابن رشد - المهدية  مكتب 3,1,0,0,6,0,0,306,9,0,1,2,0,7,0,0,3,0,0,2,0,3,1,2,58,0,5,35,441
Mahdia,Mahdia,21040105404,م إبتدائية ابن رشد - المهدية  مكتب 4,0,0,6,6,0,1,281,6,0,2,3,0,7,0,0,1,0,0,0,1,1,0,0,66,0,4,28,413
Mahdia,Mahdia,21040105405,م إبتدائية ابن رشد - المهدية  مكتب 5,0,0,5,8,0,0,208,10,0,1,1,0,9,0,1,3,0,0,0,0,0,1,1,72,0,9,33,362
Mahdia,Mahdia,21040105406,م إبتدائية ابن رشد - المهدية  مكتب 6,0,0,3,4,0,1,210,10,0,2,1,0,4,1,0,1,0,0,0,1,1,0,2,48,0,4,38,331
Mahdia,Mahdia,21040105407,م إبتدائية ابن رشد - المهدية  مكتب 7,0,0,3,7,0,0,190,16,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,34,0,3,52,310
Mahdia,Mahdia,21040105501,م إبتدائية سيدي القديدي - المهدية  مكتب 1,2,1,1,9,0,1,266,5,0,1,3,0,7,2,1,2,1,0,0,1,5,1,4,38,0,5,32,388
Mahdia,Mahdia,21040105502,م إبتدائية سيدي القديدي - المهدية  مكتب 2,0,0,6,9,0,0,230,6,0,2,3,0,12,0,0,3,0,0,0,0,3,0,2,81,0,4,39,400
Mahdia,Mahdia,21040105503,م إبتدائية سيدي القديدي - المهدية  مكتب 3,0,0,1,9,0,0,212,31,0,0,2,0,8,1,0,1,0,0,0,0,2,0,1,36,3,3,54,364
Mahdia,Mahdia,21040105601,م إبتدائية شارع علي البلهوان - المهدية  مكتب 1,0,2,2,9,2,4,220,7,0,1,2,0,9,1,1,6,1,0,0,0,2,0,0,65,0,14,22,370
Mahdia,Mahdia,21040105602,م إبتدائية شارع علي البلهوان - المهدية  مكتب 2,1,1,5,10,0,1,240,4,1,1,2,0,6,2,0,0,0,0,0,1,1,0,1,67,0,8,19,371
Mahdia,Mahdia,21040105603,م إبتدائية شارع علي البلهوان - المهدية  مكتب 3,0,0,3,13,0,1,194,12,0,1,1,0,4,0,0,1,0,1,1,1,3,0,3,52,0,15,47,353
Mahdia,Mahdia,21040105604,م إبتدائية شارع علي البلهوان - المهدية  مكتب 4,0,1,4,7,0,0,199,9,0,1,2,0,7,1,0,2,0,0,0,0,2,0,1,58,0,10,28,332
Mahdia,Mahdia,21040105605,م إبتدائية شارع علي البلهوان - المهدية  مكتب 5,0,0,6,15,0,0,134,18,0,0,8,0,10,0,0,0,0,0,0,1,0,0,3,59,1,7,38,300
Mahdia,Mahdia,21040105701,م إبتدائية الدخيلة - المهدية  مكتب 1,0,0,1,2,0,0,168,0,0,1,2,1,4,0,0,1,0,0,0,0,7,0,3,17,1,16,13,237
Mahdia,Mahdia,21040105801,م إبتدائية البشير صفر المهدية  مكتب 1,0,0,5,8,3,1,312,3,1,1,4,0,8,0,0,5,1,1,0,0,3,0,1,59,0,10,33,459
Mahdia,Mahdia,21040105802,م إبتدائية البشير صفر المهدية  مكتب 2,3,1,5,7,0,2,303,3,1,1,4,0,5,0,0,5,1,2,0,4,6,0,3,63,1,5,34,459
Mahdia,Mahdia,21040105803,م إبتدائية البشير صفر المهدية  مكتب 3,1,1,2,14,0,0,279,9,0,1,1,0,9,0,0,3,1,0,0,1,3,0,3,78,0,6,46,458
Mahdia,Mahdia,21040105804,م إبتدائية البشير صفر المهدية  مكتب 4,0,0,3,9,0,2,244,8,0,2,0,0,9,0,0,1,0,0,0,0,2,0,1,82,0,10,37,410
Mahdia,Mahdia,21040105805,م إبتدائية البشير صفر المهدية  مكتب 5,0,0,5,9,0,3,214,10,0,2,3,0,6,0,0,0,0,0,1,4,2,0,6,65,0,4,40,374
Mahdia,Mahdia,21040105806,م إبتدائية البشير صفر المهدية  مكتب 6,0,0,3,12,0,1,172,7,0,2,4,0,5,1,0,1,0,0,0,2,2,0,3,65,0,7,52,339
Mahdia,Mahdia,21040105807,م إبتدائية البشير صفر المهدية  مكتب 7,0,0,7,13,0,3,181,12,0,1,2,0,4,0,0,1,0,0,0,1,1,0,1,70,0,4,50,351
Mahdia,Mahdia,21040105901,م إبتدائية برج عريف - المهدية  مكتب 1,1,0,3,9,1,0,208,5,0,0,1,0,8,0,0,1,0,1,0,0,1,2,2,43,0,12,44,342
Mahdia,Mahdia,21040105902,م إبتدائية برج عريف - المهدية  مكتب 2,2,0,0,3,0,0,143,6,0,0,2,0,4,1,0,3,0,1,0,0,0,0,2,47,1,13,47,275
Mahdia,Mahdia,21040105903,م إبتدائية برج عريف - المهدية  مكتب 3,0,0,6,3,0,0,123,16,0,0,2,0,6,0,0,1,0,1,0,0,0,0,2,43,1,5,44,253
