#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
21100116901,م إبتدائية ملولش   مكتب 1,0,1,2,3,2,1,195,9,4,1,4,1,7,3,1,0,1,1,3,0,8,0,0,67,0,14,11,339.0
21100116902,م إبتدائية ملولش   مكتب 2,1,0,1,1,2,0,220,12,0,1,4,0,2,0,1,1,0,2,1,1,4,0,1,77,1,9,17,359.0
21100116903,م إبتدائية ملولش   مكتب 3,0,1,1,2,0,1,170,19,1,1,1,0,1,0,0,1,0,0,1,0,5,0,1,85,1,3,23,318.0
21100116904,م إبتدائية ملولش   مكتب 4,0,0,0,0,0,2,125,15,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,65,0,8,28,249.0
21100116905,م إبتدائية ملولش   مكتب 5,0,0,1,0,0,0,107,33,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,65,0,7,38,257.0
21100117001,م إبتدائية أولاد المبروك - ملولش  مكتب 1,1,0,2,2,4,3,119,7,1,0,2,0,3,0,0,0,3,0,0,0,1,0,1,31,0,18,20,218.0
21100117002,م إبتدائية أولاد المبروك - ملولش  مكتب 2,1,0,1,3,0,0,63,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,28,0,11,22,137.0
21100117101,م إبتدائية أولاد جاء بالله - ملولش  مكتب 1,1,0,0,2,0,0,54,5,1,1,0,1,2,0,0,1,1,0,0,0,2,0,1,42,0,4,10,128.0
21100117201,م إبتدائية أولاد احمد - ملولش  مكتب 1,3,0,0,1,0,1,73,6,0,0,4,0,1,2,1,1,2,2,0,0,2,0,3,35,0,11,16,164.0
21100117202,م إبتدائية أولاد احمد - ملولش  مكتب 2,1,0,0,0,0,0,39,8,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,25,0,8,30,120.0
21100117301,م إبتدائية الفقائرة - ملولش  مكتب 1,0,0,2,2,1,0,118,7,1,2,3,0,3,0,0,0,0,1,0,0,0,0,1,83,0,8,33,265.0
21100217401,م إبتدائية أولاد عبد الله - العيثة  مكتب 1,0,0,0,3,0,1,177,13,2,2,3,3,5,1,2,3,0,0,1,0,5,0,0,40,1,12,18,292.0
21100217402,م إبتدائية أولاد عبد الله - العيثة  مكتب 2,0,0,3,0,0,0,101,16,0,0,2,1,0,1,1,0,0,0,0,0,2,1,0,43,0,5,17,193.0
21100317501,م إبتدائية 2 مارس 34 المنصورة   مكتب 1,1,1,1,7,0,3,99,12,1,4,4,1,4,3,0,5,0,0,0,1,3,1,0,108,0,20,14,293.0
21100317601,م إبتدائية العرقوب - المنصورة  مكتب 1,0,0,2,3,0,2,106,23,0,1,2,1,9,0,1,2,0,1,1,1,3,0,1,105,2,11,13,290.0
21100317701,م إبتدائية الهود - المنصورة  مكتب 1,0,0,2,5,1,0,90,3,4,0,0,0,0,1,0,1,1,0,0,0,7,0,0,34,1,4,9,163.0
21100317702,م إبتدائية الهود - المنصورة  مكتب 2,0,0,0,0,1,0,53,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,32,0,1,10,105.0
21100417801,م إبتدائية بني طورش - بن حسين  مكتب 1,1,0,1,4,2,0,141,7,4,1,4,0,4,1,0,3,0,0,2,0,5,0,2,26,0,10,9,227.0
21100417802,م إبتدائية بني طورش - بن حسين  مكتب 2,0,0,2,0,0,0,72,12,0,2,7,0,2,0,0,0,0,0,0,0,1,0,0,33,0,15,18,164.0
21100417901,م إبتدائية 18 جانفي أولاد جاء بالله - بن حسين  مكتب 1,0,1,1,1,0,2,145,5,0,0,3,1,1,0,1,1,0,0,0,0,3,1,0,35,0,12,31,244.0
مجموع أصوات القائمة,10,4,22,39,13,16,2267,220,19,16,53,10,53,13,8,19,8,8,11,3,53,3,14,1059,6,191,387,4525,
