#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
21050107701,م إبتدائية الفوز - أولاد الشامخ الجنوبية  مكتب 1,0,0,1,0,0,0,57,1,0,0,3,1,1,0,0,0,0,0,0,0,3,0,0,15,0,3,6,91.0
21050107801,م إبتدائية أولاد الشامخ 6 - أولاد الشامخ الجنوبية  مكتب 1,2,2,2,5,4,2,182,2,3,1,1,1,9,1,4,0,0,2,1,0,10,1,5,43,0,11,5,299.0
21050107802,م إبتدائية أولاد الشامخ 6 - أولاد الشامخ الجنوبية  مكتب 2,0,0,3,3,0,1,159,2,0,0,1,0,4,1,0,1,1,0,0,0,4,1,3,70,1,16,19,290.0
21050107803,م إبتدائية أولاد الشامخ 6 - أولاد الشامخ الجنوبية  مكتب 3,2,0,0,1,0,0,99,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,67,0,13,23,211.0
21050107804,م إبتدائية أولاد الشامخ 6 - أولاد الشامخ الجنوبية  مكتب 4,3,0,1,1,1,0,94,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,0,13,15,187.0
21050107901,م إبتدائية الهواني - أولاد الشامخ الجنوبية  مكتب 1,2,0,0,3,0,0,41,4,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,34,0,3,1,96.0
21050208001,م إبتدائية أولاد الشامخ 7 - أولاد الشامخ الشمالية  مكتب 1,2,0,1,8,0,1,115,6,1,2,5,0,5,2,0,3,1,1,0,0,3,2,1,35,1,15,29,239.0
21050208101,م إبتدائية الحرية - أولاد الشامخ الشمالية  مكتب 1,1,0,1,0,0,1,57,3,1,0,0,0,1,0,0,0,1,0,2,1,3,0,0,9,0,15,18,114.0
21050208201,م إبتدائية لمانع - أولاد الشامخ الشمالية  مكتب 1,3,0,0,6,1,1,133,1,2,1,1,0,4,1,0,0,0,1,0,0,3,1,3,15,0,6,12,195.0
21050308301,م إبتدائية أولاد عمر  مكتب 1,1,0,0,1,2,0,75,1,0,0,1,1,3,0,1,0,1,1,0,0,3,1,0,28,0,14,34,168.0
21050308401,م إبتدائية الرزايقية - أولاد عمر  مكتب 1,2,0,0,0,0,0,39,1,4,0,3,0,0,0,2,1,0,1,1,0,1,0,1,8,0,4,74,142.0
21050308501,م إبتدائية الدراغثة - أولاد عمر  مكتب 1,2,0,1,0,0,0,39,2,0,0,1,0,5,0,0,1,0,1,1,0,1,0,0,12,0,3,8,77.0
21050408601,م إبتدائية الشحيمات الشمالية  مكتب 1,0,0,1,1,1,2,159,3,1,1,0,1,5,0,0,0,2,0,0,0,3,0,1,44,2,12,11,250.0
21050408602,م إبتدائية الشحيمات الشمالية  مكتب 2,2,0,1,0,0,0,91,10,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,44,1,5,14,175.0
21050508701,م إبتدائية العجيلات  مكتب 1,3,2,0,3,4,1,137,10,0,2,3,1,11,1,0,0,3,0,0,0,6,0,0,57,1,17,22,284.0
21050508801,م إبتدائية أولاد بوزيد - العجيلات  مكتب 1,0,1,1,6,1,5,63,7,0,1,2,1,7,2,4,3,1,1,1,1,1,1,1,126,0,44,8,289.0
21050508802,م إبتدائية أولاد بوزيد - العجيلات  مكتب 2,4,0,0,0,0,0,30,9,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,121,0,31,8,209.0
21050508901,م إبتدائية فريق العمارات - العجيلات  مكتب 1,1,0,1,1,0,0,107,9,0,1,4,2,5,1,0,1,0,0,0,0,4,0,0,44,0,9,10,200.0
21050609001,م إبتدائية السمرة   مكتب 1,1,0,0,0,1,2,77,1,3,0,3,0,3,0,0,0,3,0,0,0,3,0,0,33,0,29,9,168.0
21050609101,م إبتدائية البراشنية - السمرة  مكتب 1,0,0,0,0,0,1,15,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,18,0,14,1,55.0
21050709201,م إبتدائية بئر بو سليم   مكتب 1,1,0,1,2,2,1,43,2,0,1,6,0,0,0,1,1,3,0,0,0,2,1,0,93,0,5,4,169.0
21050809301,م إبتدائية الغرارقة - المحارزة الشمالية  مكتب 1,0,0,0,1,0,0,143,2,0,0,0,1,5,1,1,0,2,2,0,1,3,0,0,13,0,13,13,201.0
21050809401,م إبتدائية المنيدرة - المحارزة الشمالية  مكتب 1,0,0,0,0,0,1,71,3,0,0,0,0,2,1,1,1,1,0,0,0,2,0,1,2,0,5,7,98.0
مجموع أصوات القائمة,32,5,15,42,17,19,2026,87,17,11,39,10,78,12,16,14,19,12,8,3,60,8,17,983,6,300,351,4207,
