circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Mahdia,SidiAlouene,21070111001,م إبتدائية سيدي علوان بورقيبة - سيدي علوان الغربية  مكتب 1,1,0,2,1,0,0,150,1,1,1,6,1,8,1,3,1,1,0,0,4,5,0,3,149,2,12,12,365
Mahdia,SidiAlouene,21070111002,م إبتدائية سيدي علوان بورقيبة - سيدي علوان الغربية  مكتب 2,3,0,0,5,0,1,141,1,0,0,1,0,5,1,1,0,1,1,0,1,0,0,2,223,0,9,7,403
Mahdia,SidiAlouene,21070111003,م إبتدائية سيدي علوان بورقيبة - سيدي علوان الغربية  مكتب 3,1,1,1,3,0,2,108,5,0,0,5,0,4,2,0,2,0,0,0,0,2,0,3,188,1,9,17,354
Mahdia,SidiAlouene,21070111004,م إبتدائية سيدي علوان بورقيبة - سيدي علوان الغربية  مكتب 4,0,0,2,5,0,1,91,3,1,1,4,0,7,0,0,2,0,0,0,0,0,0,0,194,1,11,13,336
Mahdia,SidiAlouene,21070111101,م إبتدائية نهج بن خليفة سيدي علوان - سيدي علوان الغربية  مكتب 1,2,0,0,4,1,0,80,2,1,1,1,0,0,1,0,0,1,0,0,0,2,1,0,115,1,5,5,223
Mahdia,SidiAlouene,21070111102,م إبتدائية نهج بن خليفة سيدي علوان - سيدي علوان الغربية  مكتب 2,0,0,2,5,0,0,47,2,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,122,2,4,8,199
Mahdia,SidiAlouene,21070111201,م إبتدائية البعالجة - سيدي علوان الغربية  مكتب 1,0,0,0,0,0,1,66,2,1,0,0,0,3,0,0,0,2,0,0,0,1,0,0,5,0,3,0,84
Mahdia,SidiAlouene,21070211301,م إبتدائية زردة   مكتب 1,2,0,1,5,2,1,141,7,0,2,3,0,4,1,0,2,0,1,0,0,2,0,0,61,0,13,18,266
Mahdia,SidiAlouene,21070311401,م إبتدائية ساقية الخادم   مكتب 1,1,0,1,6,2,2,166,4,1,5,9,0,5,1,2,1,1,1,0,1,6,0,0,18,0,9,3,245
Mahdia,SidiAlouene,21070311402,م إبتدائية ساقية الخادم   مكتب 2,1,0,0,1,0,0,140,7,0,2,4,2,1,0,0,0,0,0,0,0,2,0,0,35,0,6,2,203
Mahdia,SidiAlouene,21070311403,م إبتدائية ساقية الخادم   مكتب 3,0,0,0,1,0,2,117,8,0,4,2,0,1,0,0,1,0,0,0,0,2,0,1,32,0,2,6,179
Mahdia,SidiAlouene,21070311501,م إبتدائية العيايطة - ساقية الخادم  مكتب 1,0,0,1,3,0,3,129,4,0,1,1,1,5,0,0,2,0,2,0,0,4,2,0,13,0,4,4,179
Mahdia,SidiAlouene,21070311502,م إبتدائية العيايطة - ساقية الخادم  مكتب 2,1,0,0,4,0,0,94,4,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,22,0,1,4,135
Mahdia,SidiAlouene,21070411601,م إبتدائية أولاد بالليل - البساتين  مكتب 1,2,0,1,4,1,1,91,1,0,3,2,0,3,1,1,1,0,0,1,0,2,0,1,7,1,2,4,130
Mahdia,SidiAlouene,21070411602,م إبتدائية أولاد بالليل - البساتين  مكتب 2,1,0,0,0,0,0,65,0,1,0,0,0,1,0,1,0,0,1,2,0,4,0,1,13,0,5,3,98
Mahdia,SidiAlouene,21070511701,م إبتدائية وادي باجة - وادي باجة الشمالية  مكتب 1,2,0,3,6,1,2,181,5,0,2,3,1,4,0,1,2,2,4,2,0,10,3,0,55,1,9,2,301
Mahdia,SidiAlouene,21070511702,م إبتدائية وادي باجة - وادي باجة الشمالية  مكتب 2,2,1,0,2,1,0,135,8,1,1,2,0,3,0,0,1,1,1,0,0,3,0,2,73,0,10,6,253
Mahdia,SidiAlouene,21070511703,م إبتدائية وادي باجة - وادي باجة الشمالية  مكتب 3,1,0,0,2,2,0,98,14,0,1,1,0,1,0,0,0,0,1,0,1,3,0,0,71,0,3,3,202
Mahdia,SidiAlouene,21070611801,م إبتدائية سعفات وادي باجة - وادي باجة الجنوبية  مكتب 1,0,0,0,2,0,1,64,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,41,0,4,2,118
Mahdia,SidiAlouene,21070611901,م إبتدائية الماجرية - وادي باجة الجنوبية  مكتب 1,0,0,0,3,0,0,111,4,1,2,1,0,1,0,0,0,1,0,2,0,0,0,1,44,0,11,3,185
Mahdia,SidiAlouene,21070712001,م إبتدائية زالبة الشرقية  مكتب 1,1,0,0,2,0,0,100,2,2,0,3,0,5,1,2,2,1,4,0,0,2,0,2,17,1,8,6,161
Mahdia,SidiAlouene,21070712002,م إبتدائية زالبة الشرقية  مكتب 2,0,0,2,1,0,0,60,3,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,20,0,3,7,102
Mahdia,SidiAlouene,21070812101,م إبتدائية زالبة الغربية  مكتب 1,2,2,3,8,0,2,82,5,2,1,5,1,15,0,1,1,0,1,0,0,7,1,2,45,1,23,5,215
Mahdia,SidiAlouene,21070812102,م إبتدائية زالبة الغربية  مكتب 2,1,0,0,2,0,1,57,4,0,2,1,0,6,0,0,0,0,0,0,1,3,1,0,40,0,13,13,145
Mahdia,SidiAlouene,21070812201,م إبتدائية أولاد عائشة - زالبة الغربية  مكتب 1,0,0,1,1,0,3,59,1,0,0,4,0,3,0,0,0,0,0,0,0,2,0,0,75,0,6,3,158
Mahdia,SidiAlouene,21070912301,م إبتدائية المصيفة - النزهة  مكتب 1,2,0,0,4,2,0,70,2,0,1,5,1,1,0,0,0,0,2,0,0,6,0,0,50,1,25,2,174
Mahdia,SidiAlouene,21071012401,م إبتدائية وادي قلات   مكتب 1,0,0,5,3,0,0,34,0,0,0,1,0,1,0,0,0,1,0,1,0,3,0,0,13,0,5,4,71
Mahdia,SidiAlouene,21071012501,م إبتدائية الشواش - وادي قلات  مكتب 1,0,0,1,0,1,0,45,6,0,1,3,1,3,0,0,0,0,1,1,0,0,2,1,41,0,5,1,113
Mahdia,SidiAlouene,21071012601,م إبتدائية قشانة - وادي قلات  مكتب 1,0,0,0,5,0,0,81,4,0,0,2,0,3,0,0,2,1,2,0,1,1,1,0,38,0,14,7,162
Mahdia,SidiAlouene,21071112701,م إبتدائية الصعدة - السعادة  مكتب 1,0,0,1,4,0,1,160,1,0,0,2,1,2,0,2,1,1,0,3,2,9,0,0,71,0,9,6,276
Mahdia,SidiAlouene,21071112702,م إبتدائية الصعدة - السعادة  مكتب 2,1,0,0,0,0,2,121,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,0,6,8,225
Mahdia,SidiAlouene,21071112801,م إبتدائية الأمل وادي باجة - السعادة  مكتب 1,0,0,1,6,1,0,121,5,2,1,4,2,4,1,1,0,1,2,1,0,4,0,2,26,0,0,5,190
Mahdia,SidiAlouene,21071112802,م إبتدائية الأمل وادي باجة - السعادة  مكتب 2,0,0,2,4,0,0,86,9,0,0,4,0,3,0,1,0,0,0,0,0,2,0,2,31,0,1,3,148
Mahdia,SidiAlouene,21071112901,م إبتدائية الزوازي - السعادة  مكتب 1,0,0,2,3,0,1,23,3,1,0,1,0,1,0,0,0,0,0,0,0,4,1,0,23,0,7,11,81
