#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
21020101901,م إبتدائية  2مارس 34 السواسي   مكتب 1,2,0,0,4,1,3,185,1,1,2,2,1,7,0,1,2,1,0,0,1,5,1,4,151,1,31,25,432.0
21020101902,م إبتدائية  2مارس 34 السواسي   مكتب 2,1,0,1,5,0,1,151,6,1,1,5,1,9,1,0,3,0,0,1,0,2,0,0,204,0,34,31,458.0
21020101903,م إبتدائية  2مارس 34 السواسي   مكتب 3,1,0,1,5,0,1,124,10,0,0,2,0,3,0,0,2,1,0,0,0,0,0,2,210,1,14,25,402.0
21020101904,م إبتدائية  2مارس 34 السواسي   مكتب 4,0,0,0,3,0,0,82,3,0,0,2,0,6,1,0,0,0,0,0,1,1,0,1,200,0,22,19,341.0
21020101905,م إبتدائية  2مارس 34 السواسي   مكتب 5,0,0,2,5,0,0,84,8,0,0,3,0,4,0,0,0,0,1,0,0,0,0,2,174,0,15,25,323.0
21020102001,م إبتدائية ابن خلدون السواسي   مكتب 1,2,1,1,1,1,0,136,0,3,1,5,0,2,3,1,0,1,1,0,0,2,0,0,127,1,26,58,373.0
21020102002,م إبتدائية ابن خلدون السواسي   مكتب 2,1,0,2,3,0,0,65,8,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,127,1,11,41,265.0
21020202101,م إبتدائية أولاد عمر السيدة  مكتب 1,1,0,0,2,1,0,110,1,1,1,3,0,3,1,1,1,0,0,0,0,2,0,2,48,1,35,5,219.0
21020202102,م إبتدائية أولاد عمر السيدة  مكتب 2,1,0,0,1,0,1,71,4,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,35,0,17,6,141.0
21020302201,م إبتدائية الحميدات - سيدي الناصر  مكتب 1,4,1,2,4,1,2,116,2,1,0,1,1,3,0,0,3,4,0,1,1,2,0,1,105,1,92,12,360.0
21020302202,م إبتدائية الحميدات - سيدي الناصر  مكتب 2,1,0,2,2,0,2,66,10,0,0,5,0,3,0,0,1,0,1,0,0,1,0,0,92,0,71,11,268.0
21020302301,م إبتدائية الجعاونية - سيدي الناصر  مكتب 1,0,0,1,0,0,1,101,4,0,0,1,0,6,0,1,0,0,1,0,0,3,0,1,112,2,26,21,281.0
21020302401,م إبتدائية القوادرية - سيدي الناصر  مكتب 1,1,0,0,3,2,3,106,4,2,1,3,2,2,2,0,3,1,1,0,1,5,0,0,102,1,45,10,300.0
21020402501,م إبتدائية سيدي زيد   مكتب 1,3,2,2,4,3,0,147,6,3,3,1,2,7,2,1,0,1,0,0,0,7,1,3,61,0,41,49,349.0
21020402502,م إبتدائية سيدي زيد   مكتب 2,4,0,1,3,0,0,103,10,0,0,3,0,5,1,0,0,1,0,0,0,1,0,0,74,1,20,36,263.0
21020402601,م إبتدائية الجماملة - سيدي زيد  مكتب 1,3,0,0,1,2,1,145,1,0,1,3,0,2,0,0,0,1,1,1,0,0,0,2,86,0,10,22,282.0
21020402602,م إبتدائية الجماملة - سيدي زيد  مكتب 2,0,0,0,1,0,0,125,5,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,71,0,13,13,234.0
21020402701,م إبتدائية الشعرة - سيدي زيد  مكتب 1,4,0,0,6,0,3,144,6,2,2,4,0,9,1,0,0,2,0,0,0,8,0,2,55,1,43,22,314.0
21020402801,م إبتدائية البزاينية - سيدي زيد  مكتب 1,0,0,2,1,0,1,149,4,1,0,2,0,4,0,1,0,1,1,0,0,4,0,0,31,0,23,11,236.0
