circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Manouba,BorjAmri,05040103401,م إبتدائية الجمهورية برج العامري   مكتب 1,0,0,2,4,1,2,258,22,0,1,4,0,7,3,0,2,1,0,0,0,3,2,2,92,3,11,12,432
Manouba,BorjAmri,05040103402,م إبتدائية الجمهورية برج العامري   مكتب 2,1,1,3,3,0,3,228,23,0,2,3,0,4,0,2,1,2,0,2,0,2,0,2,107,1,11,22,423
Manouba,BorjAmri,05040103403,م إبتدائية الجمهورية برج العامري   مكتب 3,1,0,1,4,0,0,193,21,0,0,3,0,2,0,0,1,0,0,0,0,1,0,0,102,2,13,22,366
Manouba,BorjAmri,05040103404,م إبتدائية الجمهورية برج العامري   مكتب 4,0,0,1,8,0,0,140,35,0,1,0,0,5,0,0,3,1,0,0,2,1,0,1,89,3,4,26,320
Manouba,BorjAmri,05040103501,م إبتدائية الإنطلاقة برج العامري   مكتب 1,1,1,1,3,2,2,215,30,1,4,4,0,0,1,2,1,0,1,1,2,4,0,1,58,1,9,12,357
Manouba,BorjAmri,05040103502,م إبتدائية الإنطلاقة برج العامري   مكتب 2,2,0,1,5,1,0,199,27,0,0,3,1,2,0,0,2,1,2,1,1,4,0,1,60,0,15,17,345
Manouba,BorjAmri,05040103503,م إبتدائية الإنطلاقة برج العامري   مكتب 3,0,0,2,1,0,1,100,47,0,0,0,0,3,1,0,1,0,0,0,0,1,1,2,55,3,9,16,243
Manouba,BorjAmri,05040103601,م إبتدائية الحفصية برج العامري   مكتب 1,0,0,0,3,0,1,112,25,1,1,2,1,5,1,0,2,1,2,2,3,2,0,0,38,0,16,13,231
Manouba,BorjAmri,05040103602,م إبتدائية الحفصية برج العامري   مكتب 2,0,0,0,1,0,0,74,42,0,0,3,0,1,0,1,0,0,0,0,0,1,0,2,39,0,10,21,195
Manouba,BorjAmri,05040203701,م إبتدائية منزل الحبيب برج العامري   مكتب 1,1,0,6,4,0,0,148,15,0,0,4,0,0,0,1,1,0,2,1,1,1,1,1,66,0,20,15,288
Manouba,BorjAmri,05040203801,م إبتدائية النفيض برج العامري - منزل الحبيب  مكتب 1,0,1,0,2,1,1,44,8,0,0,2,0,4,1,0,1,1,1,1,0,1,0,0,32,0,6,16,123
Manouba,BorjAmri,05040203901,م إبتدائية الدريجة برج العامري - منزل الحبيب  مكتب 1,2,0,1,2,0,2,99,21,0,1,5,0,1,0,0,2,0,1,0,0,1,0,0,28,0,10,5,181
Manouba,BorjAmri,05040304001,م إبتدائية برج النور برج العامري - برج النور  مكتب 1,0,3,2,4,1,0,170,31,3,0,2,1,4,2,2,2,0,0,0,0,3,2,0,66,0,12,12,322
Manouba,BorjAmri,05040304002,م إبتدائية برج النور برج العامري - برج النور  مكتب 2,0,1,0,4,0,1,126,69,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,65,0,18,14,305
Manouba,BorjAmri,05040304101,م إبتدائية بئر الطويل برج العامري - برج النور  مكتب 1,0,0,1,0,1,1,94,28,0,0,3,0,1,1,0,0,0,4,0,2,4,1,0,60,0,11,9,221
Manouba,BorjAmri,05040404201,م إبتدائية مساعدين برج العامري - المساعدين  مكتب 1,0,1,2,2,1,0,142,31,1,0,2,0,2,2,3,1,1,1,0,1,6,0,1,64,0,16,14,294
Manouba,BorjAmri,05040404202,م إبتدائية مساعدين برج العامري - المساعدين  مكتب 2,2,0,1,4,0,2,114,39,0,0,2,0,3,0,2,1,0,0,0,1,5,0,3,65,0,12,8,264
Manouba,BorjAmri,05040404203,م إبتدائية مساعدين برج العامري - المساعدين  مكتب 3,0,0,2,2,0,0,89,38,0,0,2,0,3,0,0,0,0,0,0,0,1,0,2,71,0,16,9,235
