circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Manouba,DouarHicher,05050104301,م إبتدائية الغزالي دوار هيشر   مكتب 1,1,3,2,4,4,0,173,28,1,3,3,0,4,1,2,1,1,1,1,2,6,2,4,114,1,8,20,390
Manouba,DouarHicher,05050104302,م إبتدائية الغزالي دوار هيشر   مكتب 2,1,1,1,8,1,0,160,33,0,0,0,0,9,1,0,1,0,0,1,0,3,1,2,122,1,10,22,378
Manouba,DouarHicher,05050104303,م إبتدائية الغزالي دوار هيشر   مكتب 3,2,3,1,7,1,1,144,36,2,2,1,0,4,2,1,1,0,0,0,1,4,0,1,118,0,12,21,365
Manouba,DouarHicher,05050104304,م إبتدائية الغزالي دوار هيشر   مكتب 4,1,0,5,1,0,0,120,30,0,1,3,0,3,0,0,1,1,0,0,1,1,1,2,143,0,14,37,365
Manouba,DouarHicher,05050104305,م إبتدائية الغزالي دوار هيشر   مكتب 5,0,0,2,2,0,0,118,41,0,0,1,0,3,0,0,1,0,0,0,0,1,0,2,178,0,9,24,382
Manouba,DouarHicher,05050104306,م إبتدائية الغزالي دوار هيشر   مكتب 6,1,0,2,5,1,2,98,48,1,0,3,0,5,0,0,1,1,0,0,0,0,0,4,123,1,8,25,329
Manouba,DouarHicher,05050104307,م إبتدائية الغزالي دوار هيشر   مكتب 7,0,0,1,1,0,0,70,36,0,0,7,0,1,0,0,0,0,0,0,0,0,0,3,127,1,7,41,295
Manouba,DouarHicher,05050104308,م إبتدائية الغزالي دوار هيشر   مكتب 8,0,0,7,1,0,1,90,66,0,0,2,0,2,0,0,0,0,0,1,0,0,0,2,96,1,6,30,305
Manouba,DouarHicher,05050104401,م إبتدائية شاكر 1 دوار هيشر - دوار هيشر  مكتب 1,0,1,0,2,1,2,128,43,1,1,6,0,4,1,0,0,5,0,0,1,1,1,0,95,0,17,11,321
Manouba,DouarHicher,05050104402,م إبتدائية شاكر 1 دوار هيشر - دوار هيشر  مكتب 2,5,0,2,3,0,0,132,39,0,1,2,2,4,0,0,1,0,0,0,2,6,1,1,88,0,10,21,320
Manouba,DouarHicher,05050104403,م إبتدائية شاكر 1 دوار هيشر - دوار هيشر  مكتب 3,0,1,0,2,0,2,105,52,0,0,2,0,4,1,0,1,0,1,0,0,5,0,4,91,1,17,22,311
Manouba,DouarHicher,05050104404,م إبتدائية شاكر 1 دوار هيشر - دوار هيشر  مكتب 4,0,0,1,0,0,0,98,37,0,1,3,0,3,0,0,0,0,0,0,0,1,0,0,110,1,12,15,282
Manouba,DouarHicher,05050104405,م إبتدائية شاكر 1 دوار هيشر - دوار هيشر  مكتب 5,1,2,0,1,0,0,75,30,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,99,0,6,20,240
Manouba,DouarHicher,05050104406,م إبتدائية شاكر 1 دوار هيشر - دوار هيشر  مكتب 6,0,0,0,2,1,0,62,51,0,0,1,0,4,1,0,0,1,0,0,0,1,0,3,91,1,5,20,244
Manouba,DouarHicher,05050104501,م إبتدائية شاكر 2 دوار هيشر - دوار هيشر  مكتب 1,3,0,0,4,0,3,151,34,1,1,3,1,4,3,1,0,1,0,1,0,3,2,1,75,0,7,11,310
Manouba,DouarHicher,05050104502,م إبتدائية شاكر 2 دوار هيشر - دوار هيشر  مكتب 2,1,0,1,4,0,1,112,37,1,0,3,0,3,0,0,1,0,0,0,1,1,0,3,74,0,13,12,268
Manouba,DouarHicher,05050104503,م إبتدائية شاكر 2 دوار هيشر - دوار هيشر  مكتب 3,1,0,3,1,0,0,84,38,0,0,3,1,5,0,0,0,0,0,0,0,1,0,1,92,1,9,12,252
Manouba,DouarHicher,05050104504,م إبتدائية شاكر 2 دوار هيشر - دوار هيشر  مكتب 4,0,0,1,1,0,0,61,32,0,0,4,1,0,0,0,2,0,0,1,0,0,0,0,65,0,2,13,183
Manouba,DouarHicher,05050204601,م إبتدائية المعرفة1 دوار هيشر - خالد إبن الوليد  مكتب 1,2,2,1,3,3,1,138,52,1,0,3,1,6,0,1,4,2,1,0,2,9,0,2,100,3,15,17,369
Manouba,DouarHicher,05050204602,م إبتدائية المعرفة1 دوار هيشر - خالد إبن الوليد  مكتب 2,1,0,1,0,0,4,129,54,1,1,5,1,5,2,1,1,1,0,0,2,0,0,2,103,1,10,18,343
Manouba,DouarHicher,05050204603,م إبتدائية المعرفة1 دوار هيشر - خالد إبن الوليد  مكتب 3,1,1,0,2,0,0,110,64,2,0,1,0,1,1,2,0,3,1,0,1,0,0,1,119,1,10,22,343
Manouba,DouarHicher,05050204604,م إبتدائية المعرفة1 دوار هيشر - خالد إبن الوليد  مكتب 4,1,0,1,3,0,0,99,50,0,0,1,0,1,0,1,1,0,1,0,1,3,0,3,121,1,10,17,315
Manouba,DouarHicher,05050204605,م إبتدائية المعرفة1 دوار هيشر - خالد إبن الوليد  مكتب 5,0,0,1,2,0,0,69,47,0,1,2,0,1,0,0,5,0,0,0,0,1,0,1,103,1,14,23,271
Manouba,DouarHicher,05050204606,م إبتدائية المعرفة1 دوار هيشر - خالد إبن الوليد  مكتب 6,0,0,0,0,0,0,68,80,1,1,1,0,2,0,0,1,0,0,1,0,1,0,2,84,0,12,16,270
Manouba,DouarHicher,05050204701,م إبتدائية التقدم 1 دوار هيشر - خالد إبن الوليد  مكتب 1,5,1,0,3,1,2,176,34,0,2,1,1,4,3,2,2,1,0,1,0,4,0,3,97,4,11,15,373
Manouba,DouarHicher,05050204702,م إبتدائية التقدم 1 دوار هيشر - خالد إبن الوليد  مكتب 2,1,0,2,5,0,2,155,46,0,1,4,0,4,0,1,2,3,1,0,1,3,1,4,131,1,13,17,398
Manouba,DouarHicher,05050204703,م إبتدائية التقدم 1 دوار هيشر - خالد إبن الوليد  مكتب 3,3,1,0,3,1,0,133,47,1,1,0,0,7,1,3,1,2,0,0,1,5,0,2,128,3,12,15,370
Manouba,DouarHicher,05050204704,م إبتدائية التقدم 1 دوار هيشر - خالد إبن الوليد  مكتب 4,1,0,2,2,0,2,113,56,1,1,2,1,2,1,0,1,0,1,0,0,4,0,1,154,3,12,31,391
Manouba,DouarHicher,05050204705,م إبتدائية التقدم 1 دوار هيشر - خالد إبن الوليد  مكتب 5,0,1,2,2,0,0,102,48,0,1,3,0,3,0,0,1,0,0,0,0,1,0,1,143,1,13,22,344
Manouba,DouarHicher,05050204706,م إبتدائية التقدم 1 دوار هيشر - خالد إبن الوليد  مكتب 6,0,0,0,2,0,0,72,50,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,102,0,9,30,271
Manouba,DouarHicher,05050204707,م إبتدائية التقدم 1 دوار هيشر - خالد إبن الوليد  مكتب 7,0,0,2,2,0,0,62,82,0,0,0,0,3,0,0,0,1,0,0,0,1,0,2,88,0,1,23,267
