circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Manouba,Elbtan,05010100101,م إبتدائية  2مارس البطان   مكتب 1,1,1,0,6,2,1,249,22,0,1,1,2,6,0,1,2,0,1,0,1,3,0,1,78,1,5,21,406
Manouba,Elbtan,05010100102,م إبتدائية  2مارس البطان   مكتب 2,3,0,0,0,2,0,200,32,1,2,3,1,1,2,0,3,1,2,2,0,1,0,2,108,0,12,35,413
Manouba,Elbtan,05010100103,م إبتدائية  2مارس البطان   مكتب 3,1,0,1,5,0,1,171,41,0,0,6,0,3,1,0,1,0,0,0,0,4,0,0,129,0,11,23,398
Manouba,Elbtan,05010100104,م إبتدائية  2مارس البطان   مكتب 4,0,0,1,1,0,0,120,58,0,1,0,0,0,0,0,1,1,1,0,1,1,0,3,70,0,4,30,293
Manouba,Elbtan,05010100201,م إبتدائية الهدى البطان  مكتب 1,1,1,0,4,0,1,207,19,1,0,0,0,6,1,1,5,1,0,1,2,6,0,2,70,0,7,21,357
Manouba,Elbtan,05010100202,م إبتدائية الهدى البطان  مكتب 2,1,1,1,2,1,0,161,36,1,1,0,0,7,1,0,2,0,1,1,0,5,1,3,105,0,4,34,369
Manouba,Elbtan,05010100203,م إبتدائية الهدى البطان  مكتب 3,1,0,1,5,0,0,120,38,0,2,3,0,2,0,0,0,1,0,0,0,1,0,1,81,0,6,28,290
Manouba,Elbtan,05010100301,م إبتدائية الزويتينة البطان   مكتب 1,2,0,1,2,0,0,191,25,0,1,4,1,3,1,2,3,0,3,1,2,4,0,1,51,0,13,10,321
Manouba,Elbtan,05010200401,م إبتدائية برج التومي البطان - برج التومي  مكتب 1,3,1,4,1,1,1,135,26,3,2,6,1,6,0,1,0,1,0,1,0,6,1,1,72,0,20,11,304
Manouba,Elbtan,05010200402,م إبتدائية برج التومي البطان - برج التومي  مكتب 2,2,0,1,2,0,2,123,29,0,1,8,0,1,0,0,0,0,1,0,1,1,0,0,91,1,15,9,288
Manouba,Elbtan,05010200403,م إبتدائية برج التومي البطان - برج التومي  مكتب 3,0,1,0,2,0,0,65,34,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,91,0,15,13,233
Manouba,Elbtan,05010300501,م إبتدائية المحفورة البطان - المهرين  مكتب 1,1,0,2,5,0,1,112,30,0,1,2,0,3,0,1,1,3,0,0,0,11,0,0,34,1,7,6,221
Manouba,Elbtan,05010300601,م إبتدائية المهرين البطان  مكتب 1,3,0,0,1,0,0,153,36,0,1,4,2,4,3,3,1,0,2,1,2,1,0,1,46,0,10,7,281
Manouba,Elbtan,05010400701,م إبتدائية العروسية البطان  مكتب 1,0,0,0,0,0,1,128,11,0,0,3,0,3,0,1,3,2,1,0,0,6,0,0,42,2,10,16,229
Manouba,Elbtan,05010400702,م إبتدائية العروسية البطان  مكتب 2,0,0,2,2,0,1,85,15,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,49,1,0,7,168
Manouba,Elbtan,05010400801,م إبتدائية طنقار البطان - العروسية  مكتب 1,0,0,4,6,2,0,85,40,1,0,3,0,0,0,1,0,0,1,0,0,1,1,0,76,0,10,16,247
