#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
05020100901,م إبتدائية الجديدة القديمة   مكتب 1,2,1,0,6,0,2,126,49,0,3,4,0,8,1,2,4,0,0,0,1,5,1,1,110,1,8,14,349.0
05020100902,م إبتدائية الجديدة القديمة   مكتب 2,0,0,0,4,0,1,91,44,0,0,4,0,4,0,0,2,1,1,0,0,1,1,1,139,1,15,12,322.0
05020100903,م إبتدائية الجديدة القديمة   مكتب 3,2,0,1,2,0,0,63,63,0,3,5,0,1,0,0,1,0,0,0,0,2,0,0,95,0,9,14,261.0
05020101001,م إبتدائية حي الاذاعة الجديدة - الجديدة القديمة  مكتب 1,1,1,3,1,1,0,61,19,0,1,3,0,1,1,1,2,0,0,1,1,0,0,4,82,0,2,11,197.0
05020101002,م إبتدائية حي الاذاعة الجديدة - الجديدة القديمة  مكتب 2,0,0,1,3,0,0,50,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,1,9,168.0
05020101101,م إبتدائية حي النجاة الجديدة - الجديدة القديمة  مكتب 1,0,1,1,4,3,2,174,62,1,2,1,0,8,1,2,3,1,1,1,1,8,1,3,102,0,8,15,406.0
05020101102,م إبتدائية حي النجاة الجديدة - الجديدة القديمة  مكتب 2,0,2,3,2,0,0,118,56,1,2,2,0,2,1,0,2,3,1,0,0,4,2,1,114,1,8,17,342.0
05020101103,م إبتدائية حي النجاة الجديدة - الجديدة القديمة  مكتب 3,0,1,0,6,0,0,118,56,0,0,3,0,7,1,2,4,1,2,2,0,7,0,2,94,0,14,17,337.0
05020101104,م إبتدائية حي النجاة الجديدة - الجديدة القديمة  مكتب 4,1,1,1,3,0,0,113,60,0,0,1,1,2,0,1,1,1,1,0,3,2,0,6,135,0,11,20,364.0
05020101105,م إبتدائية حي النجاة الجديدة - الجديدة القديمة  مكتب 5,0,0,1,1,0,0,97,69,0,0,2,0,3,1,0,1,0,1,0,0,0,0,0,120,0,7,10,313.0
05020101106,م إبتدائية حي النجاة الجديدة - الجديدة القديمة  مكتب 6,2,0,1,3,0,0,76,62,0,0,1,0,3,0,1,1,0,0,0,0,0,0,1,94,1,8,11,265.0
05020101107,م إبتدائية حي النجاة الجديدة - الجديدة القديمة  مكتب 7,0,0,0,2,0,1,73,90,0,0,4,0,1,0,0,1,0,0,0,0,0,0,1,96,1,3,22,295.0
05020101201,م إبتدائية الفوز الجديدة - الجديدة القديمة  مكتب 1,0,1,2,1,2,2,121,47,1,0,4,1,4,0,2,6,0,2,1,2,1,0,0,108,2,12,8,330.0
05020101202,م إبتدائية الفوز الجديدة - الجديدة القديمة  مكتب 2,1,0,0,1,1,3,93,41,0,1,1,0,7,0,1,0,0,0,1,2,4,0,0,113,0,12,7,289.0
05020101203,م إبتدائية الفوز الجديدة - الجديدة القديمة  مكتب 3,1,0,2,0,0,1,67,60,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,85,0,6,15,242.0
05020201301,م إبتدائية الجديدة الحديثة - حشاد  مكتب 1,0,3,1,1,2,3,213,38,2,0,3,0,2,2,0,2,2,1,0,2,7,0,4,131,0,12,15,446.0
05020201302,م إبتدائية الجديدة الحديثة - حشاد  مكتب 2,1,1,2,2,0,2,167,44,0,3,4,1,3,1,1,2,0,1,1,0,3,0,1,138,1,16,14,409.0
05020201303,م إبتدائية الجديدة الحديثة - حشاد  مكتب 3,0,2,2,3,0,0,166,54,0,0,2,0,2,0,0,2,0,0,0,0,3,0,1,157,0,10,26,430.0
05020201304,م إبتدائية الجديدة الحديثة - حشاد  مكتب 4,1,0,2,1,0,1,148,61,0,1,0,0,2,0,1,4,0,1,1,2,5,0,0,189,0,12,16,448.0
05020201305,م إبتدائية الجديدة الحديثة - حشاد  مكتب 5,0,0,1,1,0,0,118,58,0,0,2,0,2,0,0,0,0,0,1,2,1,0,2,154,0,8,19,369.0
05020201306,م إبتدائية الجديدة الحديثة - حشاد  مكتب 6,1,0,1,0,0,0,117,51,0,0,2,0,3,1,0,0,0,0,0,1,0,0,2,123,1,2,27,332.0
05020201307,م إبتدائية الجديدة الحديثة - حشاد  مكتب 7,0,0,1,1,0,1,104,92,0,0,1,0,3,0,0,1,0,0,0,1,0,0,2,109,1,2,41,360.0
05020201401,م إبتدائية سيدي سالم التباسي - حشاد  مكتب 1,1,0,2,3,0,0,47,14,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,11,1,3,3,89.0
05020201501,م إبتدائية الذنيبة الجديدة - حشاد  مكتب 1,0,0,0,0,1,1,103,22,0,2,0,0,4,1,1,1,1,0,1,1,2,0,0,103,0,14,10,268.0
05020301601,م إبتدائية شواط الجديدة - شواط  مكتب 1,1,3,2,3,1,6,142,33,3,1,4,2,4,1,3,5,0,1,0,0,2,3,2,101,1,16,19,359.0
05020301602,م إبتدائية شواط الجديدة - شواط  مكتب 2,0,0,1,3,1,3,154,28,0,1,4,1,6,2,1,0,1,1,1,0,5,0,2,110,1,13,17,356.0
05020301603,م إبتدائية شواط الجديدة - شواط  مكتب 3,1,0,0,1,0,1,102,41,0,0,3,1,0,1,0,4,0,0,0,1,2,0,3,153,0,18,16,348.0
05020301604,م إبتدائية شواط الجديدة - شواط  مكتب 4,0,0,1,0,0,1,89,47,1,0,3,0,2,0,1,0,0,0,0,0,1,1,0,104,0,12,18,281.0
05020301605,م إبتدائية شواط الجديدة - شواط  مكتب 5,1,0,4,0,0,3,76,57,1,0,4,0,2,0,0,0,0,0,0,0,4,0,3,67,0,9,17,248.0
05020301701,م إبتدائية المعافرين الجديدة - شواط  مكتب 1,3,0,0,3,0,0,49,8,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,73,0,3,1,146.0
05020401801,م إبتدائية المنصورة 1 الجديدة  مكتب 1,0,0,1,9,1,1,195,27,0,0,4,1,3,1,0,0,1,0,0,2,5,0,1,72,0,14,15,353.0
05020401802,م إبتدائية المنصورة 1 الجديدة  مكتب 2,0,0,1,5,0,0,165,36,1,2,1,2,4,0,0,1,0,0,0,0,0,0,0,70,0,6,12,306.0
05020401901,م إبتدائية المنصورة 2 الجديدة  مكتب 1,1,0,0,5,0,1,128,62,0,3,3,0,3,1,0,1,0,0,0,1,5,0,2,39,0,14,15,284.0
05020502001,م إبتدائية الزاهرة الجديدة  مكتب 1,2,0,0,5,1,1,149,27,0,2,3,3,5,0,0,3,1,1,1,0,6,0,1,68,1,14,10,304.0
05020502002,م إبتدائية الزاهرة الجديدة  مكتب 2,0,0,2,6,0,1,123,28,0,3,2,1,2,2,0,0,1,1,0,1,2,0,2,74,0,13,11,275.0
05020502003,م إبتدائية الزاهرة الجديدة  مكتب 3,0,0,1,1,0,2,92,33,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,59,1,15,13,224.0
05020502004,م إبتدائية الزاهرة الجديدة  مكتب 4,0,0,0,1,1,2,80,37,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,51,1,13,15,208.0
