#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
05070106801,م إبتدائية نهج البلدية منوبة   مكتب 1,0,1,0,1,0,2,265,15,1,2,2,0,4,0,0,2,0,0,0,1,5,0,7,102,0,7,28,445
05070106802,م إبتدائية نهج البلدية منوبة   مكتب 2,3,0,3,2,0,0,249,23,1,0,3,1,6,0,0,2,1,0,0,0,1,1,2,91,2,8,28,427
05070106803,م إبتدائية نهج البلدية منوبة   مكتب 3,0,0,6,2,1,1,213,21,0,0,2,1,3,0,0,4,0,0,0,0,4,1,1,128,0,2,55,445
05070106804,م إبتدائية نهج البلدية منوبة   مكتب 4,0,0,4,4,0,0,174,19,0,0,2,1,4,0,0,5,0,0,0,0,2,0,3,152,0,8,59,437
05070106805,م إبتدائية نهج البلدية منوبة   مكتب 5,0,0,6,6,0,1,173,14,0,1,5,0,7,0,0,4,0,0,0,0,1,0,2,166,0,4,46,436
05070106806,م إبتدائية نهج البلدية منوبة   مكتب 6,0,0,6,6,0,0,191,29,0,1,1,0,5,0,0,2,1,0,0,0,1,0,2,114,1,1,47,408
05070106807,م إبتدائية نهج البلدية منوبة   مكتب 7,0,0,6,1,0,0,136,25,0,1,2,0,5,1,0,1,0,0,0,1,3,0,5,119,0,4,53,363
05070106808,م إبتدائية نهج البلدية منوبة   مكتب 8,0,0,7,3,0,2,140,34,0,0,3,0,6,0,0,2,0,0,0,2,0,0,4,94,1,2,76,376
05070106901,م إبتدائية حي البرتقال - منوبة  مكتب 1,2,1,0,1,2,3,186,28,1,1,2,0,7,0,2,2,2,1,0,0,5,0,4,103,0,6,16,375
05070106902,م إبتدائية حي البرتقال - منوبة  مكتب 2,2,0,3,1,2,0,162,27,0,0,3,1,11,0,0,3,1,1,1,1,3,0,4,110,1,4,32,373
05070106903,م إبتدائية حي البرتقال - منوبة  مكتب 3,0,0,2,3,0,2,154,35,0,1,3,0,5,0,0,0,0,0,0,0,0,0,7,138,0,5,39,394
05070106904,م إبتدائية حي البرتقال - منوبة  مكتب 4,0,0,2,4,0,0,107,27,0,0,3,0,3,3,1,0,0,0,0,0,1,0,1,175,0,6,24,357
05070106905,م إبتدائية حي البرتقال - منوبة  مكتب 5,0,0,1,2,0,0,104,35,0,0,0,0,4,0,0,2,0,0,0,0,3,0,5,102,1,6,28,293
05070106906,م إبتدائية حي البرتقال - منوبة  مكتب 6,0,0,2,2,0,0,96,46,1,0,3,0,4,0,0,0,0,0,0,0,1,0,3,99,1,4,63,325
05070107001,م إبتدائية أبو القاسم الشابي - منوبة  مكتب 1,1,1,3,2,0,1,282,28,0,1,3,0,3,0,0,3,0,0,0,0,0,0,6,101,0,6,30,471
05070107002,م إبتدائية أبو القاسم الشابي - منوبة  مكتب 2,1,0,1,3,0,0,259,16,0,0,2,0,2,0,2,0,0,1,0,0,1,0,7,109,0,16,28,448
05070107003,م إبتدائية أبو القاسم الشابي - منوبة  مكتب 3,0,0,3,1,0,0,215,27,0,2,2,0,3,0,0,3,0,0,1,0,0,0,4,148,2,8,43,462
05070107004,م إبتدائية أبو القاسم الشابي - منوبة  مكتب 4,0,0,3,3,0,3,156,22,0,0,1,0,6,0,0,4,0,0,0,0,1,0,5,151,1,9,51,416
05070107005,م إبتدائية أبو القاسم الشابي - منوبة  مكتب 5,0,0,1,7,0,0,135,23,2,0,4,0,5,0,1,0,1,0,0,0,1,0,2,172,0,6,47,407
05070107006,م إبتدائية أبو القاسم الشابي - منوبة  مكتب 6,1,0,5,9,0,2,175,22,0,1,4,0,7,1,0,2,0,1,0,0,2,0,5,103,2,5,55,402
05070107007,م إبتدائية أبو القاسم الشابي - منوبة  مكتب 7,0,0,4,5,0,1,135,22,0,0,2,0,9,0,0,1,1,0,0,1,0,0,5,114,2,2,65,369
05070107008,م إبتدائية أبو القاسم الشابي - منوبة  مكتب 8,0,0,3,4,0,1,137,41,0,0,2,0,5,0,0,2,0,0,0,0,1,0,6,103,6,8,75,394
05070107101,م إبتدائية الإمام سحنون - منوبة  مكتب 1,0,0,4,3,2,0,272,23,0,1,5,0,4,2,0,4,0,0,1,1,2,0,6,95,1,6,43,475
05070107102,م إبتدائية الإمام سحنون - منوبة  مكتب 2,1,0,3,5,0,1,248,32,1,2,1,0,1,0,0,1,0,1,0,2,6,0,5,101,1,3,31,446
05070107103,م إبتدائية الإمام سحنون - منوبة  مكتب 3,0,0,3,1,0,3,198,22,1,0,7,0,8,0,1,1,0,0,1,1,2,0,5,160,0,9,44,467
05070107104,م إبتدائية الإمام سحنون - منوبة  مكتب 4,0,0,2,2,1,2,194,27,0,1,2,0,3,0,0,1,1,0,0,0,2,0,2,142,0,5,34,421
05070107105,م إبتدائية الإمام سحنون - منوبة  مكتب 5,1,0,1,5,0,1,171,32,0,0,1,0,4,3,0,2,0,1,0,0,2,0,5,145,0,3,41,418
05070107106,م إبتدائية الإمام سحنون - منوبة  مكتب 6,0,0,4,5,0,1,174,41,0,1,3,0,6,1,0,2,0,1,0,1,2,0,4,103,0,4,65,418
05070107107,م إبتدائية الإمام سحنون - منوبة  مكتب 7,0,0,2,3,0,1,134,29,2,2,6,0,6,0,0,0,0,0,0,0,0,0,5,94,1,7,70,362
05070107108,م إبتدائية الإمام سحنون - منوبة  مكتب 8,0,0,4,1,0,0,151,48,0,0,3,0,8,1,0,3,0,0,0,1,2,0,8,84,0,0,99,413
05070207201,م إبتدائية الأخوة منوبة - سيدي عمر  مكتب 1,1,0,2,2,1,0,221,27,0,0,1,0,4,0,0,7,0,0,1,1,5,0,4,147,1,9,17,451
05070207202,م إبتدائية الأخوة منوبة - سيدي عمر  مكتب 2,1,0,4,4,1,0,209,23,0,1,4,1,6,2,1,1,0,1,0,1,4,1,2,144,0,4,27,442
05070207203,م إبتدائية الأخوة منوبة - سيدي عمر  مكتب 3,0,0,0,3,0,1,161,34,0,0,6,0,8,0,0,0,0,0,0,1,1,0,7,150,0,10,43,425
05070207204,م إبتدائية الأخوة منوبة - سيدي عمر  مكتب 4,0,0,1,1,0,0,108,47,0,0,3,1,8,1,0,1,0,0,0,0,1,0,3,170,0,6,35,386
05070207205,م إبتدائية الأخوة منوبة - سيدي عمر  مكتب 5,0,0,2,7,0,0,164,28,0,2,3,0,4,0,0,3,0,0,1,1,2,0,3,183,1,7,25,436
05070207206,م إبتدائية الأخوة منوبة - سيدي عمر  مكتب 6,0,0,2,4,0,0,158,35,0,0,6,0,3,0,0,1,0,2,1,2,3,0,3,129,0,2,47,398
05070207207,م إبتدائية الأخوة منوبة - سيدي عمر  مكتب 7,0,0,2,5,0,0,131,44,0,0,5,0,5,1,0,4,0,0,0,2,2,0,2,145,2,0,40,390
05070207301,م إبتدائية حشاد حي بوستيل منوبة - سيدي عمر  مكتب 1,2,0,0,2,0,1,156,31,0,1,1,1,5,2,1,1,1,2,0,0,8,0,0,69,0,11,24,319
05070207302,م إبتدائية حشاد حي بوستيل منوبة - سيدي عمر  مكتب 2,3,0,3,0,0,0,104,40,1,0,3,0,2,0,0,0,0,0,0,0,0,0,1,77,0,7,25,266
05070307401,م إبتدائية العفة الدندان  مكتب 1,1,0,2,2,0,1,236,24,0,1,1,0,7,1,0,0,1,1,0,0,2,0,3,108,1,12,24,428
05070307402,م إبتدائية العفة الدندان  مكتب 2,0,0,0,5,0,2,200,20,0,0,5,0,3,2,1,1,0,0,1,0,1,0,4,123,0,9,22,399
05070307403,م إبتدائية العفة الدندان  مكتب 3,0,0,1,4,0,0,173,23,0,2,1,0,2,0,0,3,0,0,0,0,1,0,3,157,1,6,37,414
05070307404,م إبتدائية العفة الدندان  مكتب 4,0,0,0,3,0,2,152,24,1,0,1,0,2,2,0,0,0,0,0,0,2,0,6,156,1,5,37,394
05070307405,م إبتدائية العفة الدندان  مكتب 5,0,0,1,4,0,0,153,19,0,1,4,0,7,0,1,2,0,0,0,0,1,0,3,164,0,11,33,404
05070307406,م إبتدائية العفة الدندان  مكتب 6,0,0,1,6,0,0,152,28,1,0,2,0,5,0,0,0,0,1,0,0,2,0,2,156,0,5,32,393
05070307407,م إبتدائية العفة الدندان  مكتب 7,0,0,1,3,0,1,141,23,0,1,6,0,6,0,1,1,0,0,0,0,1,0,1,115,1,5,48,355
05070307408,م إبتدائية العفة الدندان  مكتب 8,0,0,2,1,0,0,138,45,0,1,3,0,1,0,0,1,0,0,0,1,0,0,3,107,0,2,69,374
05070307501,م إبتدائية خزندار الدندان   مكتب 1,1,1,1,3,0,1,265,11,0,0,3,0,7,1,0,3,1,0,1,1,4,0,6,111,1,6,32,460
05070307502,م إبتدائية خزندار الدندان   مكتب 2,0,0,3,2,0,0,188,24,0,0,2,0,3,1,0,3,0,0,0,3,1,0,5,165,0,12,34,446
05070307503,م إبتدائية خزندار الدندان   مكتب 3,0,0,6,0,0,1,173,19,0,0,6,0,7,0,0,0,0,0,2,0,4,0,3,152,0,13,35,421
05070307504,م إبتدائية خزندار الدندان   مكتب 4,0,0,3,11,0,0,152,27,0,0,9,0,6,1,0,2,0,0,0,1,1,0,1,141,0,10,47,412
05070307505,م إبتدائية خزندار الدندان   مكتب 5,0,0,6,7,3,0,117,26,0,1,8,0,6,0,1,1,1,0,0,1,1,0,4,128,1,7,47,366
05070307506,م إبتدائية خزندار الدندان   مكتب 6,0,0,5,4,0,0,112,28,0,0,3,0,3,1,0,3,0,0,0,0,0,0,4,107,1,5,68,344
05070307601,م إبتدائية الطفولة الدندان  مكتب 1,1,0,1,2,2,2,200,20,1,0,1,0,3,1,0,1,0,0,2,0,1,2,3,118,0,9,17,387
05070307602,م إبتدائية الطفولة الدندان  مكتب 2,0,0,2,5,0,0,181,17,1,1,2,0,3,0,0,1,0,0,1,0,4,0,4,114,0,1,40,377
05070307603,م إبتدائية الطفولة الدندان  مكتب 3,1,0,1,1,0,0,142,23,1,0,0,0,5,0,0,0,0,0,0,0,2,0,2,137,0,5,36,356
05070307604,م إبتدائية الطفولة الدندان  مكتب 4,0,0,1,3,0,1,143,21,0,0,2,0,6,0,0,1,0,0,0,0,0,0,1,123,0,1,34,337
05070307605,م إبتدائية الطفولة الدندان  مكتب 5,0,0,0,0,0,0,110,37,0,0,1,0,3,0,0,1,0,0,0,1,0,0,3,115,0,2,55,328
05070407701,م إبتدائية حسان الدندان - قصر السعيد  مكتب 1,1,1,4,0,3,3,165,15,0,0,1,0,0,0,1,2,0,1,0,0,5,0,7,131,1,10,21,372
05070407702,م إبتدائية حسان الدندان - قصر السعيد  مكتب 2,0,1,1,2,0,0,143,24,0,0,3,0,4,0,0,1,0,0,0,0,0,0,4,131,1,10,43,368
05070407703,م إبتدائية حسان الدندان - قصر السعيد  مكتب 3,0,0,2,2,0,1,112,34,0,0,4,0,1,0,0,1,0,0,0,0,1,0,2,107,3,8,46,324
05070407801,م إبتدائية الأمل منوبة الوسطى - قصر السعيد  مكتب 1,0,0,2,3,0,0,244,19,0,1,0,0,3,0,0,3,0,1,0,0,3,0,5,113,0,6,32,435
05070407802,م إبتدائية الأمل منوبة الوسطى - قصر السعيد  مكتب 2,0,0,3,0,0,1,219,23,0,0,1,0,7,1,1,7,1,0,1,0,2,0,2,126,0,8,26,429
05070407803,م إبتدائية الأمل منوبة الوسطى - قصر السعيد  مكتب 3,0,0,5,3,0,0,184,17,0,0,1,0,4,0,0,1,0,0,0,0,2,0,2,146,1,6,49,421
05070407804,م إبتدائية الأمل منوبة الوسطى - قصر السعيد  مكتب 4,0,0,6,4,0,1,161,24,0,1,5,0,4,0,0,6,0,0,1,0,1,0,0,152,1,2,35,404
05070407805,م إبتدائية الأمل منوبة الوسطى - قصر السعيد  مكتب 5,0,0,3,9,0,0,132,32,0,0,1,0,3,0,0,1,1,0,0,0,0,1,2,102,0,5,53,345
05070407806,م إبتدائية الأمل منوبة الوسطى - قصر السعيد  مكتب 6,1,0,8,1,0,1,146,40,0,1,2,0,5,0,0,4,0,0,0,0,1,0,1,92,0,1,67,371
05070507901,م إبتدائية 3أوت الدندان - دندان الجنوبية  مكتب 1,2,0,3,3,1,2,193,26,0,1,4,0,6,3,0,3,0,2,0,0,4,1,10,72,3,19,25,383
05070507902,م إبتدائية 3أوت الدندان - دندان الجنوبية  مكتب 2,1,0,3,0,0,1,105,29,1,0,3,2,4,0,0,1,0,0,1,3,2,0,12,112,1,15,35,331
