circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Manouba,Mornaguia,05030102201,م إبتدائية المرناقية 1 - المرناقية  مكتب 1,1,1,1,3,0,2,187,26,0,1,6,0,5,0,0,1,0,0,1,0,3,0,4,185,0,8,13,448
Manouba,Mornaguia,05030102202,م إبتدائية المرناقية 1 - المرناقية  مكتب 2,2,1,1,7,1,4,181,25,0,1,1,2,8,1,0,7,1,2,2,0,6,1,2,157,1,4,21,439
Manouba,Mornaguia,05030102203,م إبتدائية المرناقية 1 - المرناقية  مكتب 3,0,1,1,2,1,1,168,41,1,0,4,0,3,0,1,3,0,0,0,0,2,2,1,169,1,14,30,446
Manouba,Mornaguia,05030102204,م إبتدائية المرناقية 1 - المرناقية  مكتب 4,2,0,4,3,0,1,132,22,1,1,1,0,8,0,0,1,1,0,1,1,0,0,2,194,0,12,45,432
Manouba,Mornaguia,05030102205,م إبتدائية المرناقية 1 - المرناقية  مكتب 5,0,0,3,7,0,0,144,48,0,1,2,0,3,1,0,0,0,0,0,0,2,0,0,207,0,6,19,443
Manouba,Mornaguia,05030102206,م إبتدائية المرناقية 1 - المرناقية  مكتب 6,0,0,1,5,0,0,138,35,0,0,4,0,7,0,0,3,0,0,0,0,4,0,3,171,0,10,23,404
Manouba,Mornaguia,05030102207,م إبتدائية المرناقية 1 - المرناقية  مكتب 7,0,0,2,4,1,1,103,26,0,0,0,0,4,1,0,2,0,0,1,0,3,0,1,167,0,3,39,358
Manouba,Mornaguia,05030102208,م إبتدائية المرناقية 1 - المرناقية  مكتب 8,1,0,4,2,0,0,90,51,0,1,5,0,7,0,0,1,0,0,1,0,3,0,2,181,0,5,41,395
Manouba,Mornaguia,05030102301,م إبتدائية حي السعادة المرناقية   مكتب 1,1,1,2,5,2,2,166,30,0,1,3,1,4,1,0,3,0,1,0,1,3,2,5,125,0,10,30,399
Manouba,Mornaguia,05030102302,م إبتدائية حي السعادة المرناقية   مكتب 2,1,0,1,3,0,2,170,18,0,3,5,1,6,1,0,1,1,2,0,2,7,0,5,124,1,13,18,385
Manouba,Mornaguia,05030102303,م إبتدائية حي السعادة المرناقية   مكتب 3,0,0,0,1,0,0,130,33,0,0,7,1,7,1,0,0,0,0,0,1,3,2,3,136,0,11,31,367
Manouba,Mornaguia,05030102304,م إبتدائية حي السعادة المرناقية   مكتب 4,1,0,1,4,0,0,119,33,0,0,4,0,1,0,0,2,0,0,0,1,1,0,1,123,0,9,28,328
Manouba,Mornaguia,05030102305,م إبتدائية حي السعادة المرناقية   مكتب 5,0,0,1,6,0,2,106,29,0,1,3,0,2,1,0,1,0,0,0,1,2,1,1,113,1,7,31,309
Manouba,Mornaguia,05030102306,م إبتدائية حي السعادة المرناقية   مكتب 6,0,0,4,2,0,0,86,50,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,135,0,5,41,330
Manouba,Mornaguia,05030102401,م إبتدائية  النصر - المرناقية  مكتب 1,0,2,0,0,3,3,104,30,2,0,1,1,0,3,1,3,0,0,0,0,1,1,5,42,0,21,20,243
Manouba,Mornaguia,05030102402,م إبتدائية  النصر - المرناقية  مكتب 2,1,0,3,1,0,1,63,36,0,1,1,0,2,0,0,1,0,0,0,0,0,0,3,50,0,5,16,184
Manouba,Mornaguia,05030202501,م إبتدائية نهج 2 مارس المرناقية - 2 مارس  مكتب 1,1,1,1,0,0,2,188,27,4,2,1,0,8,2,0,1,0,1,1,2,5,0,0,127,0,13,28,415
Manouba,Mornaguia,05030202502,م إبتدائية نهج 2 مارس المرناقية - 2 مارس  مكتب 2,1,1,0,2,1,0,130,42,1,4,3,0,5,2,3,3,2,2,1,1,6,1,2,128,1,14,22,378
Manouba,Mornaguia,05030202503,م إبتدائية نهج 2 مارس المرناقية - 2 مارس  مكتب 3,1,0,0,3,1,0,117,47,0,0,4,0,5,1,0,2,0,0,2,0,1,0,3,153,2,8,14,364
Manouba,Mornaguia,05030202504,م إبتدائية نهج 2 مارس المرناقية - 2 مارس  مكتب 4,0,0,3,0,0,0,88,48,0,0,3,0,4,0,0,1,0,0,0,0,1,0,1,128,0,9,33,319
Manouba,Mornaguia,05030302601,م إبتدائية بورقبة المرناقية - بورقبة  مكتب 1,2,0,0,7,0,3,158,25,1,1,1,2,5,2,2,0,0,2,1,1,9,1,2,38,1,16,12,292
Manouba,Mornaguia,05030302602,م إبتدائية بورقبة المرناقية - بورقبة  مكتب 2,0,0,2,1,2,0,147,38,1,0,2,0,6,0,1,1,1,0,0,0,2,0,1,59,0,17,12,293
Manouba,Mornaguia,05030302603,م إبتدائية بورقبة المرناقية - بورقبة  مكتب 3,2,0,3,1,0,0,94,35,0,2,2,1,0,0,0,1,1,0,0,0,1,1,1,64,0,8,18,235
Manouba,Mornaguia,05030402701,م إبتدائية فجة خماخم - الفجة  مكتب 1,2,1,1,3,1,0,122,32,2,1,3,2,2,0,1,1,1,0,0,0,10,0,0,105,0,19,16,325
Manouba,Mornaguia,05030402702,م إبتدائية فجة خماخم - الفجة  مكتب 2,1,2,1,4,0,1,88,37,0,0,1,0,0,0,1,3,0,1,0,0,2,0,1,126,0,18,28,315
Manouba,Mornaguia,05030402703,م إبتدائية فجة خماخم - الفجة  مكتب 3,1,0,0,0,1,0,85,59,1,0,1,0,3,0,0,0,0,0,0,0,1,1,2,117,1,9,18,300
Manouba,Mornaguia,05030502801,م إبتدائية سيدي علي الحطاب المرناقية   مكتب 1,1,1,0,0,1,1,126,35,0,4,6,0,3,0,2,1,2,1,1,0,0,1,1,84,2,11,16,300
Manouba,Mornaguia,05030502802,م إبتدائية سيدي علي الحطاب المرناقية   مكتب 2,1,0,0,2,2,0,102,36,0,2,3,0,3,0,0,0,0,3,0,1,0,0,1,120,0,10,6,292
Manouba,Mornaguia,05030502803,م إبتدائية سيدي علي الحطاب المرناقية   مكتب 3,0,0,1,0,1,0,84,51,0,0,2,0,2,1,0,1,0,2,0,0,3,1,0,61,0,4,31,245
Manouba,Mornaguia,05030602901,م إبتدائية حميم المرناقية - حميم  مكتب 1,0,0,0,4,3,0,129,16,3,1,3,3,3,1,1,2,2,1,0,1,3,1,3,59,0,12,14,265
Manouba,Mornaguia,05030602902,م إبتدائية حميم المرناقية - حميم  مكتب 2,1,0,1,2,1,0,111,24,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,78,0,9,17,249
Manouba,Mornaguia,05030602903,م إبتدائية حميم المرناقية - حميم  مكتب 3,1,0,0,1,0,2,79,22,0,0,4,0,0,0,0,1,0,0,0,1,2,0,0,73,0,3,15,204
Manouba,Mornaguia,05030603001,م إبتدائية الغضاونية المرناقية - حميم  مكتب 1,1,1,0,0,1,0,119,24,1,1,1,0,2,0,0,1,0,2,0,0,1,0,2,36,1,18,12,224
Manouba,Mornaguia,05030703101,م إبتدائية طبلتــش - البساتين  مكتب 1,0,1,1,0,0,1,95,11,0,0,1,1,4,0,0,0,0,0,1,0,2,0,0,136,1,10,16,281
Manouba,Mornaguia,05030703201,م إبتدائية قصر الحديدالمرناقية - البساتين  مكتب 1,1,1,0,0,0,0,157,12,0,1,0,0,3,1,1,2,0,1,0,0,3,0,0,101,2,2,10,298
Manouba,Mornaguia,05030703301,م إبتدائية حي البساتين   مكتب 1,2,1,0,7,3,4,107,19,4,4,1,1,3,2,2,0,1,2,0,0,6,1,1,70,1,18,7,267
Manouba,Mornaguia,05030703302,م إبتدائية حي البساتين   مكتب 2,0,2,0,1,0,0,103,23,0,0,1,0,1,2,0,1,0,0,0,0,7,0,0,91,1,19,16,268
Manouba,Mornaguia,05030703303,م إبتدائية حي البساتين   مكتب 3,0,0,1,5,0,0,62,39,0,1,3,0,6,1,0,2,0,0,0,0,2,0,1,67,0,12,10,212
