#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
05080108001,م إبتدائية الهدى وادي الليل   مكتب 1,0,0,1,9,0,0,235,27,1,1,2,1,3,3,0,4,0,0,0,0,2,0,3,113,0,8,22,435.0
05080108002,م إبتدائية الهدى وادي الليل   مكتب 2,1,0,1,2,1,0,163,26,0,0,4,0,4,0,0,1,2,0,1,1,2,0,4,169,0,6,39,427.0
05080108003,م إبتدائية الهدى وادي الليل   مكتب 3,1,0,3,8,0,1,178,38,0,0,3,0,1,0,0,2,0,0,0,0,2,0,3,131,0,7,28,406.0
05080108004,م إبتدائية الهدى وادي الليل   مكتب 4,0,0,0,1,0,0,136,45,0,1,8,0,5,0,0,2,0,0,0,0,1,0,2,111,1,4,43,360.0
05080108101,م إبتدائية الرشاد وادي الليل   مكتب 1,1,1,2,1,1,0,192,17,0,3,2,1,2,0,3,5,0,0,0,0,2,1,2,110,0,7,17,370.0
05080108102,م إبتدائية الرشاد وادي الليل   مكتب 2,0,1,4,3,0,1,130,24,0,0,3,0,3,0,0,5,0,2,1,0,5,1,0,119,1,9,38,350.0
05080108103,م إبتدائية الرشاد وادي الليل   مكتب 3,1,0,3,1,0,0,108,42,0,0,5,0,2,0,0,0,0,0,1,0,1,0,1,130,2,13,21,331.0
05080108104,م إبتدائية الرشاد وادي الليل   مكتب 4,1,0,2,3,0,0,94,51,0,0,2,0,3,0,0,0,0,3,0,0,1,0,1,94,0,6,44,305.0
05080208201,م إبتدائية السعيدة1 وادي الليل - السعيدة  مكتب 1,0,1,0,3,1,1,125,23,2,1,2,0,5,0,2,1,3,0,0,1,6,0,1,153,2,9,13,355.0
05080208202,م إبتدائية السعيدة1 وادي الليل - السعيدة  مكتب 2,0,0,2,3,0,1,111,24,0,1,0,0,0,1,0,0,0,0,0,0,3,0,3,175,0,11,17,352.0
05080208203,م إبتدائية السعيدة1 وادي الليل - السعيدة  مكتب 3,1,0,1,1,0,0,68,40,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,133,0,5,11,266.0
05080208301,م إبتدائية حي النسيم السعيدة وادي الليل - السعيدة  مكتب 1,1,1,1,4,1,2,104,32,3,0,4,0,7,0,1,1,1,1,1,0,6,0,0,70,1,28,4,274.0
05080208302,م إبتدائية حي النسيم السعيدة وادي الليل - السعيدة  مكتب 2,0,0,2,3,0,1,71,50,0,0,3,0,0,1,0,2,1,0,0,1,2,1,0,74,0,20,13,245.0
05080208401,م إبتدائية السعيدة2 وادي الليل - السعيدة  مكتب 1,1,0,1,4,0,0,99,25,1,0,5,1,3,0,1,0,0,0,0,0,2,0,4,182,0,11,24,364.0
05080308501,م إبتدائية الرياض زوناف  مكتب 1,5,1,2,2,1,2,120,34,0,2,2,0,4,1,1,2,1,0,0,2,7,0,1,121,2,11,13,337.0
05080308502,م إبتدائية الرياض زوناف  مكتب 2,0,0,0,3,0,0,98,47,1,0,1,0,0,1,0,0,0,0,0,1,2,0,1,129,0,9,15,308.0
05080308503,م إبتدائية الرياض زوناف  مكتب 3,0,0,0,0,0,0,68,54,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,109,0,9,16,260.0
05080408601,م إبتدائية الازدهار عن وادي الليل - الورد  مكتب 1,1,1,0,2,1,0,173,42,2,1,3,1,5,0,3,2,0,0,2,1,1,1,2,68,2,16,13,343.0
05080408602,م إبتدائية الازدهار عن وادي الليل - الورد  مكتب 2,1,0,0,2,0,0,127,55,2,1,0,1,3,1,0,3,0,0,0,0,1,0,0,101,0,22,25,345.0
05080408603,م إبتدائية الازدهار عن وادي الليل - الورد  مكتب 3,0,0,3,1,0,0,110,58,0,0,3,0,3,0,0,2,0,0,0,0,1,0,1,92,0,5,29,308.0
05080408701,م إبتدائية حي الورد 1 وادي الليل  مكتب 1,0,0,3,3,1,1,180,41,0,1,3,0,2,2,0,0,1,1,0,0,3,0,6,147,0,27,38,460.0
05080408702,م إبتدائية حي الورد 1 وادي الليل  مكتب 2,1,0,1,5,0,0,139,41,0,1,6,0,5,0,0,3,1,0,1,0,2,0,5,179,0,16,40,446.0
05080408703,م إبتدائية حي الورد 1 وادي الليل  مكتب 3,0,0,2,3,0,0,106,43,0,1,0,0,3,0,0,2,0,0,1,0,0,0,5,140,0,5,56,367.0
05080408801,م إبتدائية حي الورد 2 وادي الليل  مكتب 1,0,2,3,3,0,0,120,38,1,3,3,0,4,0,0,1,1,1,1,0,3,2,5,120,2,10,23,346.0
05080408802,م إبتدائية حي الورد 2 وادي الليل  مكتب 2,2,0,3,0,0,0,107,43,0,2,3,1,4,0,0,0,0,0,0,0,3,0,0,119,0,10,28,325.0
05080508901,م إبتدائية شباو وادي الليل - النجاة  مكتب 1,1,0,1,1,0,1,149,33,1,1,5,1,5,1,0,2,0,1,0,1,0,0,2,136,1,20,25,388.0
05080508902,م إبتدائية شباو وادي الليل - النجاة  مكتب 2,1,0,0,5,4,1,133,25,0,3,3,0,8,2,4,1,0,3,0,0,4,0,1,144,2,16,26,386.0
05080508903,م إبتدائية شباو وادي الليل - النجاة  مكتب 3,2,0,0,5,1,1,133,20,0,0,4,0,7,1,0,0,1,0,1,0,0,0,3,159,1,12,28,379.0
05080508904,م إبتدائية شباو وادي الليل - النجاة  مكتب 4,1,0,1,1,0,0,124,27,0,0,2,0,3,0,1,1,0,0,0,1,3,0,4,163,0,15,23,370.0
