#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
05060105301,م إبتدائية نهج ثامر طبربة - طبربة المدينة  مكتب 1,1,1,3,1,1,0,204,20,0,0,2,0,3,0,1,1,1,1,0,1,3,0,2,134,1,9,19,409.0
05060105302,م إبتدائية نهج ثامر طبربة - طبربة المدينة  مكتب 2,0,0,0,3,0,1,161,29,0,1,4,0,4,0,0,4,0,0,0,0,5,0,1,143,0,9,27,392.0
05060105303,م إبتدائية نهج ثامر طبربة - طبربة المدينة  مكتب 3,0,0,1,3,0,1,155,42,0,0,2,0,2,0,1,0,0,0,0,0,2,0,0,141,0,9,26,385.0
05060105304,م إبتدائية نهج ثامر طبربة - طبربة المدينة  مكتب 4,0,0,2,7,1,2,118,39,0,0,7,0,4,0,0,0,0,0,0,0,1,0,1,121,1,2,30,336.0
05060105401,م إبتدائية الشابي طبربة - طبربة المدينة  مكتب 1,0,1,1,3,0,1,159,33,0,0,2,1,11,0,0,1,0,1,0,0,7,0,0,136,0,11,31,399.0
05060105402,م إبتدائية الشابي طبربة - طبربة المدينة  مكتب 2,1,0,2,2,0,2,112,46,0,0,4,0,2,1,0,0,0,0,0,0,2,0,0,128,0,8,36,346.0
05060105501,م إبتدائية ابن خلدون طبربة - طبربة المدينة  مكتب 1,2,0,1,3,1,2,170,18,0,2,4,2,7,2,2,1,0,1,1,0,7,0,1,108,1,6,23,365.0
05060105502,م إبتدائية ابن خلدون طبربة - طبربة المدينة  مكتب 2,0,0,1,3,1,1,171,37,1,0,1,0,5,0,0,2,1,2,2,0,3,0,1,131,0,6,12,381.0
05060105503,م إبتدائية ابن خلدون طبربة - طبربة المدينة  مكتب 3,0,0,2,1,0,0,116,34,0,0,1,0,8,0,0,1,0,0,0,1,5,0,2,144,1,4,24,344.0
05060105504,م إبتدائية ابن خلدون طبربة - طبربة المدينة  مكتب 4,1,0,1,3,1,0,103,44,0,1,2,1,2,0,0,1,0,0,0,0,1,0,0,121,0,7,38,327.0
05060205601,م إبتدائية الهوارية طبربة - الأنصرين  مكتب 1,0,0,0,1,0,0,31,3,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,11,2,2,7,61.0
05060205701,م إبتدائية عين الكرمة طبربة - الأنصرين  مكتب 1,0,0,0,0,2,0,118,8,1,1,1,0,3,1,0,2,0,1,0,0,3,0,0,13,0,2,2,158.0
05060305801,م إبتدائية الدخيلة طبربة  مكتب 1,1,1,1,4,2,3,210,23,1,1,4,0,5,4,3,2,1,1,0,0,7,0,0,74,3,6,21,378.0
05060305802,م إبتدائية الدخيلة طبربة  مكتب 2,0,0,0,2,0,3,170,27,0,1,2,0,3,0,0,0,1,1,0,0,6,0,1,139,0,6,25,387.0
05060305803,م إبتدائية الدخيلة طبربة  مكتب 3,0,0,1,1,0,0,113,54,0,1,2,0,2,0,1,2,0,1,1,0,2,0,0,91,0,9,20,301.0
05060405901,م إبتدائية الملاّحة طبربة - الملاحة  مكتب 1,2,1,3,3,1,3,113,19,0,2,4,0,7,2,1,3,3,0,2,0,9,0,2,47,1,10,5,243.0
05060506001,م إبتدائية  2مارس طبربة - طبربة الاحواز  مكتب 1,3,1,0,4,3,2,154,47,3,0,5,1,6,1,0,2,0,1,1,1,10,0,1,82,0,8,12,348.0
05060506002,م إبتدائية  2مارس طبربة - طبربة الاحواز  مكتب 2,0,0,3,4,1,5,125,37,3,0,5,1,5,2,3,4,0,3,1,1,6,0,0,60,4,12,15,300.0
05060506003,م إبتدائية  2مارس طبربة - طبربة الاحواز  مكتب 3,1,1,1,1,0,0,117,49,0,0,1,0,3,0,1,3,0,1,0,1,4,0,0,119,0,18,22,343.0
05060506004,م إبتدائية  2مارس طبربة - طبربة الاحواز  مكتب 4,3,0,3,5,0,0,99,47,1,0,2,0,3,0,0,0,0,1,0,1,1,0,0,76,0,9,18,269.0
05060506005,م إبتدائية  2مارس طبربة - طبربة الاحواز  مكتب 5,1,0,2,1,0,0,67,68,0,1,1,0,0,0,0,2,0,0,0,1,1,0,1,77,0,4,26,253.0
05060506101,م إبتدائية حي الرمال طبربة - طبربة الأحواز  مكتب 1,3,0,6,5,2,2,185,22,1,2,3,0,5,0,2,2,3,2,0,1,8,2,0,80,3,8,14,361.0
05060506102,م إبتدائية حي الرمال طبربة - طبربة الأحواز  مكتب 2,1,0,1,2,0,3,149,37,1,0,1,0,3,1,0,1,1,0,0,0,2,2,0,98,0,9,13,325.0
05060506103,م إبتدائية حي الرمال طبربة - طبربة الأحواز  مكتب 3,0,0,3,2,0,0,114,46,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,90,0,2,17,280.0
05060506201,م إبتدائية  14 جانفي طبربة - طبربة الاحواز  مكتب 1,0,3,3,6,1,1,181,54,2,0,6,2,9,3,5,3,1,0,0,0,7,0,0,52,0,11,14,364.0
05060506202,م إبتدائية  14 جانفي طبربة - طبربة الاحواز  مكتب 2,0,0,2,0,0,0,127,84,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,45,1,14,13,292.0
05060606301,م إبتدائية الحي الجديد 1 طبربة - الرجاء  مكتب 1,0,0,0,2,0,1,153,34,0,2,3,0,4,0,0,1,0,1,1,1,6,1,0,79,2,5,17,313.0
05060606302,م إبتدائية الحي الجديد 1 طبربة - الرجاء  مكتب 2,0,0,1,0,0,0,137,37,0,1,3,0,3,0,0,0,1,1,0,1,1,0,0,108,1,4,24,323.0
05060606303,م إبتدائية الحي الجديد 1 طبربة - الرجاء  مكتب 3,0,1,0,0,0,2,87,36,0,1,4,0,3,0,0,0,0,0,1,0,0,0,2,88,0,4,28,257.0
05060606401,م إبتدائية قمريان طبربة - الرجاء  مكتب 1,0,2,1,4,0,2,137,18,1,0,0,1,9,3,0,0,1,1,2,1,3,0,1,22,0,10,8,227.0
05060606402,م إبتدائية قمريان طبربة - الرجاء  مكتب 2,2,0,0,2,0,0,93,27,0,2,3,0,2,0,0,0,0,1,0,1,1,0,1,40,1,6,8,190.0
05060606501,م إبتدائية خيرالدين التونسي طبربة - الرجاء  مكتب 1,0,3,3,3,1,1,175,32,0,0,1,1,4,3,0,3,1,0,0,0,5,1,1,143,0,5,27,413.0
05060606502,م إبتدائية خيرالدين التونسي طبربة - الرجاء  مكتب 2,1,0,3,0,0,1,115,36,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,121,0,10,32,326.0
05060606601,م إبتدائية بئر الزيتون طبربة - الرجاء  مكتب 1,1,0,2,2,0,1,138,23,1,1,3,1,5,3,2,3,0,1,1,1,6,1,1,78,2,9,13,299.0
05060606602,م إبتدائية بئر الزيتون طبربة - الرجاء  مكتب 2,1,3,0,3,1,0,125,41,1,3,2,1,1,0,0,3,1,2,0,1,2,0,1,98,0,8,15,313.0
05060606603,م إبتدائية بئر الزيتون طبربة - الرجاء  مكتب 3,0,0,0,0,0,0,100,43,0,1,4,1,3,0,1,1,0,0,0,0,0,0,1,98,0,7,9,269.0
05060606604,م إبتدائية بئر الزيتون طبربة - الرجاء  مكتب 4,0,0,4,1,0,0,78,56,1,0,2,0,0,1,1,0,0,0,0,1,1,0,1,86,0,3,15,251.0
