#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
26010100101,م إبتدائية نهج المهيري بنقردان - بن قردان الشمالية  مكتب 1,1,2,1,1,2,4,108,20,0,0,8,0,2,1,0,0,4,0,1,0,1,1,0,246,1,13,15,432
26010100102,م إبتدائية نهج المهيري بنقردان - بن قردان الشمالية  مكتب 2,1,0,1,4,1,0,69,25,0,0,9,0,3,0,1,3,2,1,0,0,1,0,2,241,0,5,24,393
26010100103,م إبتدائية نهج المهيري بنقردان - بن قردان الشمالية  مكتب 3,0,0,0,0,0,0,47,39,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,176,0,6,15,289
26010100201,م إبتدائية شارع المنجي سليم - بن قردان الشمالية  مكتب 1,0,0,0,2,2,2,70,19,0,0,1,0,3,0,0,2,1,0,1,0,4,0,4,161,1,4,10,287
26010100202,م إبتدائية شارع المنجي سليم - بن قردان الشمالية  مكتب 2,0,0,0,0,0,0,42,30,0,1,5,0,2,0,0,1,0,1,0,0,0,0,2,180,0,4,10,278
26010100203,م إبتدائية شارع المنجي سليم - بن قردان الشمالية  مكتب 3,0,0,0,0,0,0,21,18,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,131,0,3,5,181
26010100301,م إبتدائية  العهد الجديد - بن قردان الشمالية  مكتب 1,0,0,0,0,0,1,9,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,1,62
26010200401,م إبتدائية طريق المستشفى - بن قردان الجنوبية  مكتب 1,1,0,0,2,2,0,96,17,0,0,1,0,2,0,4,5,1,1,0,0,5,0,3,198,0,11,9,358
26010200402,م إبتدائية طريق المستشفى - بن قردان الجنوبية  مكتب 2,0,1,3,1,2,1,81,14,0,1,2,1,2,0,0,3,0,0,0,0,0,0,1,186,0,8,16,323
26010200403,م إبتدائية طريق المستشفى - بن قردان الجنوبية  مكتب 3,0,0,1,1,0,0,56,26,0,0,2,0,3,1,0,1,0,0,0,0,0,0,1,239,0,3,12,346
26010200404,م إبتدائية طريق المستشفى - بن قردان الجنوبية  مكتب 4,0,0,0,0,0,0,33,21,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,201,0,1,11,273
26010200405,م إبتدائية طريق المستشفى - بن قردان الجنوبية  مكتب 5,0,0,0,0,0,2,29,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,138,0,2,7,205
26010200501,م إبتدائية ابن الهيثم بنقردان - بن قردان الجنوبية  مكتب 1,0,0,0,3,0,0,33,13,0,1,3,0,2,0,1,0,3,0,0,0,1,0,0,143,1,10,2,216
26010200502,م إبتدائية ابن الهيثم بنقردان - بن قردان الجنوبية  مكتب 2,0,0,0,0,0,0,8,10,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,110,0,3,3,137
