circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Medenine,BniKhdech,26020103901,م إبتدائية 2مارس34بني خداش  مكتب 1,0,0,0,8,3,0,46,9,1,0,0,0,3,1,3,0,4,2,3,0,1,3,0,203,0,15,4,309
Medenine,BniKhdech,26020103902,م إبتدائية 2مارس34بني خداش  مكتب 2,0,0,0,1,0,1,25,19,0,0,2,0,2,0,0,0,0,0,0,0,1,1,2,234,0,12,5,305
Medenine,BniKhdech,26020103903,م إبتدائية 2مارس34بني خداش  مكتب 3,0,0,1,1,0,1,14,12,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,160,0,10,3,208
Medenine,BniKhdech,26020104001,م إبتدائية سيدي منصور - بني خداش  مكتب 1,3,1,1,2,0,2,34,8,1,2,0,0,1,1,1,2,3,0,1,0,4,0,0,196,0,17,1,281
Medenine,BniKhdech,26020104002,م إبتدائية سيدي منصور - بني خداش  مكتب 2,0,0,0,1,0,1,28,11,1,0,2,1,1,1,0,1,1,0,0,0,1,0,0,210,0,16,3,279
Medenine,BniKhdech,26020104003,م إبتدائية سيدي منصور - بني خداش  مكتب 3,0,0,0,0,0,0,11,19,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,169,0,16,2,222
Medenine,BniKhdech,26020104101,م إبتدائية دمر - بني خداش  مكتب 1,0,0,0,0,1,1,18,0,0,0,3,0,2,0,5,0,2,0,0,0,0,0,0,125,0,12,0,169
Medenine,BniKhdech,26020104201,م إبتدائية القصبة - بني خداش  مكتب 1,1,0,1,0,0,0,11,4,0,0,1,0,0,0,1,0,3,0,0,1,1,0,1,68,0,0,1,94
Medenine,BniKhdech,26020204301,م إبتدائية قصر الجوامع - رحالة  مكتب 1,0,0,0,0,0,0,5,1,0,1,0,0,1,1,1,0,0,0,2,1,3,0,0,78,0,10,1,105
Medenine,BniKhdech,26020204401,م إبتدائية قمانة - رحالة  مكتب 1,0,0,1,1,0,1,14,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,73,0,6,1,102
Medenine,BniKhdech,26020304501,م إبتدائية الدخيلة  مكتب 1,0,0,0,2,1,0,14,2,0,0,1,3,0,1,0,1,1,0,1,0,0,1,0,133,0,9,5,175
Medenine,BniKhdech,26020404601,م إبتدائية ورجيجن   مكتب 1,1,2,1,0,1,2,13,12,4,0,1,3,6,1,2,1,4,2,0,1,3,1,1,148,0,62,7,279
Medenine,BniKhdech,26020404701,م إبتدائية البقباق - ورجيجن  مكتب 1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,28,0,15,3,51
Medenine,BniKhdech,26020504801,م إبتدائية آبار الخيل - وادي الخيل  مكتب 1,0,0,0,2,0,2,2,8,1,1,1,0,0,0,1,0,3,0,1,0,1,1,1,79,1,95,3,203
Medenine,BniKhdech,26020504901,م إبتدائية قصر الخراشفة - وادي الخيل  مكتب 1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,13,1,27,0,46
Medenine,BniKhdech,26020605001,م إبتدائية قصر الجراء - الزغاية  مكتب 1,0,0,0,4,1,1,12,2,0,0,2,1,1,2,2,2,5,0,2,0,3,2,0,113,0,12,1,168
Medenine,BniKhdech,26020605002,م إبتدائية قصر الجراء - الزغاية  مكتب 2,2,0,0,0,0,0,10,5,1,0,0,0,2,0,0,2,0,1,0,0,0,0,0,117,0,10,1,151
Medenine,BniKhdech,26020605101,م إبتدائية قليب ذياب - الزغاية  مكتب 1,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,1,0,0,0,1,1,129,0,6,1,146
Medenine,BniKhdech,26020605201,م إبتدائية شعبة فاضل - الزغاية  مكتب 1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,86
Medenine,BniKhdech,26020705301,م إبتدائية قصرالمحاضة - البنية  مكتب 1,0,0,0,1,0,1,22,3,0,0,0,2,1,0,0,1,3,0,1,1,1,1,0,172,0,14,0,224
Medenine,BniKhdech,26020705302,م إبتدائية قصرالمحاضة - البنية  مكتب 2,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,161,0,10,1,185
Medenine,BniKhdech,26020705401,م إبتدائية وجه اللغاء - البنية  مكتب 1,0,0,0,0,0,0,14,4,1,0,2,0,0,1,0,0,0,2,1,0,1,1,0,92,0,3,1,123
Medenine,BniKhdech,26020705501,م إبتدائية عزيزة - البنية  مكتب 1,1,0,0,1,0,0,98,4,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,97,0,14,3,225
Medenine,BniKhdech,26020705601,م إبتدائية البنية   مكتب 1,0,0,0,0,1,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,51,0,0,0,59
Medenine,BniKhdech,26020805701,م إبتدائية الفجيج   مكتب 1,0,0,0,3,1,2,10,2,1,1,2,0,2,2,1,1,2,0,1,0,1,1,1,203,0,12,1,250
Medenine,BniKhdech,26020805702,م إبتدائية الفجيج   مكتب 2,1,0,0,0,0,0,9,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,132,1,10,1,161
Medenine,BniKhdech,26020905801,م إبتدائية قصر الحلوف - المنزلة  مكتب 1,1,0,0,2,1,0,26,2,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,126,0,6,5,176
Medenine,BniKhdech,26020905901,م إبتدائية منزلة مقر - المنزلة  مكتب 1,1,0,0,0,1,2,8,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,98,0,15,0,134
Medenine,BniKhdech,26020906001,م إبتدائية المظهار - المنزلة  مكتب 1,1,0,1,0,3,1,26,0,0,2,1,0,3,0,0,1,1,0,1,0,2,0,0,126,1,7,8,185
Medenine,BniKhdech,26021006101,م إبتدائية زمور  مكتب 1,0,0,0,0,0,0,8,2,0,3,0,0,0,0,1,0,0,0,2,0,1,0,0,66,0,1,8,92
Medenine,BniKhdech,26021006201,م إبتدائية الخير - زمور  مكتب 1,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,154,0,5,3,171
Medenine,BniKhdech,26021106301,م إبتدائية حلق الجمل - الحميمة  مكتب 1,0,0,0,0,0,2,55,4,0,0,5,1,1,1,0,2,0,0,1,1,2,2,0,120,0,2,4,203
Medenine,BniKhdech,26021106401,م إبتدائية الشوامخ - الحميمة  مكتب 1,0,0,1,6,0,1,48,10,1,0,1,0,0,0,1,2,0,0,2,0,4,2,5,168,1,1,2,256
Medenine,BniKhdech,26021106402,م إبتدائية الشوامخ - الحميمة  مكتب 2,0,0,0,9,1,0,27,8,1,0,1,1,0,1,1,1,0,1,0,0,2,0,6,171,0,3,3,237
Medenine,BniKhdech,26021206501,م إبتدائية البطومة - البحيرة  مكتب 1,0,0,0,1,0,0,39,2,1,1,1,1,1,0,1,1,1,0,0,0,6,0,0,91,0,11,0,158
Medenine,BniKhdech,26021206601,م إبتدائية البحيرة   مكتب 1,1,0,0,0,0,1,43,0,0,0,1,0,1,1,0,1,1,1,0,1,4,0,0,132,1,10,2,201
Medenine,BniKhdech,26021206602,م إبتدائية البحيرة   مكتب 2,0,0,0,0,0,0,18,9,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,115,0,17,3,167
Medenine,BniKhdech,26021306701,م إبتدائية القصر الجديد  مكتب 1,1,0,1,1,2,3,51,2,0,1,2,1,4,2,0,0,1,0,1,0,2,1,0,218,0,14,1,309
Medenine,BniKhdech,26021306702,م إبتدائية القصر الجديد  مكتب 2,3,0,0,1,0,0,15,4,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,207,1,10,4,251
Medenine,BniKhdech,26021306801,م إبتدائية هنشير الماجل - القصر الجديد  مكتب 1,0,0,1,1,0,0,16,1,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,109,0,20,0,155
Medenine,BniKhdech,26021306901,م إبتدائية القطار - القصر الجديد  مكتب 1,0,0,0,1,1,1,23,8,0,1,1,1,0,0,3,0,0,0,1,0,1,1,0,169,0,6,0,218
Medenine,BniKhdech,26021307001,م إبتدائية دخيلة سطوط - القصر الجديد  مكتب 1,1,0,0,0,0,0,5,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,91,0,5,0,108
