circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Medenine,DjerbaAjim,26030107101,م إبتدائية  2مارس 34 آجيم   مكتب 1,1,0,0,2,0,5,50,16,1,1,5,0,5,2,2,2,0,1,3,0,9,2,1,220,0,2,10,340
Medenine,DjerbaAjim,26030107102,م إبتدائية  2مارس 34 آجيم   مكتب 2,1,1,1,1,0,1,44,21,0,0,1,1,1,1,0,0,0,1,0,0,3,0,0,253,0,7,11,349
Medenine,DjerbaAjim,26030107103,م إبتدائية  2مارس 34 آجيم   مكتب 3,0,0,3,0,0,1,25,19,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,245,0,4,15,318
Medenine,DjerbaAjim,26030107104,م إبتدائية  2مارس 34 آجيم   مكتب 4,0,0,1,0,0,0,18,29,0,0,1,0,0,0,0,1,0,0,0,0,4,0,2,174,0,2,8,240
Medenine,DjerbaAjim,26030107201,م إبتدائية السرندي - اجيم  مكتب 1,0,0,0,0,1,0,18,16,0,0,5,0,2,1,0,0,1,0,1,0,1,0,0,156,0,2,2,206
Medenine,DjerbaAjim,26030107301,م إبتدائية المثانية - اجيم  مكتب 1,1,0,1,0,1,0,12,8,1,0,2,0,3,0,2,0,2,0,0,2,3,2,0,167,0,9,5,221
Medenine,DjerbaAjim,26030107302,م إبتدائية المثانية - اجيم  مكتب 2,0,0,2,0,0,0,10,15,0,0,2,0,1,0,0,1,0,0,1,0,2,0,0,189,0,3,2,228
Medenine,DjerbaAjim,26030107401,م إبتدائية غرة جوان آجيم   مكتب 1,0,0,3,4,1,0,33,19,0,1,8,0,1,1,0,3,0,0,0,0,2,1,2,159,0,5,7,250
Medenine,DjerbaAjim,26030107501,م إبتدائية 9 أفريل آجيم   مكتب 1,1,0,0,1,0,2,21,18,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,193,0,6,2,250
Medenine,DjerbaAjim,26030207601,م إبتدائية الخنانسة  مكتب 1,1,0,0,1,0,3,30,15,0,1,3,0,0,2,1,6,2,0,1,0,5,1,0,166,1,14,11,264
Medenine,DjerbaAjim,26030307701,م إبتدائية مزران  مكتب 1,2,1,0,1,0,3,35,18,1,1,2,0,4,0,0,0,1,1,3,0,3,1,0,215,0,7,10,309
Medenine,DjerbaAjim,26030407801,م إبتدائية قلالة  مكتب 1,2,1,4,0,2,1,41,13,0,1,1,3,1,1,3,3,1,0,2,4,5,3,1,203,3,6,6,311
Medenine,DjerbaAjim,26030407802,م إبتدائية قلالة  مكتب 2,0,1,1,1,1,1,24,14,1,0,1,0,3,1,0,1,1,0,0,1,10,0,0,257,0,5,14,338
Medenine,DjerbaAjim,26030407803,م إبتدائية قلالة  مكتب 3,0,0,4,0,0,0,17,23,0,0,5,0,1,0,0,1,0,0,0,0,1,0,0,228,0,3,7,290
Medenine,DjerbaAjim,26030407901,م إبتدائية تلات - قلالة  مكتب 1,0,0,3,1,0,2,14,6,0,0,2,0,3,1,0,2,0,0,0,0,8,0,0,260,1,2,7,312
Medenine,DjerbaAjim,26030408001,م إبتدائية الفاهمين - قلالة  مكتب 1,0,1,2,2,0,1,16,12,0,1,0,1,1,1,3,2,3,0,2,1,7,1,2,212,1,2,9,283
Medenine,DjerbaAjim,26030508101,م إبتدائية واد الزبيب   مكتب 1,0,1,0,1,0,0,33,8,0,1,2,0,1,1,0,2,0,0,0,0,2,0,1,187,0,9,2,251
Medenine,DjerbaAjim,26030608201,م إبتدائية القرع   مكتب 1,1,0,2,2,0,3,76,4,0,0,2,1,7,1,2,0,2,1,0,0,9,0,3,133,0,3,8,260
Medenine,DjerbaAjim,26030608202,م إبتدائية القرع   مكتب 2,0,0,1,1,0,0,37,8,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1,131,1,2,14,202
