circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Medenine,DjerbaHoumtEssouk,26040108301,م إبتدائية حي تاوريت  مكتب 1,0,0,5,4,0,2,178,22,0,0,0,0,8,1,0,3,0,0,0,1,1,0,7,171,0,11,43,457
Medenine,DjerbaHoumtEssouk,26040108302,م إبتدائية حي تاوريت  مكتب 2,2,1,6,2,0,0,166,27,0,1,4,0,2,0,1,1,1,0,1,1,3,0,1,153,0,6,32,411
Medenine,DjerbaHoumtEssouk,26040108303,م إبتدائية حي تاوريت  مكتب 3,0,0,6,2,0,0,157,27,0,0,3,0,6,1,0,1,0,0,0,0,5,0,2,193,0,9,56,468
Medenine,DjerbaHoumtEssouk,26040108304,م إبتدائية حي تاوريت  مكتب 4,0,0,5,3,0,3,124,30,0,0,2,0,3,1,0,3,0,0,0,1,3,0,1,223,0,5,30,437
Medenine,DjerbaHoumtEssouk,26040108305,م إبتدائية حي تاوريت  مكتب 5,0,0,4,6,0,0,99,29,0,0,4,0,9,0,0,0,0,0,0,2,2,0,2,222,0,22,27,428
Medenine,DjerbaHoumtEssouk,26040108306,م إبتدائية حي تاوريت  مكتب 6,0,0,3,4,0,1,107,40,1,0,6,1,6,0,0,2,0,0,0,1,2,0,2,160,0,12,32,380
Medenine,DjerbaHoumtEssouk,26040108307,م إبتدائية حي تاوريت  مكتب 7,0,0,3,2,0,1,89,54,0,0,2,0,5,0,0,2,0,0,0,0,1,0,2,132,0,7,52,352
Medenine,DjerbaHoumtEssouk,26040208401,م إبتدائية بني باندو جربة - بوملال  مكتب 1,0,0,3,3,0,1,87,25,1,0,2,0,5,1,0,1,1,1,1,0,4,1,4,256,1,14,24,436
Medenine,DjerbaHoumtEssouk,26040208402,م إبتدائية بني باندو جربة - بوملال  مكتب 2,0,0,2,3,0,0,60,18,0,0,1,0,8,0,0,0,0,0,1,1,2,1,4,282,0,10,38,431
Medenine,DjerbaHoumtEssouk,26040208403,م إبتدائية بني باندو جربة - بوملال  مكتب 3,0,0,0,1,0,0,45,19,0,0,1,0,3,1,0,4,0,0,1,0,0,0,3,221,0,10,19,328
Medenine,DjerbaHoumtEssouk,26040308501,م إبتدائية  2مارس 34 بوملال - الجوامع   مكتب 1,1,0,3,6,0,0,158,23,0,0,3,0,11,0,1,4,0,0,0,0,3,1,2,158,0,12,32,418
Medenine,DjerbaHoumtEssouk,26040308502,م إبتدائية  2مارس 34 بوملال - الجوامع   مكتب 2,0,0,4,1,0,2,120,24,0,1,5,0,11,2,2,5,1,1,0,0,2,0,2,190,1,3,25,402
Medenine,DjerbaHoumtEssouk,26040308503,م إبتدائية  2مارس 34 بوملال - الجوامع   مكتب 3,0,0,6,5,0,1,114,30,0,0,1,0,7,2,0,1,2,0,0,2,1,0,2,191,0,11,49,425
Medenine,DjerbaHoumtEssouk,26040308504,م إبتدائية  2مارس 34 بوملال - الجوامع   مكتب 4,0,1,9,3,0,0,93,32,0,0,4,0,2,1,1,4,0,0,3,0,3,0,1,215,1,8,37,418
Medenine,DjerbaHoumtEssouk,26040308505,م إبتدائية  2مارس 34 بوملال - الجوامع   مكتب 5,0,0,6,3,1,0,72,33,0,0,4,0,8,1,0,1,0,0,0,0,0,0,2,253,1,6,29,420
Medenine,DjerbaHoumtEssouk,26040308506,م إبتدائية  2مارس 34 بوملال - الجوامع   مكتب 6,3,0,3,3,0,1,69,33,1,0,3,0,5,0,1,0,1,0,0,0,0,0,2,194,0,22,22,363
Medenine,DjerbaHoumtEssouk,26040308507,م إبتدائية  2مارس 34 بوملال - الجوامع   مكتب 7,0,0,2,1,0,0,64,40,0,1,2,1,7,0,0,3,1,0,0,1,2,0,1,195,1,6,41,369
Medenine,DjerbaHoumtEssouk,26040308508,م إبتدائية  2مارس 34 بوملال - الجوامع   مكتب 8,0,0,4,2,0,0,56,51,1,0,1,0,5,0,0,0,1,0,0,0,0,0,1,171,2,4,33,332
Medenine,DjerbaHoumtEssouk,26040308601,م إبتدائية مفيدة بورقيبة - الجوامع   مكتب 1,1,0,1,1,0,0,112,34,0,0,3,0,8,0,1,2,0,1,1,0,7,0,2,152,1,15,32,374
Medenine,DjerbaHoumtEssouk,26040308602,م إبتدائية مفيدة بورقيبة - الجوامع   مكتب 2,0,0,2,1,0,1,79,33,0,0,3,0,3,0,1,2,0,0,0,0,4,0,1,226,1,8,38,403
Medenine,DjerbaHoumtEssouk,26040308603,م إبتدائية مفيدة بورقيبة - الجوامع   مكتب 3,1,0,7,3,0,1,52,34,0,0,5,0,8,0,0,0,0,0,0,0,0,0,3,198,0,16,33,361
Medenine,DjerbaHoumtEssouk,26040308604,م إبتدائية مفيدة بورقيبة - الجوامع   مكتب 4,0,0,3,1,0,0,50,34,0,0,8,0,1,0,0,0,1,0,0,0,0,0,3,182,0,2,28,313
