#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
26050110701,م إبتدائية  2مارس 34 ميدون  مكتب 1,1,1,6,3,1,0,126,28,1,0,5,0,3,0,0,0,0,0,1,1,6,1,2,175,0,12,22,395.0
26050110702,م إبتدائية  2مارس 34 ميدون  مكتب 2,2,1,5,5,0,1,93,24,0,0,3,0,3,0,1,1,3,1,0,0,2,0,0,203,1,11,23,383.0
26050110703,م إبتدائية  2مارس 34 ميدون  مكتب 3,0,0,2,0,0,1,76,26,0,0,2,0,0,0,0,0,0,0,0,2,2,0,1,230,0,16,30,388.0
26050110704,م إبتدائية  2مارس 34 ميدون  مكتب 4,0,0,1,4,1,2,64,25,0,0,4,0,2,0,0,1,0,0,0,0,1,0,0,267,2,8,13,395.0
26050110705,م إبتدائية  2مارس 34 ميدون  مكتب 5,0,0,0,2,0,0,38,19,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,262,0,11,13,349.0
26050110706,م إبتدائية  2مارس 34 ميدون  مكتب 6,0,0,2,1,0,0,91,31,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,142,0,27,20,326.0
26050110707,م إبتدائية  2مارس 34 ميدون  مكتب 7,0,0,3,2,0,0,45,29,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,205,1,7,8,308.0
26050110708,م إبتدائية  2مارس 34 ميدون  مكتب 8,0,0,0,2,0,0,39,32,0,0,1,0,2,0,0,2,0,1,0,0,1,0,0,170,0,6,20,276.0
26050110801,م إبتدائية أولاد عمر - ميدون  مكتب 1,0,0,3,2,0,2,49,16,0,0,3,0,8,1,1,0,2,1,1,0,3,1,2,165,0,19,14,293.0
26050110802,م إبتدائية أولاد عمر - ميدون  مكتب 2,0,0,0,0,0,1,29,29,0,0,5,0,1,0,1,1,1,0,0,0,0,0,0,181,0,18,9,276.0
26050110803,م إبتدائية أولاد عمر - ميدون  مكتب 3,0,0,0,0,0,0,20,35,0,0,0,0,2,0,0,0,1,0,0,0,2,0,1,128,0,10,14,213.0
26050110901,م إبتدائية خزرون - ميدون  مكتب 1,1,0,2,3,2,0,62,12,0,1,1,0,2,0,1,1,2,0,0,1,2,0,2,116,0,15,3,229.0
26050110902,م إبتدائية خزرون - ميدون  مكتب 2,1,0,0,3,0,0,28,13,0,0,2,0,4,0,0,1,0,0,0,0,0,0,2,132,0,13,4,203.0
26050111001,م إبتدائية سيدي ياتي - ميدون  مكتب 1,0,0,4,3,0,2,63,19,2,0,6,0,5,0,0,3,1,2,0,0,4,0,0,230,1,15,12,372.0
26050111002,م إبتدائية سيدي ياتي - ميدون  مكتب 2,1,0,6,0,0,0,28,23,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,221,0,14,14,313.0
26050111101,م إبتدائية  15أكتوبر ميدون  مكتب 1,1,0,2,0,1,1,76,41,0,1,6,0,3,0,0,0,0,0,0,0,4,0,1,228,0,27,25,417.0
26050111102,م إبتدائية  15أكتوبر ميدون  مكتب 2,0,0,1,3,0,1,50,23,0,0,1,0,6,0,0,1,0,0,0,0,0,0,1,268,0,13,13,381.0
26050111103,م إبتدائية  15أكتوبر ميدون  مكتب 3,0,0,1,0,0,1,59,31,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,175,0,34,22,329.0
26050111104,م إبتدائية  15أكتوبر ميدون  مكتب 4,0,0,0,1,0,0,35,25,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,199,0,13,18,296.0
26050111201,م إبتدائية الحدادة ميدون   مكتب 1,2,0,3,5,0,1,68,35,1,1,0,0,5,1,0,1,2,0,0,1,4,0,0,138,2,15,17,302.0
26050111202,م إبتدائية الحدادة ميدون   مكتب 2,0,0,2,1,0,0,48,46,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,134,0,3,5,242.0
26050211301,م إبتدائية آركو  مكتب 1,6,1,3,1,1,2,73,29,2,2,5,0,3,0,0,1,2,1,1,1,7,0,0,139,1,13,7,301.0
26050211302,م إبتدائية آركو  مكتب 2,0,0,2,0,0,1,42,32,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,183,0,5,8,279.0
26050211303,م إبتدائية آركو  مكتب 3,1,0,2,0,0,0,30,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134,0,11,7,221.0
26050211401,م إبتدائية تملال ميدون - اركو  مكتب 1,0,0,1,4,0,3,52,20,0,1,4,1,3,0,1,0,1,0,0,0,1,0,2,192,1,11,3,301.0
26050311501,م إبتدائية المحبوبين   مكتب 1,2,2,2,3,0,1,80,16,0,0,5,1,5,0,0,3,1,0,0,0,6,0,0,187,0,5,12,331.0
26050311502,م إبتدائية المحبوبين   مكتب 2,0,0,7,2,0,3,51,23,0,2,1,1,3,1,1,2,0,1,0,1,5,0,0,224,0,12,15,355.0
26050311503,م إبتدائية المحبوبين   مكتب 3,0,0,1,0,0,0,32,35,0,0,3,0,1,1,1,4,0,0,0,0,4,0,0,212,0,11,9,314.0
26050311504,م إبتدائية المحبوبين   مكتب 4,0,0,1,0,0,0,21,25,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,183,0,15,7,258.0
26050311601,م إبتدائية المحراب - المحبوبين  مكتب 1,1,0,1,0,1,0,37,21,0,1,0,1,1,1,0,2,0,0,0,0,2,2,1,200,1,13,3,289.0
26050411701,م إبتدائية بني معقل   مكتب 1,0,0,5,5,1,0,32,30,1,1,1,1,5,0,1,1,2,1,0,0,2,0,3,132,2,6,22,254.0
26050411702,م إبتدائية بني معقل   مكتب 2,0,0,7,3,0,0,30,36,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,157,0,10,23,274.0
26050411703,م إبتدائية بني معقل   مكتب 3,1,1,1,1,0,0,10,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,150,2,5,21,236.0
26050411801,م إبتدائية الشبابية - بني معقل  مكتب 1,2,0,1,1,0,1,26,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,7,2,94.0
26050511901,م إبتدائية سدويكش  مكتب 1,0,0,3,2,1,2,29,6,1,1,1,1,3,0,1,1,3,1,1,2,7,0,0,231,0,5,5,307.0
26050511902,م إبتدائية سدويكش  مكتب 2,0,0,3,3,0,0,20,18,1,0,2,0,1,1,0,0,0,0,0,0,2,1,0,282,1,5,5,345.0
26050511903,م إبتدائية سدويكش  مكتب 3,0,0,1,1,0,0,9,26,0,0,4,0,1,0,0,1,1,0,0,1,0,0,1,245,0,7,4,302.0
26050512001,م إبتدائية ورسيغن - سدويكش  مكتب 1,0,0,2,0,0,2,10,22,0,0,1,0,0,0,1,0,0,0,0,1,5,0,0,106,1,1,3,155.0
