circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Medenine,MedenineNord,26090122701,م إبتدائية بني غزيل  مكتب 1,1,0,0,1,0,1,1,9,0,0,1,1,2,0,1,0,1,1,1,0,0,1,0,222,0,3,0,247
Medenine,MedenineNord,26090222801,م إبتدائية 14 جانفي مدنين - 2 ماي   مكتب 1,0,0,1,0,0,0,17,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,175,0,5,2,209
Medenine,MedenineNord,26090322901,م إبتدائية طريق بني خداش - مدنين الغربية  مكتب 1,0,0,2,2,1,1,55,3,1,0,4,1,4,2,3,2,1,0,1,0,3,0,1,284,1,8,5,385
Medenine,MedenineNord,26090322902,م إبتدائية طريق بني خداش - مدنين الغربية  مكتب 2,0,0,0,0,1,0,43,13,0,2,4,0,4,1,1,2,1,0,0,0,2,1,1,294,0,13,9,392
Medenine,MedenineNord,26090322903,م إبتدائية طريق بني خداش - مدنين الغربية  مكتب 3,0,0,0,0,1,3,47,9,0,0,5,0,4,0,0,0,1,0,0,0,1,0,0,323,0,12,4,410
Medenine,MedenineNord,26090322904,م إبتدائية طريق بني خداش - مدنين الغربية  مكتب 4,0,0,0,0,0,2,20,8,1,1,3,0,1,0,0,1,0,0,0,1,0,0,1,295,1,14,5,354
Medenine,MedenineNord,26090322905,م إبتدائية طريق بني خداش - مدنين الغربية  مكتب 5,0,0,1,1,0,0,21,9,1,0,2,0,2,0,0,0,1,0,0,0,1,0,1,265,0,9,4,318
Medenine,MedenineNord,26090322906,م إبتدائية طريق بني خداش - مدنين الغربية  مكتب 6,0,0,0,0,0,0,21,13,0,0,2,0,3,0,0,1,1,0,0,0,1,0,0,240,0,2,2,286
Medenine,MedenineNord,26090423001,م إبتدائية طريق قابس - مدنين الشمالية  مكتب 1,1,0,1,4,1,1,68,5,1,1,3,0,3,0,1,3,2,3,0,0,0,0,0,235,0,16,6,355
Medenine,MedenineNord,26090423002,م إبتدائية طريق قابس - مدنين الشمالية  مكتب 2,0,0,3,2,0,3,66,11,1,1,3,0,5,1,0,1,2,0,0,0,1,0,0,249,3,12,14,378
Medenine,MedenineNord,26090423003,م إبتدائية طريق قابس - مدنين الشمالية  مكتب 3,1,0,0,3,0,0,40,20,1,0,7,0,7,1,0,0,2,0,0,0,0,0,0,270,0,7,12,371
Medenine,MedenineNord,26090423004,م إبتدائية طريق قابس - مدنين الشمالية  مكتب 4,1,0,0,2,0,0,33,20,0,1,1,0,1,0,0,1,2,0,0,0,1,0,2,229,0,4,7,305
Medenine,MedenineNord,26090423005,م إبتدائية طريق قابس - مدنين الشمالية  مكتب 5,1,0,3,0,0,1,27,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,211,0,2,14,286
Medenine,MedenineNord,26090423101,م إبتدائية نهج الشابي مدنين - مدنين الشمالية  مكتب 1,0,0,1,1,0,0,66,20,0,1,2,0,2,0,1,0,0,0,0,1,1,0,1,196,0,7,4,304
Medenine,MedenineNord,26090423102,م إبتدائية نهج الشابي مدنين - مدنين الشمالية  مكتب 2,0,0,1,0,0,0,26,20,1,0,3,0,1,0,1,1,2,0,1,0,1,0,0,187,0,6,6,257
Medenine,MedenineNord,26090423201,م إبتدائية ابن خلدون مدنين الشمالي   مكتب 1,1,0,2,1,0,1,69,13,0,0,3,0,2,0,0,3,4,1,1,0,4,1,4,294,2,15,9,430
Medenine,MedenineNord,26090423202,م إبتدائية ابن خلدون مدنين الشمالي   مكتب 2,0,2,0,2,1,2,48,8,1,1,2,1,5,0,3,0,3,3,0,0,2,0,0,307,1,14,6,412
